Driver,Team,LapNumber,LapTimeSeconds,Compound,TyreLife,Stint,TrackStatus,AirTemp,Humidity,IsWetLap,IsDryLap,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,DeltaToFastestLap,IsValidLap,Position,AvgLapTime,StdLapTime,FastestLap,SlowestLap,AvgDelta,ValidLapCount,ConsistencyScore,LapClassification
RAI,Ferrari,2,100.368,ULTRASOFT,5,1,1,21.1,39.7,False,True,26.779,40.066,33.523,2.975999999999999,True,1.0,101.07734545454545,5.971262271847711,98.482,138.251,3.685345454545459,48,0.9442191505459863,Normal
HAM,Mercedes,2,100.805,SUPERSOFT,7,1,1,21.1,39.7,False,True,26.964,40.085,33.756,3.413000000000011,True,3.0,101.08523636363637,6.2369717455034825,97.392,135.391,3.6932363636363674,48,0.9418855439578648,Normal
BOT,Mercedes,2,101.942,SUPERSOFT,5,1,1,21.1,39.7,False,True,27.288,40.433,34.221,4.549999999999997,True,5.0,101.46998181818182,5.769455964758975,98.47,137.376,4.077981818181823,48,0.9462002404708918,Normal
RIC,Red Bull Racing,2,101.683,SUPERSOFT,5,1,1,21.1,39.7,False,True,27.291,40.621,33.771,4.291000000000011,True,16.0,101.31371428571428,0.2520923866929923,100.933,101.683,3.9217142857142915,6,0.9975179403880865,Normal
HUL,Renault,2,102.42,ULTRASOFT,5,1,1,21.1,39.7,False,True,27.626,40.569,34.225,5.028000000000006,True,6.0,102.55483636363635,5.707852760836942,99.548,136.077,5.162836363636368,48,0.9472777481605464,Normal
SAI,Renault,2,102.445,SUPERSOFT,2,1,1,21.1,39.7,False,True,27.68,40.448,34.317,5.052999999999997,True,7.0,102.68187272727272,5.764659014857321,99.858,134.111,5.289872727272731,48,0.946843306814414,Normal
OCO,Racing Point,2,103.307,ULTRASOFT,5,1,1,21.1,39.7,False,True,27.803,40.966,34.538,5.915000000000006,True,19.0,102.73963636363636,5.68969135192188,99.992,135.171,5.347636363636368,49,0.9475262692133665,Normal
PER,Racing Point,2,103.615,ULTRASOFT,5,1,1,21.0,40.2,False,True,27.946,40.818,34.851,6.222999999999999,True,8.0,102.80659259259258,5.687050946878968,99.569,133.577,5.414592592592597,48,0.9475817129801716,Normal
VER,Red Bull Racing,2,103.044,Soft,2,1,1,21.0,40.2,False,True,27.392,40.884,34.768,5.652000000000001,True,2.0,100.9135090909091,5.587394393310475,98.246,136.625,3.521509090909095,48,0.9475366479483587,Normal
MAG,Haas F1 Team,2,104.273,SUPERSOFT,2,1,1,21.0,40.2,False,True,28.535,40.979,34.759,6.881,True,20.0,102.71732727272727,5.511580925498279,98.963,134.061,5.325327272727278,49,0.9490747803220597,Normal
SIR,Williams,2,104.809,SUPERSOFT,2,1,1,21.0,40.2,False,True,28.403,41.255,35.151,7.417000000000002,True,13.0,104.0242962962963,6.628824915443815,100.522,146.989,6.632296296296301,48,0.940093647220676,Normal
HAR,Toro Rosso,2,104.398,SUPERSOFT,2,1,1,21.0,40.2,False,True,28.123,41.357,34.918,7.006,True,9.0,103.3045185185185,5.589782031531107,99.915,135.503,5.912518518518522,48,0.9486678182118268,Normal
VET,Ferrari,2,103.223,SUPERSOFT,5,1,1,21.0,40.2,False,True,27.78,40.755,34.688,5.831000000000003,True,4.0,101.15578181818182,5.578656969302271,98.28,133.749,3.7637818181818217,48,0.9477332992736321,Normal
VAN,McLaren,2,105.45,SUPERSOFT,2,1,1,21.0,40.2,False,True,28.262,41.792,35.396,8.058000000000007,True,11.0,103.34201851851851,6.689569996307657,99.24,145.522,5.950018518518523,48,0.9392031862249605,Normal
GAS,Toro Rosso,2,105.509,SUPERSOFT,2,1,1,21.0,40.2,False,True,28.895,41.218,35.396,8.117000000000004,True,12.0,103.7587037037037,6.638231361489694,99.646,145.175,6.366703703703708,48,0.9398694233896115,Normal
ERI,Sauber,2,105.032,Soft,2,1,1,21.0,40.2,False,True,28.261,41.482,35.289,7.640000000000001,True,10.0,103.2805925925926,5.415837190351722,100.098,133.559,5.888592592592597,48,0.9501746542994411,Normal
LEC,Sauber,2,133.101,ULTRASOFT,5,1,1,21.0,40.2,False,True,58.578,40.674,33.849,35.709,False,15.0,105.86550000000001,7.848246321796116,101.982,133.101,8.473500000000005,24,0.9309824310986419,Outlier
STR,Williams,2,138.96,SUPERSOFT,2,1,1,21.0,40.2,False,True,64.425,40.563,33.972,41.56800000000001,False,14.0,104.70890384615385,7.4354806911335825,100.433,138.96,7.316903846153849,43,0.933697253573483,Outlier
GRO,Haas F1 Team,2,149.206,ULTRASOFT,5,1,12,21.2,39.5,False,True,62.323,46.675,40.208,51.81399999999999,False,17.0,149.206,,149.206,149.206,51.81399999999999,0,1.0,Outlier
RAI,Ferrari,3,100.392,ULTRASOFT,6,1,12,21.2,39.5,False,True,27.058,40.001,33.333,3.0,False,1.0,101.07734545454545,5.971262271847711,98.482,138.251,3.685345454545459,48,0.9442191505459863,Outlier
HAM,Mercedes,3,100.302,SUPERSOFT,8,1,12,21.2,39.5,False,True,27.064,39.73,33.508,2.910000000000011,False,3.0,101.08523636363637,6.2369717455034825,97.392,135.391,3.6932363636363674,48,0.9418855439578648,Outlier
BOT,Mercedes,3,101.195,SUPERSOFT,6,1,12,21.2,39.5,False,True,27.349,40.08,33.766,3.8029999999999973,False,5.0,101.46998181818182,5.769455964758975,98.47,137.376,4.077981818181823,48,0.9462002404708918,Outlier
RIC,Red Bull Racing,3,101.399,SUPERSOFT,6,1,12,21.2,39.5,False,True,27.286,40.388,33.725,4.007000000000005,False,16.0,101.31371428571428,0.2520923866929923,100.933,101.683,3.9217142857142915,6,0.9975179403880865,Outlier
HUL,Renault,3,101.905,ULTRASOFT,6,1,12,21.2,39.5,False,True,27.501,40.279,34.125,4.513000000000005,False,6.0,102.55483636363635,5.707852760836942,99.548,136.077,5.162836363636368,48,0.9472777481605464,Outlier
SAI,Renault,3,102.228,SUPERSOFT,3,1,12,21.2,39.5,False,True,27.561,40.321,34.346,4.8359999999999985,False,7.0,102.68187272727272,5.764659014857321,99.858,134.111,5.289872727272731,48,0.946843306814414,Outlier
OCO,Racing Point,3,103.063,ULTRASOFT,6,1,12,21.2,39.5,False,True,27.598,40.618,34.847,5.6710000000000065,False,19.0,102.73963636363636,5.68969135192188,99.992,135.171,5.347636363636368,49,0.9475262692133665,Outlier
VER,Red Bull Racing,3,101.825,Soft,3,1,12,21.2,39.5,False,True,27.558,40.433,33.834,4.433000000000007,False,2.0,100.9135090909091,5.587394393310475,98.246,136.625,3.521509090909095,48,0.9475366479483587,Outlier
PER,Racing Point,3,103.864,ULTRASOFT,6,1,12,21.2,39.5,False,True,27.75,40.859,35.255,6.472000000000008,False,8.0,102.80659259259258,5.687050946878968,99.569,133.577,5.414592592592597,48,0.9475817129801716,Outlier
MAG,Haas F1 Team,3,103.18,SUPERSOFT,3,1,12,21.2,39.5,False,True,27.854,40.65,34.676,5.788000000000011,False,20.0,102.71732727272727,5.511580925498279,98.963,134.061,5.325327272727278,49,0.9490747803220597,Outlier
VET,Ferrari,3,102.773,SUPERSOFT,6,1,12,21.2,39.5,False,True,28.006,40.362,34.405,5.381,False,4.0,101.15578181818182,5.578656969302271,98.28,133.749,3.7637818181818217,48,0.9477332992736321,Outlier
SIR,Williams,3,104.842,SUPERSOFT,3,1,12,21.2,39.5,False,True,27.963,41.014,35.865,7.450000000000003,False,13.0,104.0242962962963,6.628824915443815,100.522,146.989,6.632296296296301,48,0.940093647220676,Outlier
