Position,Driver,Team,Points,Status
1.0,VET,Ferrari,25.0,Finished
2.0,HAM,Mercedes,18.0,Finished
3.0,VER,Red Bull Racing,15.0,Finished
4.0,BOT,Mercedes,12.0,Finished
5.0,PER,Racing Point,10.0,Finished
6.0,OCO,Racing Point,8.0,Finished
7.0,GRO,Haas F1 Team,6.0,Finished
8.0,MAG,Haas F1 Team,4.0,Finished
9.0,GAS,Toro Rosso,2.0,Finished
10.0,ERI,Sauber,1.0,+1 Lap
11.0,SAI,Renault,0.0,+1 Lap
12.0,SIR,Williams,0.0,+1 Lap
13.0,STR,Williams,0.0,+1 Lap
14.0,HAR,Toro Rosso,0.0,+1 Lap
15.0,VAN,McLaren,0.0,+1 Lap
16.0,RIC,Red Bull Racing,0.0,Retired
17.0,RAI,Ferrari,0.0,Brakes
18.0,LEC,Sauber,0.0,Accident
19.0,ALO,McLaren,0.0,Accident
20.0,HUL,Renault,0.0,Accident
