Position,Driver,Team,Points,Status
1.0,RAI,Ferrari,25.0,Finished
2.0,VER,Red Bull Racing,18.0,Finished
3.0,HAM,Mercedes,15.0,Finished
4.0,VET,Ferrari,12.0,Finished
5.0,BOT,Mercedes,10.0,Finished
6.0,HUL,Renault,8.0,Finished
7.0,SAI,Renault,6.0,Finished
8.0,PER,Racing Point,4.0,Finished
9.0,HAR,Toro Rosso,2.0,+1 Lap
10.0,ERI,Sauber,1.0,+1 Lap
11.0,VAN,McLaren,0.0,+1 Lap
12.0,GAS,Toro Rosso,0.0,+1 Lap
13.0,SIR,Williams,0.0,+1 Lap
14.0,STR,Williams,0.0,+2 Laps
15.0,LEC,Sauber,0.0,Collision damage
16.0,RIC,Red Bull Racing,0.0,Battery
17.0,GRO,Haas F1 Team,0.0,Collision damage
18.0,ALO,McLaren,0.0,Collision
19.0,OCO,Racing Point,0.0,Disqualified
20.0,MAG,Haas F1 Team,0.0,Disqualified
