Position,Driver,Team,Points,Status
1.0,BOT,Mercedes,26.0,Finished
2.0,HAM,Mercedes,18.0,Finished
3.0,VER,Red Bull Racing,15.0,Finished
4.0,VET,Ferrari,12.0,Finished
5.0,LEC,Ferrari,10.0,Finished
6.0,MAG,Haas F1 Team,8.0,Finished
7.0,HUL,Renault,6.0,+1 Lap
8.0,RAI,Alfa Romeo Racing,4.0,+1 Lap
9.0,STR,Racing Point,2.0,+1 Lap
10.0,KVY,Toro Rosso,1.0,+1 Lap
11.0,GAS,Red Bull Racing,0.0,+1 Lap
12.0,NOR,McLaren,0.0,+1 Lap
13.0,PER,Racing Point,0.0,+1 Lap
14.0,ALB,Toro Rosso,0.0,+1 Lap
15.0,GIO,Alfa Romeo Racing,0.0,+1 Lap
16.0,RUS,Williams,0.0,+2 Laps
17.0,KUB,Williams,0.0,+3 Laps
18.0,GRO,Haas F1 Team,0.0,Wheel
19.0,RIC,Renault,0.0,Damage
20.0,SAI,McLaren,0.0,Engine
