Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
HAM,Mercedes,5,0 days 00:01:43.982000,0 days 00:00:17.898000,0 days 00:00:44.206000,0 days 00:00:41.878000,ULTRASOFT,8,1,,,1,True,0 days 00:45:41.816000,103.982,17.898,44.206,41.878,2741.816,2716.948,32.6,37.7,1012.8,False,34.6,267,0.8,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.17212594487507454,0.42513127272027856,0.40274278240464695,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,112.35066666666667,3,Opening,2.625,False,False,False,True
BOT,Mercedes,5,0 days 00:01:44.776000,0 days 00:00:17.995000,0 days 00:00:44.293000,0 days 00:00:42.488000,ULTRASOFT,8,1,,,1,True,0 days 00:45:43.829000,104.776,17.995,44.293,42.488,2743.829,2716.948,32.6,37.7,1012.8,False,34.6,267,0.8,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.17174734672062306,0.42273994044437657,0.4055127128350004,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,109.58675,12,Opening,3.8229999999999933,False,False,False,True
VET,Ferrari,5,0 days 00:01:44.870000,0 days 00:00:18.162000,0 days 00:00:43.896000,0 days 00:00:42.812000,ULTRASOFT,8,1,,,1,True,0 days 00:45:45.188000,104.87,18.162,43.896,42.812,2745.188,2716.948,32.6,37.7,1012.8,False,34.6,267,0.8,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.1731858491465624,0.41857537904071707,0.40823877181272045,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,110.23,11,Opening,4.003,False,False,False,True
RAI,Ferrari,5,0 days 00:01:45.198000,0 days 00:00:18.328000,0 days 00:00:43.798000,0 days 00:00:43.072000,ULTRASOFT,9,1,,,1,True,0 days 00:45:46.006000,105.198,18.328,43.798,43.072,2746.006,2716.948,32.6,37.7,1012.8,False,34.6,267,0.8,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.17422384455978251,0.4163387136637579,0.4094374417764597,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,110.28999999999999,2,Opening,0.0,False,False,False,True
LEC,Sauber,5,0 days 00:01:45.931000,0 days 00:00:18.556000,0 days 00:00:43.885000,0 days 00:00:43.490000,HYPERSOFT,8,1,,,1,True,0 days 00:45:47.119000,105.931,18.556,43.885,43.49,2747.119,2776.964,32.7,37.5,1012.8,False,34.6,0,1.3,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.1751706299383561,0.41427910621064656,0.41055026385099735,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,114.60133333333333,3,Opening,3.0549999999999926,False,False,False,True
RIC,Red Bull Racing,5,0 days 00:01:46.167000,0 days 00:00:18.593000,0 days 00:00:44.539000,0 days 00:00:43.035000,ULTRASOFT,9,1,,,1,True,0 days 00:45:48.019000,106.167,18.593,44.539,43.035,2748.019,2776.964,32.7,37.5,1012.8,False,34.6,0,1.3,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.1751297484152326,0.4195183060649731,0.40535194551979425,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,106.52472413793103,29,Opening,4.918000000000006,False,False,False,True
GRO,Haas F1 Team,5,0 days 00:01:46.573000,0 days 00:00:18.588000,0 days 00:00:44.576000,0 days 00:00:43.409000,HYPERSOFT,8,1,,,1,True,0 days 00:45:49.056000,106.573,18.588,44.576,43.409,2749.056,2776.964,32.7,37.5,1012.8,False,34.6,0,1.3,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.17441565875034015,0.4182672909648786,0.4073170502847813,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,115.77266666666667,3,Opening,3.378,False,False,False,True
OCO,Racing Point,5,0 days 00:01:47.301000,0 days 00:00:18.780000,0 days 00:00:45.343000,0 days 00:00:43.178000,HYPERSOFT,8,1,,,1,True,0 days 00:45:50.200000,107.301,18.78,45.343,43.178,2750.2,2776.964,32.7,37.5,1012.8,False,34.6,0,1.3,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.17502166801800542,0.42257760878277,0.4024007231992246,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,111.21364285714286,14,Opening,3.710000000000008,False,False,False,True
VER,Red Bull Racing,5,0 days 00:01:47.363000,0 days 00:00:18.705000,0 days 00:00:45.330000,0 days 00:00:43.328000,HYPERSOFT,8,1,,,1,True,0 days 00:45:50.675000,107.363,18.705,45.33,43.328,2750.675,2776.964,32.7,37.5,1012.8,False,34.6,0,1.3,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.17422203179866433,0.4222124940622002,0.40356547413913546,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,109.41238461538461,13,Opening,5.4539999999999935,False,False,False,True
PER,Racing Point,5,0 days 00:01:48.054000,0 days 00:00:18.879000,0 days 00:00:44.564000,0 days 00:00:44.611000,ULTRASOFT,5,1,,,1,True,0 days 00:45:51.912000,108.054,18.879,44.564,44.611,2751.912,2776.964,32.7,37.5,1012.8,False,34.6,0,1.3,False,True,True,FORMULA 1 2018 ETIHAD AIRWAYS ABU DHABI GRAND PRIX,Yas Marina,United Arab Emirates,,,Hybrid,,,0.1747181964573269,0.4124234179206693,0.4128583856220038,1,False,Abu Dhabi Grand Prix,abu_dhabi_grand_prix,2018,2018-11-25,109.16968181818183,22,Opening,5.2379999999999995,False,False,False,True
