Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
MAG,Haas F1 Team,3,0 days 00:02:23.300000,0 days 00:00:46.700000,0 days 00:01:00.306000,0 days 00:00:36.294000,Soft,2,2,,,4,False,0 days 00:16:14.926000,143.3,46.7,60.306,36.294,974.926,990.688,16.7,47.8,1021.6,False,27.5,46,1.9,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3258897418004187,0.42083740404745285,0.25327285415212836,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,112.15911764705882,34,Mid,35.14500000000001,True,False,False,True
ALO,McLaren,3,0 days 00:02:19.843000,0 days 00:00:44.058000,0 days 00:00:58.942000,0 days 00:00:36.843000,Soft,2,2,,,4,False,0 days 00:16:16.338000,139.843,44.058,58.942,36.843,976.338,990.688,16.7,47.8,1021.6,False,27.5,46,1.9,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.31505330978311397,0.4214869532261179,0.26345973699076825,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,110.6134857142857,35,Mid,32.39399999999999,True,False,False,True
ERI,Sauber,3,0 days 00:02:09.002000,0 days 00:00:43.138000,0 days 00:00:49.055000,0 days 00:00:36.809000,Soft,2,2,,,4,False,0 days 00:16:18.691000,129.002,43.138,49.055,36.809,978.691,990.688,16.7,47.8,1021.6,False,27.5,46,1.9,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.334397916311375,0.3802654222415156,0.2853366614471093,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,115.28264285714285,14,Mid,21.077000000000012,True,False,False,True
VET,Ferrari,6,0 days 00:01:51.316000,0 days 00:00:39.676000,0 days 00:00:44.596000,0 days 00:00:27.044000,SUPERSOFT,8,1,,,1,True,0 days 00:23:21.764000,111.316,39.676,44.596,27.044,1401.764,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.35642674907470623,0.40062524704445,0.24294800388084373,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,107.38843999999999,25,Opening,5.786000000000001,False,False,False,True
HAM,Mercedes,6,0 days 00:01:53.461000,0 days 00:00:41.255000,0 days 00:00:45.554000,0 days 00:00:26.652000,SUPERSOFT,10,1,,,1,True,0 days 00:23:24.317000,113.461,41.255,45.554,26.652,1404.317,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.36360511541410706,0.40149478675492023,0.23490009783097276,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,108.15288235294118,17,Opening,8.048999999999992,False,False,False,True
BOT,Mercedes,6,0 days 00:01:54.555000,0 days 00:00:42.178000,0 days 00:00:45.904000,0 days 00:00:26.473000,SUPERSOFT,9,1,,,1,True,0 days 00:23:25.552000,114.555,42.178,45.904,26.473,1405.552,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3681899524245995,0.4007158133647593,0.23109423421064115,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,107.38777142857143,35,Opening,9.406000000000006,False,False,False,True
SAI,Renault,6,0 days 00:01:56.553000,0 days 00:00:43.437000,0 days 00:00:46.799000,0 days 00:00:26.317000,ULTRASOFT,8,1,,,1,True,0 days 00:23:28.232000,116.553,43.437,46.799,26.317,1408.232,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3726802398908651,0.40152548625946993,0.22579427384966497,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,111.1923,10,Opening,9.697000000000003,False,False,False,True
VER,Red Bull Racing,6,0 days 00:01:56.751000,0 days 00:00:43.117000,0 days 00:00:46.921000,0 days 00:00:26.713000,SUPERSOFT,9,1,,,1,True,0 days 00:23:28.313000,116.751,43.117,46.921,26.713,1408.313,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3693073292734109,0.4018894913105669,0.22880317941602213,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,108.065,33,Opening,10.980000000000004,False,False,False,True
RIC,Red Bull Racing,6,0 days 00:01:57.893000,0 days 00:00:44.034000,0 days 00:00:47.388000,0 days 00:00:26.471000,SUPERSOFT,9,1,,,1,True,0 days 00:23:29.437000,117.893,44.034,47.388,26.471,1409.437,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.37350818114731155,0.40195770741265385,0.2245341114400346,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,108.11315625,32,Opening,12.474000000000004,False,False,False,True
GAS,Toro Rosso,6,0 days 00:01:57.629000,0 days 00:00:43.117000,0 days 00:00:47.916000,0 days 00:00:26.596000,ULTRASOFT,5,1,,,1,True,0 days 00:23:30.219000,117.629,43.117,47.916,26.596,1410.219,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.36655076554251076,0.4073485279990478,0.22610070645844135,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,113.94442857142857,7,Opening,9.594000000000008,False,False,False,True
HUL,Renault,6,0 days 00:01:57.744000,0 days 00:00:43.736000,0 days 00:00:47.811000,0 days 00:00:26.197000,ULTRASOFT,8,1,,,1,True,0 days 00:23:30.239000,117.744,43.736,47.811,26.197,1410.239,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.37144992526158443,0.40605890746025275,0.2224911672781628,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,111.7814,5,Opening,8.876999999999995,False,False,False,True
STR,Williams,6,0 days 00:01:59.204000,0 days 00:00:44.176000,0 days 00:00:48.069000,0 days 00:00:26.959000,SUPERSOFT,5,1,,,1,True,0 days 00:23:31.114000,119.204,44.176,48.069,26.959,1411.114,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3705915908862119,0.403249890943257,0.2261585181705312,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,110.43022222222221,18,Opening,12.388999999999996,False,False,False,True
LEC,Sauber,6,0 days 00:01:58.924000,0 days 00:00:44.109000,0 days 00:00:48.306000,0 days 00:00:26.509000,SUPERSOFT,5,1,,,1,True,0 days 00:23:31.683000,118.924,44.109,48.306,26.509,1411.683,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.37090074333187584,0.4061921899700649,0.22290706669805926,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,109.94505263157896,19,Opening,11.521,False,False,False,True
RAI,Ferrari,6,0 days 00:02:00.197000,0 days 00:00:44.987000,0 days 00:00:48.832000,0 days 00:00:26.378000,ULTRASOFT,4,3,,,1,True,0 days 00:23:33.326000,120.197,44.987,48.832,26.378,1413.326,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3742772282170104,0.40626637936054977,0.21945639242243983,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,109.98387499999998,40,Closing,13.674000000000007,False,False,False,True
VAN,McLaren,6,0 days 00:02:00.462000,0 days 00:00:44.682000,0 days 00:00:48.836000,0 days 00:00:26.944000,SUPERSOFT,5,1,,,1,True,0 days 00:23:33.342000,120.462,44.682,48.836,26.944,1413.342,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.37092195049061116,0.4054058541282728,0.22367219538111602,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,112.27866666666667,12,Opening,12.796000000000006,False,False,False,True
GRO,Haas F1 Team,6,0 days 00:02:00.579000,0 days 00:00:45.160000,0 days 00:00:49.247000,0 days 00:00:26.172000,SUPERSOFT,4,2,,,1,True,0 days 00:23:34.590000,120.579,45.16,49.247,26.172,1414.59,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.374526244205044,0.408421035171962,0.21705272062299408,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,109.91254285714285,35,Mid,13.698999999999998,False,False,False,True
HAR,Toro Rosso,6,0 days 00:02:00.876000,0 days 00:00:44.850000,0 days 00:00:49.230000,0 days 00:00:26.796000,ULTRASOFT,5,2,,,1,True,0 days 00:23:34.726000,120.876,44.85,49.23,26.796,1414.726,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3710413977960885,0.4072768787848704,0.221681723419041,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,112.4956875,16,Mid,12.588000000000008,False,False,False,True
PER,Force India,6,0 days 00:02:01.780000,0 days 00:00:45.752000,0 days 00:00:49.618000,0 days 00:00:26.410000,Soft,4,2,,,1,True,0 days 00:23:36.134000,121.78,45.752,49.618,26.41,1416.134,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.37569387419937594,0.4074396452619478,0.2168664805386763,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,109.75382857142857,35,Mid,15.573999999999998,False,False,False,True
MAG,Haas F1 Team,6,0 days 00:02:01.793000,0 days 00:00:45.222000,0 days 00:00:49.604000,0 days 00:00:26.967000,Soft,5,2,,,1,True,0 days 00:23:36.303000,121.793,45.222,49.604,26.967,1416.303,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3713021273800629,0.40728120663749146,0.2214166659824456,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,112.15911764705882,34,Mid,13.638000000000005,False,False,False,True
ALO,McLaren,6,0 days 00:02:01.811000,0 days 00:00:45.863000,0 days 00:00:49.751000,0 days 00:00:26.197000,Soft,5,2,,,1,True,0 days 00:23:36.426000,121.811,45.863,49.751,26.197,1416.426,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.37650951063532845,0.4084278102962786,0.21506267906839283,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,110.6134857142857,35,Mid,14.362000000000009,False,False,False,True
ERI,Sauber,6,0 days 00:02:02.407000,0 days 00:00:45.596000,0 days 00:00:50.122000,0 days 00:00:26.689000,Soft,5,2,,,1,True,0 days 00:23:37.791000,122.407,45.596,50.122,26.689,1417.791,1410.817,16.9,46.7,1021.8,False,26.9,68,2.7,False,True,False,FORMULA 1 2018 AZERBAIJAN GRAND PRIX,Baku,Azerbaijan,,,Street,,,0.3724950370485348,0.40947004664765907,0.21803491630380617,3,False,Azerbaijan Grand Prix,azerbaijan_grand_prix,2018,2018-04-29,115.28264285714285,14,Mid,14.482,False,False,False,True
