Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
VET,Ferrari,2,0 days 00:01:32.918000,0 days 00:00:29.696000,0 days 00:00:37.802000,0 days 00:00:25.420000,nan,0,0,,,21,True,0 days 00:10:25.524000,92.918,29.696,37.802,25.42,625.524,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.31959362018123505,0.40683183021588926,0.27357454960287564,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,92.918,1,Mid,2.2220000000000084,False,False,False,True
BOT,Mercedes,2,0 days 00:01:34.460000,0 days 00:00:30.073000,0 days 00:00:38.731000,0 days 00:00:25.656000,Soft,4,1,,,12,True,0 days 00:10:28.998000,94.46,30.073,38.731,25.656,628.998,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.31836756298962526,0.41002540757992806,0.27160702943044673,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,93.73949999999999,20,Opening,3.0829999999999984,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:34.366000,0 days 00:00:30.411000,0 days 00:00:38.236000,0 days 00:00:25.719000,Soft,4,1,,,12,True,0 days 00:10:31.046000,94.366,30.411,38.236,25.719,631.046,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.32226649428819704,0.4051883093487061,0.2725451963630969,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,93.944125,16,Opening,2.3589999999999947,False,False,False,True
RAI,Ferrari,2,0 days 00:01:34.290000,0 days 00:00:29.613000,0 days 00:00:38.892000,0 days 00:00:25.785000,Soft,4,1,,,12,True,0 days 00:10:32.029000,94.29,29.613,38.892,25.785,632.029,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.31406299713649377,0.41247216035634743,0.27346484250715875,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,94.03091666666667,12,Opening,3.4950000000000045,False,False,False,True
RIC,Red Bull Racing,2,0 days 00:01:34.422000,0 days 00:00:30.099000,0 days 00:00:38.581000,0 days 00:00:25.742000,Soft,4,1,,,12,True,0 days 00:10:32.925000,94.422,30.099,38.581,25.742,632.925,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.3187710491199085,0.40860180890046816,0.2726271419796234,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,94.073,17,Opening,2.8329999999999984,False,False,False,True
HUL,Renault,2,0 days 00:01:35.432000,0 days 00:00:30.323000,0 days 00:00:38.990000,0 days 00:00:26.119000,Medium,1,1,,,12,True,0 days 00:10:34.951000,95.432,30.323,38.99,26.119,634.951,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.3177445720513035,0.4085631653952553,0.2736922625534412,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,95.43405263157895,19,Opening,2.027000000000001,False,False,False,True
LEC,Sauber,2,0 days 00:01:35.725000,0 days 00:00:30.106000,0 days 00:00:39.338000,0 days 00:00:26.281000,Soft,6,1,,,12,True,0 days 00:10:36.085000,95.725,30.106,39.338,26.281,636.085,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.31450509271350224,0.4109480282057979,0.2745468790806999,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,95.54323529411765,17,Opening,0.5159999999999911,False,False,False,True
OCO,Force India,2,0 days 00:01:36.410000,0 days 00:00:30.584000,0 days 00:00:39.451000,0 days 00:00:26.375000,Soft,4,1,,,12,True,0 days 00:10:37.339000,96.41,30.584,39.451,26.375,637.339,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.31722850326729596,0.40920029042630435,0.27357120630639975,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,95.58427777777779,18,Opening,2.804000000000002,False,False,False,True
SAI,Renault,2,0 days 00:01:36.714000,0 days 00:00:30.683000,0 days 00:00:39.550000,0 days 00:00:26.481000,Medium,1,1,,,12,True,0 days 00:10:38.173000,96.714,30.683,39.55,26.481,638.173,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.3172549992762165,0.4089376925781169,0.2738073081456666,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,95.85575,16,Opening,2.1119999999999948,False,False,False,True
MAG,Haas F1 Team,2,0 days 00:01:36.991000,0 days 00:00:30.480000,0 days 00:00:40.189000,0 days 00:00:26.322000,Soft,4,1,,,12,True,0 days 00:10:39.551000,96.991,30.48,40.189,26.322,639.551,650.905,27.1,39.1,1008.4,False,53.1,212,0.9,False,True,False,FORMULA 1 2018 ROLEX BRITISH GRAND PRIX,Silverstone,Great Britain,,,Permanent,,,0.31425596189337157,0.4143580332195771,0.2713860048870514,3,False,British Grand Prix,british_grand_prix,2018,2018-07-08,95.50987500000001,24,Opening,3.3870000000000005,False,False,False,True
