Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
VET,Ferrari,2,0 days 00:02:11.618000,0 days 00:00:34.873000,0 days 00:00:49.848000,0 days 00:00:46.897000,nan,0,0,,,4,False,0 days 00:10:49.458000,131.618,34.873,49.848,46.897,649.458,620.934,20.0,27.0,1017.9,False,41.5,36,1.6,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.2649561610114118,0.3787323922259873,0.35631144676260085,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,131.618,1,Mid,57.653999999999996,True,False,False,True
BOT,Mercedes,2,0 days 00:02:10.792000,0 days 00:00:34.457000,0 days 00:00:49.588000,0 days 00:00:46.747000,ULTRASOFT,4,1,,,4,False,0 days 00:10:50.371000,130.792,34.457,49.588,46.747,650.371,620.934,20.0,27.0,1017.9,False,41.5,36,1.6,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.26344883479111875,0.3791363386139825,0.35741482659489876,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,80.65765714285715,35,Opening,56.8,True,False,False,True
VER,Red Bull Racing,2,0 days 00:02:09.653000,0 days 00:00:34.755000,0 days 00:00:49.153000,0 days 00:00:45.745000,HYPERSOFT,4,1,,,4,False,0 days 00:10:51.043000,129.653,34.755,49.153,45.745,651.043,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.268061672309935,0.3791119372478848,0.3528263904421803,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,87.627,15,Opening,55.78899999999999,True,False,False,True
HAM,Mercedes,2,0 days 00:02:08.904000,0 days 00:00:34.875000,0 days 00:00:47.313000,0 days 00:00:46.716000,ULTRASOFT,4,1,,,4,False,0 days 00:10:53.344000,128.904,34.875,47.313,46.716,653.344,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.27055017687581456,0.3670405883448148,0.3624092347793707,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,87.58113333333334,15,Opening,54.72099999999999,True,False,False,True
RIC,Red Bull Racing,2,0 days 00:02:08.844000,0 days 00:00:35.219000,0 days 00:00:47.649000,0 days 00:00:45.976000,HYPERSOFT,4,1,,,4,False,0 days 00:10:54.203000,128.844,35.219,47.649,45.976,654.203,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.2733460619043184,0.36981931638260224,0.3568346217130794,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,86.7635625,16,Opening,55.009,True,False,False,True
RAI,Ferrari,2,0 days 00:02:09.069000,0 days 00:00:34.945000,0 days 00:00:48.610000,0 days 00:00:45.514000,ULTRASOFT,4,1,,,4,False,0 days 00:10:56.168000,129.069,34.945,48.61,45.514,656.168,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.2707466548900201,0.37662025738171057,0.35263308772826946,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,81.47754838709677,31,Opening,54.993999999999986,True,False,False,True
OCO,Force India,2,0 days 00:02:08.981000,0 days 00:00:35.341000,0 days 00:00:48.148000,0 days 00:00:45.492000,HYPERSOFT,4,1,,,4,False,0 days 00:10:56.834000,128.981,35.341,48.148,45.492,656.834,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.2740015971344617,0.3732952915545701,0.35270311131096826,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,93.6174,10,Opening,53.48299999999999,True,False,False,True
HUL,Renault,2,0 days 00:02:09.285000,0 days 00:00:35.097000,0 days 00:00:48.497000,0 days 00:00:45.691000,HYPERSOFT,4,1,,,4,False,0 days 00:10:58.661000,129.285,35.097,48.497,45.691,658.661,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.27147000812159183,0.3751169895966276,0.3534130022817806,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,90.53399999999999,12,Opening,53.797,True,False,False,True
SAI,Renault,2,0 days 00:02:08.343000,0 days 00:00:34.332000,0 days 00:00:48.668000,0 days 00:00:45.343000,HYPERSOFT,4,1,,,4,False,0 days 00:10:59.688000,128.343,34.332,48.668,45.343,659.688,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.26750192842617054,0.3792026055180259,0.35329546605580364,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,89.46453846153847,13,Opening,52.67699999999999,True,False,False,True
PER,Force India,2,0 days 00:02:09.605000,0 days 00:00:35.010000,0 days 00:00:48.263000,0 days 00:00:46.332000,HYPERSOFT,4,1,,,4,False,0 days 00:11:01.517000,129.605,35.01,48.263,46.332,661.517,680.949,20.1,27.7,1017.9,False,41.2,355,1.2,False,True,False,FORMULA 1 GRAND PRIX HEINEKEN DU CANADA 2018,Montréal,Canada,,,Permanent,,,0.2701284672659234,0.3723853246402531,0.3574862080938236,1,False,Canadian Grand Prix,canadian_grand_prix,2018,2018-06-10,98.19075,8,Opening,54.504999999999995,True,False,False,True
