Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
VET,Ferrari,2,0 days 00:01:38.417000,0 days 00:00:26.169000,0 days 00:00:29.468000,0 days 00:00:42.780000,nan,0,0,,,,False,0 days 00:10:54.870000,98.417,26.169,29.468,42.78,654.87,632.897,19.8,23.4,1018.4,False,38.3,109,1.4,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.2658991840840505,0.29941981568225,0.4346810002336995,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,98.417,1,Mid,0.9380000000000024,False,False,False,True
BOT,Mercedes,2,0 days 00:01:39.357000,0 days 00:00:26.323000,0 days 00:00:29.919000,0 days 00:00:43.115000,Soft,4,1,,,,False,0 days 00:10:56.890000,99.357,26.323,29.919,43.115,656.89,632.897,19.8,23.4,1018.4,False,38.3,109,1.4,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.26493352254999647,0.3011262417343519,0.43394023571565166,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,101.08895454545454,44,Opening,2.3700000000000045,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:39.367000,0 days 00:00:26.431000,0 days 00:00:29.770000,0 days 00:00:43.166000,ULTRASOFT,4,1,,,,False,0 days 00:10:58.054000,99.367,26.431,29.77,43.166,658.054,632.897,19.8,23.4,1018.4,False,38.3,109,1.4,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.2659937403765838,0.2995964455000151,0.4344098141234011,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,101.39367441860465,43,Opening,3.1610000000000014,False,False,False,True
RAI,Ferrari,2,0 days 00:01:39.580000,0 days 00:00:26.522000,0 days 00:00:30.003000,0 days 00:00:43.055000,Soft,4,1,,,,False,0 days 00:10:59.316000,99.58,26.522,30.003,43.055,659.316,632.897,19.8,23.4,1018.4,False,38.3,109,1.4,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.26633862221329585,0.3012954408515766,0.43236593693512754,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,102.48924444444444,45,Opening,3.1239999999999952,False,False,False,True
HAM,Mercedes,2,0 days 00:01:39.660000,0 days 00:00:26.390000,0 days 00:00:30.157000,0 days 00:00:43.113000,Soft,4,1,,,,False,0 days 00:11:00.148000,99.66,26.39,30.157,43.113,660.148,632.897,19.8,23.4,1018.4,False,38.3,109,1.4,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.2648003210917118,0.30259883604254467,0.4326008428657435,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,101.40695348837208,43,Opening,2.7819999999999965,False,False,False,True
RIC,Red Bull Racing,2,0 days 00:01:40.480000,0 days 00:00:26.789000,0 days 00:00:30.247000,0 days 00:00:43.444000,ULTRASOFT,4,1,,,,False,0 days 00:11:01.580000,100.48,26.789,30.247,43.444,661.58,632.897,19.8,23.4,1018.4,False,38.3,109,1.4,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.2666102707006369,0.30102507961783437,0.43236464968152866,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,101.17729545454546,44,Opening,4.695000000000007,False,False,False,True
HUL,Renault,2,0 days 00:01:40.964000,0 days 00:00:26.914000,0 days 00:00:30.533000,0 days 00:00:43.517000,ULTRASOFT,4,1,,,,False,0 days 00:11:02.817000,100.964,26.914,30.533,43.517,662.817,632.897,19.8,23.4,1018.4,False,38.3,109,1.4,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.26657026266788164,0.30241472207915693,0.4310150152529615,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,102.89104545454546,44,Opening,4.082999999999998,False,False,False,True
SAI,Renault,2,0 days 00:01:41.594000,0 days 00:00:27.102000,0 days 00:00:30.876000,0 days 00:00:43.616000,ULTRASOFT,4,1,,,,False,0 days 00:11:03.858000,101.594,27.102,30.876,43.616,663.858,692.921,19.6,23.5,1018.4,False,38.2,96,1.7,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.26676772250329744,0.3039155855660768,0.4293166919306258,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,103.05313636363636,44,Opening,3.839999999999989,False,False,False,True
GRO,Haas F1 Team,2,0 days 00:01:42.127000,0 days 00:00:27.081000,0 days 00:00:30.928000,0 days 00:00:44.118000,ULTRASOFT,4,1,,,,False,0 days 00:11:04.935000,102.127,27.081,30.928,44.118,664.935,692.921,19.6,23.5,1018.4,False,38.2,96,1.7,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.2651698375552009,0.302838622499437,0.4319915399453622,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,104.38857777777777,45,Opening,4.716999999999999,False,False,False,True
MAG,Haas F1 Team,2,0 days 00:01:42.220000,0 days 00:00:27.151000,0 days 00:00:31.108000,0 days 00:00:43.961000,Soft,5,1,,,,False,0 days 00:11:05.686000,102.22,27.151,31.108,43.961,665.686,692.921,19.6,23.5,1018.4,False,38.2,96,1.7,False,True,False,FORMULA 1 2018 HEINEKEN CHINESE GRAND PRIX,Shanghai,China,,,Permanent,,,0.26561338289962827,0.3043240070436314,0.43006261005674035,1,False,Chinese Grand Prix,chinese_grand_prix,2018,2018-04-15,104.04457777777779,45,Opening,4.067999999999998,False,False,False,True
