Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
STR,Williams,2,0 days 00:02:21.266000,0 days 00:00:34.420000,0 days 00:00:39.454000,0 days 00:01:07.392000,Soft,1,2,,0 days 00:10:13.536000,4,False,0 days 00:12:34.028000,141.266,34.42,39.454,67.392,754.028,770.321,24.5,49.9,966.6,False,42.1,110,2.1,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.2436538162048901,0.2792887177381677,0.4770574660569422,1,False,French Grand Prix,french_grand_prix,2018,2018-06-24,102.4190652173913,46,Closing,42.94699999999999,True,False,False,True
SIR,Williams,2,0 days 00:02:14.396000,0 days 00:00:33.193000,0 days 00:00:34.909000,0 days 00:01:06.294000,Soft,1,2,,0 days 00:10:21.956000,4,False,0 days 00:12:35.627000,134.396,33.193,34.909,66.294,755.627,770.321,24.5,49.9,966.6,False,42.1,110,2.1,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.24697907675823685,0.25974731390815203,0.49327360933361114,1,False,French Grand Prix,french_grand_prix,2018,2018-06-24,102.90366,50,Closing,36.09599999999999,True,False,False,True
ALO,McLaren,2,0 days 00:02:15.080000,0 days 00:00:34.993000,0 days 00:00:38.163000,0 days 00:01:01.924000,Soft,1,2,,0 days 00:10:23.003000,4,False,0 days 00:12:37.319000,135.08,34.993,38.163,61.924,757.319,770.321,24.5,49.9,966.6,False,42.1,110,2.1,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.2590538939887474,0.2825214687592537,0.4584246372519988,1,False,French Grand Prix,french_grand_prix,2018,2018-06-24,102.5500909090909,44,Mid,39.94700000000002,True,False,False,True
VET,Ferrari,2,0 days 00:02:09.901000,0 days 00:00:32.051000,0 days 00:00:35.733000,0 days 00:01:02.117000,Soft,1,2,,0 days 00:10:29.065000,4,False,0 days 00:12:38.195000,129.901,32.051,35.733,62.117,758.195,770.321,24.5,49.9,966.6,False,42.1,110,2.1,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.24673405131600218,0.27507871378973214,0.47818723489426557,1,False,French Grand Prix,french_grand_prix,2018,2018-06-24,101.26828947368422,38,Mid,35.41600000000001,True,False,False,True
BOT,Mercedes,2,0 days 00:01:52.453000,0 days 00:00:35.656000,0 days 00:00:31.430000,0 days 00:00:45.367000,Soft,1,2,,0 days 00:11:06.599000,4,False,0 days 00:12:58.291000,112.453,35.656,31.43,45.367,778.291,770.321,24.5,49.9,966.6,False,42.1,110,2.1,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.31707468898117436,0.279494544387433,0.40343076663139266,2,False,French Grand Prix,french_grand_prix,2018,2018-06-24,100.90908108108108,37,Mid,18.22800000000001,True,False,False,True
HAM,Mercedes,3,0 days 00:02:29.156000,0 days 00:00:41.667000,0 days 00:00:41.991000,0 days 00:01:05.498000,SUPERSOFT,4,1,,,4,False,0 days 00:14:44.155000,149.156,41.667,41.991,65.498,884.155,890.347,24.2,49.8,966.4,False,42.4,140,1.7,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.2793518195714554,0.28152404194266406,0.43912413848588056,1,False,French Grand Prix,french_grand_prix,2018,2018-06-24,102.2551935483871,31,Opening,54.647000000000006,True,False,False,True
VER,Red Bull Racing,3,0 days 00:02:28.906000,0 days 00:00:41.813000,0 days 00:00:41.485000,0 days 00:01:05.608000,SUPERSOFT,5,1,,,4,False,0 days 00:14:45.243000,148.906,41.813,41.485,65.608,885.243,890.347,24.2,49.8,966.4,False,42.4,140,1.7,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.28080131089412114,0.27859857896928264,0.4406001101365963,2,False,French Grand Prix,french_grand_prix,2018,2018-06-24,104.67008695652173,23,Opening,54.631,True,False,False,True
SAI,Renault,3,0 days 00:02:29.140000,0 days 00:00:41.945000,0 days 00:00:41.700000,0 days 00:01:05.495000,ULTRASOFT,5,1,,,4,False,0 days 00:14:46.636000,149.14,41.945,41.7,65.495,886.636,890.347,24.2,49.8,966.4,False,42.4,140,1.7,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.28124580930669174,0.2796030575298378,0.43915113316347065,2,False,French Grand Prix,french_grand_prix,2018,2018-06-24,105.94854166666666,24,Opening,53.50199999999998,True,False,False,True
RIC,Red Bull Racing,3,0 days 00:02:28.927000,0 days 00:00:42.521000,0 days 00:00:41.010000,0 days 00:01:05.396000,SUPERSOFT,7,1,,,4,False,0 days 00:14:47.624000,148.927,42.521,41.01,65.396,887.624,890.347,24.2,49.8,966.4,False,42.4,140,1.7,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.28551572246805484,0.2753698120555709,0.43911446547637434,2,False,French Grand Prix,french_grand_prix,2018,2018-06-24,103.77253846153847,26,Opening,53.54499999999999,True,False,False,True
MAG,Haas F1 Team,3,0 days 00:02:28.690000,0 days 00:00:43.140000,0 days 00:00:41.380000,0 days 00:01:04.170000,ULTRASOFT,5,1,,,4,False,0 days 00:14:48.460000,148.69,43.14,41.38,64.17,888.46,890.347,24.2,49.8,966.4,False,42.4,140,1.7,False,True,False,FORMULA 1 PIRELLI GRAND PRIX DE FRANCE 2018,Le Castellet,France,,,Permanent,,,0.29013383549667093,0.2782971282534132,0.43156903624991594,2,False,French Grand Prix,french_grand_prix,2018,2018-06-24,105.27073076923078,26,Opening,53.265,True,False,False,True
