Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
HAM,Mercedes,2,0 days 00:01:34.467000,0 days 00:00:33.750000,0 days 00:00:42.325000,0 days 00:00:18.392000,nan,0,0,,,1,True,0 days 00:21:41.045000,94.467,33.75,42.325,18.392,1301.045,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.35726761726317124,0.4480400563159622,0.19469232642086653,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,94.467,1,Mid,1.6820000000000022,False,False,False,True
BOT,Mercedes,2,0 days 00:01:35.443000,0 days 00:00:34.362000,0 days 00:00:42.762000,0 days 00:00:18.319000,Soft,4,1,,,1,True,0 days 00:21:43.362000,95.443,34.362,42.762,18.319,1303.362,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.36002640319352913,0.44803704829060276,0.1919365485158681,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,103.915,22,Opening,2.3329999999999984,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:35.111000,0 days 00:00:34.302000,0 days 00:00:42.501000,0 days 00:00:18.308000,SUPERSOFT,4,1,,,1,True,0 days 00:21:45.595000,95.111,34.302,42.501,18.308,1305.595,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.36065229048164776,0.44685683044022245,0.19249087907812976,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,104.9653,20,Opening,1.7439999999999998,False,False,False,True
VET,Ferrari,2,0 days 00:01:35.751000,0 days 00:00:34.734000,0 days 00:00:42.625000,0 days 00:00:18.392000,SUPERSOFT,4,1,,,1,True,0 days 00:21:46.777000,95.751,34.734,42.625,18.392,1306.777,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.3627533916094871,0.4451650635502501,0.19208154484026274,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,104.7858,25,Opening,3.433000000000007,False,False,False,True
RAI,Ferrari,2,0 days 00:01:36.500000,0 days 00:00:35.333000,0 days 00:00:42.921000,0 days 00:00:18.246000,SUPERSOFT,4,1,,,1,True,0 days 00:21:48.094000,96.5,35.333,42.921,18.246,1308.094,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.3661450777202072,0.44477720207253885,0.18907772020725389,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,107.704125,16,Opening,2.277000000000001,False,False,False,True
GRO,Haas F1 Team,2,0 days 00:01:38.144000,0 days 00:00:36.051000,0 days 00:00:43.419000,0 days 00:00:18.674000,Soft,4,1,,,1,True,0 days 00:21:50.007000,98.144,36.051,43.419,18.674,1310.007,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.3673276002608412,0.44240096185197253,0.19027143788718617,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,103.54650000000001,28,Opening,3.358000000000004,False,False,False,True
GAS,Toro Rosso,2,0 days 00:01:37.953000,0 days 00:00:35.755000,0 days 00:00:43.569000,0 days 00:00:18.629000,SUPERSOFT,4,1,,,1,True,0 days 00:21:50.876000,97.953,35.755,43.569,18.629,1310.876,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.36502200034710525,0.444794952681388,0.19018304697150676,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,103.81035714285714,28,Opening,3.8200000000000074,False,False,False,True
PER,Racing Point,2,0 days 00:01:38.207000,0 days 00:00:35.797000,0 days 00:00:43.793000,0 days 00:00:18.617000,SUPERSOFT,4,1,,,1,True,0 days 00:21:51.639000,98.207,35.797,43.793,18.617,1311.639,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.3645055851415887,0.4459254431965135,0.18956897166189784,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,105.15404347826087,23,Opening,4.134,False,False,False,True
OCO,Racing Point,2,0 days 00:01:38.350000,0 days 00:00:35.895000,0 days 00:00:43.691000,0 days 00:00:18.764000,SUPERSOFT,4,1,,,1,True,0 days 00:21:52.370000,98.35,35.895,43.691,18.764,1312.37,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.3649720386375191,0.44423995932892735,0.19078800203355364,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,104.52807999999999,25,Opening,3.6799999999999926,False,False,False,True
HAR,Toro Rosso,2,0 days 00:01:38.547000,0 days 00:00:35.954000,0 days 00:00:43.858000,0 days 00:00:18.735000,SUPERSOFT,4,1,,,1,True,0 days 00:21:53.231000,98.547,35.954,43.858,18.735,1313.231,1312.949,28.7,49.3,1008.1,False,39.2,293,1.1,False,True,False,FORMULA 1 2018 HONDA JAPANESE GRAND PRIX,Suzuka,Japan,,,Permanent,,,0.3648411417902118,0.44504652602311584,0.19011233218667234,3,False,Japanese Grand Prix,japanese_grand_prix,2018,2018-10-07,104.28374074074074,27,Opening,3.6899999999999977,False,False,False,True
