Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
RIC,Red Bull Racing,2,0 days 00:01:18.135000,0 days 00:00:20.757000,0 days 00:00:36.560000,0 days 00:00:20.818000,nan,0,0,,,21,True,0 days 00:09:27.820000,78.135,20.757,36.56,20.818,567.82,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.26565559608370126,0.4679081077622064,0.26643629615409226,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,78.135,1,Mid,2.5730000000000075,False,False,False,True
VET,Ferrari,2,0 days 00:01:18.447000,0 days 00:00:20.792000,0 days 00:00:36.481000,0 days 00:00:21.174000,HYPERSOFT,4,1,,,21,True,0 days 00:09:29.267000,78.447,20.792,36.481,21.174,569.267,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.26504518974594315,0.4650400907619157,0.2699147194921412,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,78.2554,15,Opening,2.382000000000005,False,False,False,True
HAM,Mercedes,2,0 days 00:01:18.485000,0 days 00:00:20.879000,0 days 00:00:36.490000,0 days 00:00:21.116000,HYPERSOFT,4,1,,,21,True,0 days 00:09:30.286000,78.485,20.879,36.49,21.116,570.286,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.26602535516340703,0.4649296043830031,0.26904504045358985,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,79.15618181818182,11,Opening,2.2150000000000034,False,False,False,True
RAI,Ferrari,2,0 days 00:01:18.414000,0 days 00:00:20.887000,0 days 00:00:36.611000,0 days 00:00:20.916000,HYPERSOFT,4,1,,,21,True,0 days 00:09:31.137000,78.414,20.887,36.611,20.916,571.137,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.2663682505675007,0.4668936669472288,0.2667380824852705,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,78.66493750000001,16,Opening,2.0220000000000056,False,False,False,True
BOT,Mercedes,2,0 days 00:01:18.630000,0 days 00:00:20.860000,0 days 00:00:36.790000,0 days 00:00:20.980000,HYPERSOFT,5,1,,,21,True,0 days 00:09:32.167000,78.63,20.86,36.79,20.98,572.167,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.2652931451100089,0.46788757471702913,0.26681928017296197,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,79.495,16,Opening,2.317999999999998,False,False,False,True
OCO,Force India,2,0 days 00:01:19.010000,0 days 00:00:21.250000,0 days 00:00:36.765000,0 days 00:00:20.995000,HYPERSOFT,6,1,,,21,True,0 days 00:09:33.598000,79.01,21.25,36.765,20.995,573.598,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.2689532970510062,0.46532084546259966,0.2657258574863941,3,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,79.83945454545454,22,Opening,1.983000000000004,False,False,False,True
ALO,McLaren,2,0 days 00:01:19.987000,0 days 00:00:21.025000,0 days 00:00:37.561000,0 days 00:00:21.401000,HYPERSOFT,6,1,,,21,True,0 days 00:09:36.129000,79.987,21.025,37.561,21.401,576.129,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.2628552139722705,0.4695888081813295,0.26755597784640006,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,80.13272222222223,18,Opening,2.968999999999994,False,False,False,True
SAI,Renault,2,0 days 00:01:20.492000,0 days 00:00:21.238000,0 days 00:00:37.483000,0 days 00:00:21.771000,HYPERSOFT,4,1,,,21,True,0 days 00:09:37.429000,80.492,21.238,37.483,21.771,577.429,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.2638523083039308,0.4656736073150126,0.2704740843810565,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,80.78753333333334,15,Opening,3.0010000000000048,False,False,False,True
PER,Force India,2,0 days 00:01:20.609000,0 days 00:00:21.487000,0 days 00:00:37.484000,0 days 00:00:21.638000,HYPERSOFT,4,1,,,21,True,0 days 00:09:38.937000,80.609,21.487,37.484,21.638,578.937,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.26655832475281915,0.4650101105335633,0.2684315647136176,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,80.54555,20,Opening,3.062999999999988,False,False,False,True
GAS,Toro Rosso,2,0 days 00:01:20.619000,0 days 00:00:21.571000,0 days 00:00:37.371000,0 days 00:00:21.677000,HYPERSOFT,6,1,,,21,True,0 days 00:09:39.719000,80.619,21.571,37.371,21.677,579.719,562.713,25.8,50.6,1015.7,True,33.8,222,0.8,True,False,True,FORMULA 1 GRAND PRIX DE MONACO 2018,Monte Carlo,Monaco,,,Permanent,,,0.26756719879929053,0.4635507758716928,0.2688820253290167,1,False,Monaco Grand Prix,monaco_grand_prix,2018,2018-05-27,79.59791666666666,36,Opening,3.519999999999996,False,False,False,True
