Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
VAN,McLaren,4,0 days 00:02:29.971000,0 days 00:00:47.265000,0 days 00:00:55.108000,0 days 00:00:47.598000,ULTRASOFT,3,1,,,41,False,0 days 00:29:22.138000,149.971,47.265,55.108,47.598,1762.138,1744.36,29.8,63.5,1007.6,False,33.8,166,2.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.3151609311133486,0.3674577084903081,0.3173813603963433,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,109.53478181818181,55,Opening,44.416,True,False,False,True
STR,Williams,4,0 days 00:02:27.976000,0 days 00:00:47.267000,0 days 00:00:54.002000,0 days 00:00:46.707000,Soft,3,1,,,41,False,0 days 00:29:22.759000,147.976,47.267,54.002,46.707,1762.759,1744.36,29.8,63.5,1007.6,False,33.8,166,2.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.3194234200140564,0.36493755744174733,0.31563902254419635,3,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,110.69816216216216,37,Opening,41.943,True,False,False,True
SIR,Williams,4,0 days 00:02:24.950000,0 days 00:00:51.411000,0 days 00:00:47.425000,0 days 00:00:46.114000,Soft,1,2,,0 days 00:27:21.443000,41,False,0 days 00:29:23.335000,144.95,51.411,47.425,46.114,1763.335,1744.36,29.8,63.5,1007.6,False,33.8,166,2.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.35468092445670923,0.32718178682304244,0.3181372887202484,3,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,111.47479999999999,55,Mid,39.04799999999999,True,False,False,True
HAM,Mercedes,5,0 days 00:01:48.052000,0 days 00:00:28.716000,0 days 00:00:41.914000,0 days 00:00:37.422000,HYPERSOFT,6,1,,,1,True,0 days 00:30:57.964000,108.052,28.716,41.914,37.422,1857.964,1864.39,29.9,63.8,1007.8,False,33.9,193,1.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.26576092992262984,0.3879058231222004,0.3463332469551697,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,107.30300000000001,11,Opening,5.13900000000001,False,False,False,True
VET,Ferrari,5,0 days 00:01:48.305000,0 days 00:00:28.867000,0 days 00:00:42.141000,0 days 00:00:37.297000,HYPERSOFT,7,1,,,1,True,0 days 00:30:59.078000,108.305,28.867,42.141,37.297,1859.078,1864.39,29.9,63.8,1007.8,False,33.9,193,1.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.26653432436175617,0.3890956096209778,0.344370066017266,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,107.8631,10,Opening,3.63600000000001,False,False,False,True
VER,Red Bull Racing,5,0 days 00:01:48.360000,0 days 00:00:29.359000,0 days 00:00:41.754000,0 days 00:00:37.247000,HYPERSOFT,7,1,,,1,True,0 days 00:30:59.944000,108.36,29.359,41.754,37.247,1859.944,1864.39,29.9,63.8,1007.8,False,33.9,193,1.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.2709394610557401,0.3853266888150609,0.343733850129199,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,107.384,13,Opening,5.015000000000001,False,False,False,True
BOT,Mercedes,5,0 days 00:01:48.477000,0 days 00:00:29.277000,0 days 00:00:42.063000,0 days 00:00:37.137000,HYPERSOFT,7,1,,,1,True,0 days 00:31:00.658000,108.477,29.277,42.063,37.137,1860.658,1864.39,29.9,63.8,1007.8,False,33.9,193,1.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.269891313365967,0.3877596172460522,0.3423490693879809,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,107.92908333333332,12,Opening,3.757000000000005,False,False,False,True
RAI,Ferrari,5,0 days 00:01:48.817000,0 days 00:00:29.062000,0 days 00:00:42.595000,0 days 00:00:37.160000,HYPERSOFT,7,1,,,1,True,0 days 00:31:01.647000,108.817,29.062,42.595,37.16,1861.647,1864.39,29.9,63.8,1007.8,False,33.9,193,1.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.26707224055064926,0.39143699973349755,0.3414907597158532,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,107.54861111111111,18,Opening,4.10199999999999,False,False,False,True
RIC,Red Bull Racing,5,0 days 00:01:49.039000,0 days 00:00:29.424000,0 days 00:00:42.209000,0 days 00:00:37.406000,HYPERSOFT,7,1,,,1,True,0 days 00:31:02.718000,109.039,29.424,42.209,37.406,1862.718,1864.39,29.9,63.8,1007.8,False,33.9,193,1.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.2698484028650299,0.3871000284301947,0.3430515687047753,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,107.33721739130434,23,Opening,5.918999999999997,False,False,False,True
PER,Racing Point,5,0 days 00:01:48.673000,0 days 00:00:29.325000,0 days 00:00:42.134000,0 days 00:00:37.214000,HYPERSOFT,7,1,,,1,True,0 days 00:31:03.828000,108.673,29.325,42.134,37.214,1863.828,1864.39,29.9,63.8,1007.8,False,33.9,193,1.1,False,True,False,FORMULA 1 2018 SINGAPORE AIRLINES SINGAPORE GRAND PRIX,Singapore,Singapore,,,Permanent,,,0.2698462359555731,0.38771359951413875,0.3424401645302881,1,False,Singapore Grand Prix,singapore_grand_prix,2018,2018-09-16,109.54607692307692,13,Opening,3.284000000000006,False,False,False,True
