Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
SIR,Williams,2,0 days 00:02:29.412000,0 days 00:01:00.925000,0 days 00:00:47.735000,0 days 00:00:40.752000,Soft,1,1,,0 days 00:09:39.415000,4,False,0 days 00:11:49.517000,149.412,60.925,47.735,40.752,709.517,693.635,16.0,52.9,1001.5,True,35.0,0,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.407765105881723,0.319485717345327,0.27274917677294996,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,139.23,3,Opening,66.732,True,False,False,True
HAM,Mercedes,3,0 days 00:02:12.826000,0 days 00:00:45.304000,0 days 00:00:47.505000,0 days 00:00:40.017000,Soft,4,1,,,4,False,0 days 00:13:41.163000,132.826,45.304,47.505,40.017,821.163,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34107780103293034,0.3576483519792812,0.3012738469877886,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,90.39265217391304,23,Opening,53.693,True,False,False,True
VET,Ferrari,3,0 days 00:02:13.906000,0 days 00:00:45.942000,0 days 00:00:48.653000,0 days 00:00:39.311000,Soft,5,1,,,4,False,0 days 00:13:43.375000,133.906,45.942,48.653,39.311,823.375,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34309142234104517,0.363336967723627,0.29357160993532777,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,95.73679999999999,15,Opening,54.778000000000006,True,False,False,True
BOT,Mercedes,3,0 days 00:02:12.648000,0 days 00:00:45.535000,0 days 00:00:47.509000,0 days 00:00:39.604000,Soft,5,1,,,4,False,0 days 00:13:44.205000,132.648,45.535,47.509,39.604,824.205,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.3432769434895362,0.3581584343525722,0.2985646221578916,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,93.97835294117647,17,Opening,53.17,True,False,False,True
RAI,Ferrari,3,0 days 00:02:13.153000,0 days 00:00:46.054000,0 days 00:00:47.688000,0 days 00:00:39.411000,Soft,5,1,,,4,False,0 days 00:13:45.326000,133.153,46.054,47.688,39.411,825.326,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34587279295246826,0.3581443902878644,0.2959828167596675,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,93.1474347826087,23,Opening,51.621999999999986,True,False,False,True
VER,Red Bull Racing,3,0 days 00:02:13.094000,0 days 00:00:45.515000,0 days 00:00:47.108000,0 days 00:00:40.471000,Soft,5,1,,,4,False,0 days 00:13:46.795000,133.094,45.515,47.108,40.471,826.795,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.3419763475438412,0.3539453318707079,0.30407832058545087,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,88.26484375,32,Opening,53.672,True,False,False,True
RIC,Red Bull Racing,3,0 days 00:02:13.445000,0 days 00:00:46.688000,0 days 00:00:47.242000,0 days 00:00:39.515000,Soft,5,1,,,4,False,0 days 00:13:48.320000,133.445,46.688,47.242,39.515,828.32,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34986698639889097,0.35401850949829516,0.2961145041028139,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,88.70964516129031,31,Opening,55.00399999999999,True,False,False,True
MAG,Haas F1 Team,3,0 days 00:02:13.292000,0 days 00:00:46.681000,0 days 00:00:46.907000,0 days 00:00:39.704000,Soft,6,1,,,4,False,0 days 00:13:49.623000,133.292,46.681,46.907,39.704,829.623,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.350216066980764,0.351911592593704,0.2978723404255319,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,89.8359,30,Opening,53.04600000000001,True,False,False,True
SAI,Renault,3,0 days 00:02:13.005000,0 days 00:00:46.454000,0 days 00:00:47.133000,0 days 00:00:39.418000,Soft,6,1,,,4,False,0 days 00:13:50.711000,133.005,46.454,47.133,39.418,830.711,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.3492650652231119,0.3543701364610353,0.2963647983158528,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,92.25721739130435,23,Opening,51.681,True,False,False,True
LEC,Sauber,3,0 days 00:02:11.588000,0 days 00:00:45.132000,0 days 00:00:47.324000,0 days 00:00:39.132000,Soft,2,1,,,4,False,0 days 00:13:51.796000,131.588,45.132,47.324,39.132,831.796,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34297960300331337,0.3596376569292033,0.29738274006748333,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,94.73611111111111,18,Opening,49.465999999999994,True,False,False,True
OCO,Force India,3,0 days 00:02:11.580000,0 days 00:00:45.044000,0 days 00:00:47.183000,0 days 00:00:39.353000,Soft,2,1,,,4,False,0 days 00:13:52.997000,131.58,45.044,47.183,39.353,832.997,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34233166134670917,0.3585879312965496,0.29908040735674113,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,91.1211111111111,27,Opening,49.46300000000001,True,False,False,True
ALO,McLaren,3,0 days 00:02:12.147000,0 days 00:00:45.590000,0 days 00:00:48.051000,0 days 00:00:38.506000,SUPERSOFT,5,1,,,4,False,0 days 00:13:54.440000,132.147,45.59,48.051,38.506,834.44,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34499458935882016,0.3636177892801199,0.29138762136106006,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,94.12294736842105,19,Opening,51.41999999999999,True,False,False,True
STR,Williams,3,0 days 00:02:12.536000,0 days 00:00:45.676000,0 days 00:00:48.108000,0 days 00:00:38.752000,Soft,2,1,,,4,False,0 days 00:13:55.825000,132.536,45.676,48.108,38.752,835.825,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.3446308927385767,0.3629806241323112,0.2923884831291121,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,95.07488888888889,18,Opening,50.441,True,False,False,True
PER,Force India,3,0 days 00:02:12.716000,0 days 00:00:45.412000,0 days 00:00:48.567000,0 days 00:00:38.737000,Soft,2,1,,,4,False,0 days 00:13:56.657000,132.716,45.412,48.567,38.737,836.657,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34217426685554114,0.36594683384068233,0.2918788993037765,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,92.40583333333332,24,Opening,51.58800000000001,True,False,False,True
VAN,McLaren,3,0 days 00:02:14.185000,0 days 00:00:46.118000,0 days 00:00:48.387000,0 days 00:00:39.680000,Soft,5,1,,,4,False,0 days 00:13:59.007000,134.185,46.118,48.387,39.68,839.007,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.34368968215523343,0.3605991727838432,0.29571114506092333,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,90.1404375,32,Opening,51.59100000000001,True,False,False,True
ERI,Sauber,3,0 days 00:02:14.154000,0 days 00:00:47.522000,0 days 00:00:47.184000,0 days 00:00:39.448000,Medium,2,1,,,4,False,0 days 00:14:00.800000,134.154,47.522,47.184,39.448,840.8,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.35423468551068177,0.35171519298716397,0.29405012150215426,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,89.98984848484848,33,Opening,51.667,True,False,False,True
HAR,Toro Rosso,3,0 days 00:02:15.104000,0 days 00:00:48.195000,0 days 00:00:46.414000,0 days 00:00:40.495000,Soft,2,1,,,4,False,0 days 00:14:02.481000,135.104,48.195,46.414,40.495,842.481,813.666,16.3,51.0,1001.5,True,35.6,189,1.4,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.356725189483657,0.3435427522501184,0.2997320582662245,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,134.4565,2,Opening,53.66500000000002,True,False,False,True
SIR,Williams,3,0 days 00:02:14.646000,0 days 00:00:47.296000,0 days 00:00:46.362000,0 days 00:00:40.988000,Soft,2,1,,,4,False,0 days 00:14:04.163000,134.646,47.296,46.362,40.988,844.163,873.68,16.0,52.0,1001.4,True,34.0,293,1.3,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.3512618273101318,0.34432511920146164,0.30441305348840664,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,139.23,3,Opening,51.96599999999998,True,False,False,True
HAM,Mercedes,4,0 days 00:02:08.778000,0 days 00:00:40.486000,0 days 00:00:46.974000,0 days 00:00:41.318000,Soft,5,1,,,4,False,0 days 00:15:49.941000,128.778,40.486,46.974,41.318,949.941,933.693,15.9,52.0,1001.4,True,34.0,342,1.3,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.3143859976082871,0.36476727391324604,0.32084672847846685,1,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,90.39265217391304,23,Opening,49.644999999999996,True,False,False,True
VET,Ferrari,4,0 days 00:02:08.681000,0 days 00:00:40.440000,0 days 00:00:47.662000,0 days 00:00:40.579000,Soft,6,1,,,4,False,0 days 00:15:52.056000,128.681,40.44,47.662,40.579,952.056,933.693,15.9,52.0,1001.4,True,34.0,342,1.3,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.31426550928264463,0.37038879088598936,0.3153456998313659,1,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,95.73679999999999,15,Opening,49.55300000000001,True,False,False,True
BOT,Mercedes,4,0 days 00:02:08.556000,0 days 00:00:40.529000,0 days 00:00:47.854000,0 days 00:00:40.173000,Soft,6,1,,,4,False,0 days 00:15:52.761000,128.556,40.529,47.854,40.173,952.761,933.693,15.9,52.0,1001.4,True,34.0,342,1.3,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.315263387162015,0.3722424468714023,0.31249416596658264,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,93.97835294117647,17,Opening,49.07800000000002,True,False,False,True
RAI,Ferrari,4,0 days 00:02:08.360000,0 days 00:00:41.354000,0 days 00:00:47.700000,0 days 00:00:39.306000,Soft,6,1,,,4,False,0 days 00:15:53.686000,128.36,41.354,47.7,39.306,953.686,933.693,15.9,52.0,1001.4,True,34.0,342,1.3,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.32217201620442504,0.37161109379869117,0.30621688999688373,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,93.1474347826087,23,Opening,46.82900000000001,True,False,False,True
VER,Red Bull Racing,4,0 days 00:02:07.521000,0 days 00:00:42.890000,0 days 00:00:45.311000,0 days 00:00:39.320000,Soft,6,1,,,4,False,0 days 00:15:54.316000,127.521,42.89,45.311,39.32,954.316,933.693,15.9,52.0,1001.4,True,34.0,342,1.3,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.33633676021988534,0.3553218685549831,0.30834137122513156,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,88.26484375,32,Opening,48.099000000000004,True,False,False,True
RIC,Red Bull Racing,4,0 days 00:02:08.545000,0 days 00:00:43.665000,0 days 00:00:45.031000,0 days 00:00:39.849000,Soft,6,1,,,4,False,0 days 00:15:56.865000,128.545,43.665,45.031,39.849,956.865,933.693,15.9,52.0,1001.4,True,34.0,342,1.3,True,False,True,FORMULA 1 GRAN PREMIO DE ESPAÑA EMIRATES 2018,Barcelona,Spain,,,Permanent,,,0.33968649111206195,0.35031311991909453,0.3100003889688436,3,False,Spanish Grand Prix,spanish_grand_prix,2018,2018-05-13,88.70964516129031,31,Opening,50.103999999999985,True,False,False,True
