Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
BOT,Mercedes,2,0 days 00:01:29.662000,0 days 00:00:30.155000,0 days 00:00:23.778000,0 days 00:00:35.729000,Soft,5,1,,,1,True,0 days 00:36:36.429000,89.662,30.155,23.778,35.729,2196.429,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.336318618812875,0.2651959581539559,0.398485423033169,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,89.36868181818183,22,Opening,4.082000000000008,False,False,False,True
HAM,Mercedes,2,0 days 00:01:29.759000,0 days 00:00:30.224000,0 days 00:00:23.854000,0 days 00:00:35.681000,Soft,5,1,,,1,True,0 days 00:36:37.600000,89.759,30.224,23.854,35.681,2197.6,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.3367238939827761,0.2657560801702336,0.39752002584699025,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,90.27571428571427,14,Opening,3.701999999999998,False,False,False,True
VET,Ferrari,2,0 days 00:01:30.095000,0 days 00:00:30.307000,0 days 00:00:23.917000,0 days 00:00:35.871000,Soft,5,1,,,1,True,0 days 00:36:38.675000,90.095,30.307,23.917,35.871,2198.675,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.3363893667795105,0.2654642321993452,0.3981464010211444,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,90.69084615384615,13,Opening,2.1410000000000053,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:30.053000,0 days 00:00:30.330000,0 days 00:00:23.855000,0 days 00:00:35.868000,Soft,5,1,,,1,True,0 days 00:36:39.298000,90.053,30.33,23.855,35.868,2199.298,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.3368016612439341,0.26489955914850144,0.3982987796075645,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,89.88670833333333,24,Opening,3.796999999999997,False,False,False,True
LEC,Ferrari,2,0 days 00:01:30.636000,0 days 00:00:30.491000,0 days 00:00:23.992000,0 days 00:00:36.153000,Soft,5,1,,,1,True,0 days 00:36:40.632000,90.636,30.491,23.992,36.153,2200.632,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.33641158038748403,0.264707180369831,0.39888123924268504,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,90.24288461538461,26,Opening,3.7099999999999937,False,False,False,True
MAG,Haas F1 Team,2,0 days 00:01:30.912000,0 days 00:00:30.448000,0 days 00:00:24.296000,0 days 00:00:36.168000,Soft,5,1,,,1,True,0 days 00:36:42.109000,90.912,30.448,24.296,36.168,2202.109,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.3349172826469553,0.26724744808166134,0.3978352692713833,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,91.98176923076923,13,Opening,2.730000000000004,False,False,False,True
GRO,Haas F1 Team,2,0 days 00:01:31.050000,0 days 00:00:30.651000,0 days 00:00:24.112000,0 days 00:00:36.287000,Soft,5,1,,,1,True,0 days 00:36:43.120000,91.05,30.651,24.112,36.287,2203.12,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.3366392092257002,0.2648215266337177,0.3985392641405821,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,92.47349999999999,14,Opening,2.587999999999994,False,False,False,True
HUL,Renault,2,0 days 00:01:31.205000,0 days 00:00:30.746000,0 days 00:00:24.107000,0 days 00:00:36.352000,Soft,2,1,,,1,True,0 days 00:36:43.851000,91.205,30.746,24.107,36.352,2203.851,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.3371087111452223,0.26431664930650733,0.3985746395482703,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,92.12591666666667,12,Opening,2.7609999999999957,False,False,False,True
RAI,Alfa Romeo Racing,2,0 days 00:01:31.184000,0 days 00:00:30.599000,0 days 00:00:24.132000,0 days 00:00:36.453000,Soft,5,1,,,1,True,0 days 00:36:44.645000,91.184,30.599,24.132,36.453,2204.645,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.3355742235479909,0.26465169327952276,0.39977408317248647,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,92.53718181818182,11,Opening,2.9140000000000015,False,False,False,True
NOR,McLaren,2,0 days 00:01:31.414000,0 days 00:00:30.609000,0 days 00:00:24.234000,0 days 00:00:36.571000,Soft,5,1,,,1,True,0 days 00:36:45.485000,91.414,30.609,24.234,36.571,2205.485,2176.132,23.6,70.1,1015.3,False,43.3,191,1.3,False,True,False,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2019,Melbourne,Australia,,,Permanent,,,0.33483930251383814,0.26510162557157546,0.40005907191458634,2,False,Australian Grand Prix,australian_grand_prix,2019,2019-03-17,92.151,14,Opening,2.8589999999999947,False,False,False,True
