Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
VET,Ferrari,2,0 days 00:01:36.605000,0 days 00:00:30.628000,0 days 00:00:42.006000,0 days 00:00:23.971000,Soft,5,1,,,21,True,0 days 00:36:45.727000,96.605,30.628,42.006,23.971,2205.727,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.31704363128202473,0.43482221417110917,0.2481341545468661,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,97.80546153846154,13,Opening,1.710000000000008,False,False,False,True
LEC,Ferrari,2,0 days 00:01:36.602000,0 days 00:00:30.754000,0 days 00:00:42.160000,0 days 00:00:23.688000,Soft,5,1,,,21,True,0 days 00:36:47.648000,96.602,30.754,42.16,23.688,2207.648,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.3183577979751972,0.43642988757996726,0.2452123144448355,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,97.32983333333334,12,Opening,3.1910000000000025,False,False,False,True
HAM,Mercedes,2,0 days 00:01:37.993000,0 days 00:00:31.473000,0 days 00:00:42.727000,0 days 00:00:23.793000,Soft,5,1,,,21,True,0 days 00:36:49.514000,97.993,31.473,42.727,23.793,2209.514,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.32117600236751603,0.43602094027124383,0.24280305736124008,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,97.70224999999999,12,Opening,4.464999999999989,False,False,False,True
BOT,Mercedes,2,0 days 00:01:40.173000,0 days 00:00:32.451000,0 days 00:00:43.818000,0 days 00:00:23.904000,Soft,5,1,,,21,True,0 days 00:36:50.697000,100.173,32.451,43.818,23.904,2210.697,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.3239495672486598,0.43742325776406815,0.238627174987272,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,98.14745454545455,11,Opening,5.963999999999999,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:38.718000,0 days 00:00:31.094000,0 days 00:00:43.412000,0 days 00:00:24.212000,Soft,5,1,,,21,True,0 days 00:36:51.468000,98.718,31.094,43.412,24.212,2211.468,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.3149780181932373,0.43975769363236694,0.24526428817439574,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,98.2127,10,Opening,3.4069999999999965,False,False,False,True
SAI,McLaren,2,0 days 00:01:38.869000,0 days 00:00:31.197000,0 days 00:00:43.291000,0 days 00:00:24.381000,Soft,5,1,,,21,True,0 days 00:36:52.235000,98.869,31.197,43.291,24.381,2212.235,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.3155387431854272,0.4378622217277407,0.24659903508683206,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,110.82566666666666,3,Opening,3.2830000000000013,False,False,False,True
MAG,Haas F1 Team,2,0 days 00:01:38.870000,0 days 00:00:31.251000,0 days 00:00:43.290000,0 days 00:00:24.329000,Soft,5,1,,,21,True,0 days 00:36:52.991000,98.87,31.251,43.29,24.329,2212.991,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.3160817234752706,0.4378476787701021,0.24607059775462728,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,99.83633333333334,9,Opening,2.9780000000000086,False,False,False,True
RAI,Alfa Romeo Racing,2,0 days 00:01:38.792000,0 days 00:00:31.277000,0 days 00:00:43.033000,0 days 00:00:24.482000,Soft,5,1,,,21,True,0 days 00:36:53.469000,98.792,31.277,43.033,24.482,2213.469,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.3165944610899668,0.43559195076524415,0.24781358814478904,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,99.12575,8,Opening,3.203000000000003,False,False,False,True
RIC,Renault,2,0 days 00:01:38.949000,0 days 00:00:31.321000,0 days 00:00:43.406000,0 days 00:00:24.222000,Soft,2,1,,,21,True,0 days 00:36:54.064000,98.949,31.321,43.406,24.222,2214.064,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.31653680178677907,0.4386704261791428,0.24479277203407818,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,98.99552173913044,23,Opening,2.2519999999999953,False,False,False,True
PER,Racing Point,2,0 days 00:01:38.832000,0 days 00:00:31.067000,0 days 00:00:43.439000,0 days 00:00:24.326000,Soft,2,1,,,21,True,0 days 00:36:54.592000,98.832,31.067,43.439,24.326,2214.592,2211.761,26.1,53.7,1003.5,False,29.3,70,3.0,False,True,False,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2019,Sakhir,Bahrain,,,Permanent,,,0.3143415088230533,0.43952363606928935,0.24613485510765745,3,False,Bahrain Grand Prix,bahrain_grand_prix,2019,2019-03-31,99.4557142857143,7,Opening,2.5019999999999953,False,False,False,True
