Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
VER,Red Bull Racing,2,0 days 00:01:13.099000,0 days 00:00:19.026000,0 days 00:00:37.303000,0 days 00:00:16.770000,Soft,5,1,,,1,True,0 days 00:35:28.557000,73.099,19.026,37.303,16.77,2128.557,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2602771583742596,0.5103079385490908,0.22941490307664947,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,73.80454999999999,20,Opening,2.237000000000009,False,False,False,True
HAM,Mercedes,2,0 days 00:01:13.458000,0 days 00:00:19.037000,0 days 00:00:37.631000,0 days 00:00:16.790000,Soft,5,1,,,1,True,0 days 00:35:30.258000,73.458,19.037,37.631,16.79,2130.258,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2591548912303629,0.5122791254866726,0.2285659832829644,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,73.8,19,Opening,2.3760000000000048,False,False,False,True
VET,Ferrari,2,0 days 00:01:14.104000,0 days 00:00:19.197000,0 days 00:00:37.963000,0 days 00:00:16.944000,Soft,5,1,,,1,True,0 days 00:35:31.415000,74.104,19.197,37.963,16.944,2131.415,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.25905484184389505,0.5122935334125014,0.22865162474360357,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,74.14575,24,Opening,2.719999999999999,False,False,False,True
BOT,Mercedes,2,0 days 00:01:14.106000,0 days 00:00:19.069000,0 days 00:00:38.083000,0 days 00:00:16.954000,Soft,5,1,,,1,True,0 days 00:35:32.275000,74.106,19.069,38.083,16.954,2132.275,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.257320594823631,0.5138990095268939,0.2287803956494751,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,74.33171999999999,25,Opening,3.4080000000000013,False,False,False,True
ALB,Red Bull Racing,2,0 days 00:01:13.891000,0 days 00:00:19.068000,0 days 00:00:37.907000,0 days 00:00:16.916000,Soft,5,1,,,1,True,0 days 00:35:32.909000,73.891,19.068,37.907,16.916,2132.909,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2580557848723119,0.5130124101717394,0.22893180495594861,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,74.6191304347826,23,Opening,2.804000000000002,False,False,False,True
GAS,Toro Rosso,2,0 days 00:01:14.873000,0 days 00:00:19.324000,0 days 00:00:38.434000,0 days 00:00:17.115000,Soft,5,1,,,1,True,0 days 00:35:34.700000,74.873,19.324,38.434,17.115,2134.7,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.25809036635369226,0.5133225595341444,0.22858707411216322,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.07780952380952,21,Opening,2.4480000000000075,False,False,False,True
GRO,Haas F1 Team,2,0 days 00:01:15.041000,0 days 00:00:19.430000,0 days 00:00:38.501000,0 days 00:00:17.110000,Soft,5,1,,,1,True,0 days 00:35:35.681000,75.041,19.43,38.501,17.11,2135.681,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2589251209338895,0.5130661904825362,0.22800868858357431,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.47988000000001,25,Opening,1.421999999999997,False,False,False,True
RAI,Alfa Romeo Racing,2,0 days 00:01:15.125000,0 days 00:00:19.318000,0 days 00:00:38.904000,0 days 00:00:16.903000,Soft,5,1,,,1,True,0 days 00:35:35.960000,75.125,19.318,38.904,16.903,2135.96,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.25714475873544096,0.5178569051580699,0.22499833610648917,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.23859999999999,20,Opening,1.9899999999999949,False,False,False,True
MAG,Haas F1 Team,2,0 days 00:01:15.667000,0 days 00:00:19.380000,0 days 00:00:38.993000,0 days 00:00:17.294000,Soft,5,1,,,1,True,0 days 00:35:37.336000,75.667,19.38,38.993,17.294,2137.336,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.25612221972590427,0.5153237210408765,0.22855405923321923,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,76.2465,24,Opening,2.405000000000001,False,False,False,True
LEC,Ferrari,2,0 days 00:01:15.127000,0 days 00:00:19.449000,0 days 00:00:38.838000,0 days 00:00:16.840000,Medium,5,1,,,1,True,0 days 00:35:37.872000,75.127,19.449,38.838,16.84,2137.872,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2588816271114247,0.5169646065994916,0.22415376628908382,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,74.60846428571428,28,Opening,3.7039999999999935,False,False,False,True
GIO,Alfa Romeo Racing,2,0 days 00:01:15.757000,0 days 00:00:19.397000,0 days 00:00:38.936000,0 days 00:00:17.424000,Soft,2,1,,,1,True,0 days 00:35:37.884000,75.757,19.397,38.936,17.424,2137.884,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.25604234592182895,0.5139591060892063,0.22999854798896469,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.43305263157895,19,Opening,2.737000000000009,False,False,False,True
NOR,McLaren,2,0 days 00:01:16.013000,0 days 00:00:19.741000,0 days 00:00:39.019000,0 days 00:00:17.253000,Soft,2,1,,,1,True,0 days 00:35:38.795000,76.013,19.741,39.019,17.253,2138.795,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2597055766776735,0.5133200899846079,0.22697433333771852,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.41216666666666,24,Opening,3.6850000000000023,False,False,False,True
RIC,Renault,2,0 days 00:01:17.024000,0 days 00:00:19.817000,0 days 00:00:39.734000,0 days 00:00:17.473000,Medium,2,1,,,1,True,0 days 00:35:39.887000,77.024,19.817,39.734,17.473,2139.887,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2572834441213128,0.5158651848774408,0.22685137100124636,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,76.4452857142857,7,Opening,4.290999999999997,False,False,False,True
STR,Racing Point,2,0 days 00:01:16.514000,0 days 00:00:19.634000,0 days 00:00:40.116000,0 days 00:00:16.764000,Soft,2,1,,,1,True,0 days 00:35:39.916000,76.514,19.634,40.116,16.764,2139.916,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.25660663408003764,0.5242962072300494,0.21909715868991297,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.61885185185186,27,Opening,3.9110000000000014,False,False,False,True
PER,Racing Point,2,0 days 00:01:16.981000,0 days 00:00:19.742000,0 days 00:00:40.195000,0 days 00:00:17.044000,Soft,2,1,,,1,True,0 days 00:35:40.588000,76.981,19.742,40.195,17.044,2140.588,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2564528909730973,0.5221418272041154,0.22140528182278746,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.7135,16,Opening,4.140999999999991,False,False,False,True
HUL,Renault,2,0 days 00:01:16.883000,0 days 00:00:19.580000,0 days 00:00:40.234000,0 days 00:00:17.069000,Medium,2,1,,,1,True,0 days 00:35:41.075000,76.883,19.58,40.234,17.069,2141.075,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.25467268446860813,0.5233146469310511,0.22201266860034077,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.67984615384616,26,Opening,3.948999999999998,False,False,False,True
SAI,McLaren,2,0 days 00:01:16.183000,0 days 00:00:19.497000,0 days 00:00:39.772000,0 days 00:00:16.914000,Soft,2,1,,,1,True,0 days 00:35:41.169000,76.183,19.497,39.772,16.914,2141.169,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2559232374676765,0.522058727012588,0.22201803551973537,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.37621428571428,28,Opening,3.0250000000000057,False,False,False,True
KVY,Toro Rosso,2,0 days 00:01:17.027000,0 days 00:00:19.597000,0 days 00:00:40.258000,0 days 00:00:17.172000,Medium,2,1,,,1,True,0 days 00:35:41.976000,77.027,19.597,40.258,17.172,2141.976,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.254417282251678,0.5226479026834746,0.22293481506484739,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,75.74690909090909,22,Opening,4.641999999999996,False,False,False,True
KUB,Williams,2,0 days 00:01:17.965000,0 days 00:00:20.081000,0 days 00:00:40.449000,0 days 00:00:17.435000,Medium,2,1,,,1,True,0 days 00:35:43.305000,77.965,20.081,40.449,17.435,2143.305,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2575642916693388,0.5188097223112935,0.22362598601936765,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,77.09642105263158,19,Opening,3.412000000000006,False,False,False,True
RUS,Williams,2,0 days 00:01:18.033000,0 days 00:00:20.176000,0 days 00:00:40.621000,0 days 00:00:17.236000,Medium,2,1,,,1,True,0 days 00:35:43.754000,78.033,20.176,40.621,17.236,2143.754,2158.149,20.4,62.9,925.1,False,48.0,104,1.3,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2585572770494534,0.5205618135916856,0.220880909358861,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,77.01718181818181,22,Opening,4.281000000000006,False,False,False,True
VER,Red Bull Racing,3,0 days 00:01:13.007000,0 days 00:00:18.991000,0 days 00:00:37.266000,0 days 00:00:16.750000,Soft,6,1,,,1,True,0 days 00:36:41.564000,73.007,18.991,37.266,16.75,2201.564,2218.142,20.7,61.9,925.1,False,48.8,210,0.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.26012574136726613,0.5104442039804402,0.2294300546522936,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,73.80454999999999,20,Opening,2.1450000000000102,False,False,False,True
HAM,Mercedes,3,0 days 00:01:13.363000,0 days 00:00:18.923000,0 days 00:00:37.609000,0 days 00:00:16.831000,Soft,6,1,,,1,True,0 days 00:36:43.621000,73.363,18.923,37.609,16.831,2203.621,2218.142,20.7,61.9,925.1,False,48.8,210,0.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÊMIO DO BRASIL 2019,São Paulo,Brazil,,,Permanent,,,0.2579365620271799,0.5126426127612012,0.22942082521161894,3,False,Brazilian Grand Prix,brazilian_grand_prix,2019,2019-11-17,73.8,19,Opening,2.281000000000006,False,False,False,True
