Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
VER,Red Bull Racing,2,0 days 00:01:21.854000,0 days 00:00:29.641000,0 days 00:00:29.284000,0 days 00:00:22.929000,Medium,5,1,,,12,True,0 days 00:35:36.746000,81.854,29.641,29.284,22.929,2136.746,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.3621203606421189,0.3577589366432917,0.2801207027145894,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,81.96170833333333,24,Opening,4.751000000000005,False,False,False,True
HAM,Mercedes,2,0 days 00:01:22.335000,0 days 00:00:29.502000,0 days 00:00:29.662000,0 days 00:00:23.171000,Medium,5,1,,,12,True,0 days 00:35:39.026000,82.335,29.502,29.662,23.171,2139.026,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.35831663326653307,0.3602599137669278,0.28142345296653914,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,82.03123333333333,30,Opening,3.806999999999988,False,False,False,True
LEC,Ferrari,2,0 days 00:01:22.767000,0 days 00:00:29.441000,0 days 00:00:29.827000,0 days 00:00:23.499000,Medium,5,1,,,12,True,0 days 00:35:41.006000,82.767,29.441,29.827,23.499,2141.006,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.3557094010898063,0.3603730955574082,0.28391750335278554,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,82.83207692307693,26,Opening,2.274000000000001,False,False,False,True
VET,Ferrari,2,0 days 00:01:22.320000,0 days 00:00:29.279000,0 days 00:00:29.738000,0 days 00:00:23.303000,Medium,5,1,,,12,True,0 days 00:35:42.689000,82.32,29.279,29.738,23.303,2142.689,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.355672983479106,0.3612487852283771,0.283078231292517,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,83.03657894736841,38,Opening,2.533999999999992,False,False,False,True
BOT,Mercedes,2,0 days 00:01:24.628000,0 days 00:00:30.227000,0 days 00:00:30.722000,0 days 00:00:23.679000,Medium,5,1,,,12,True,0 days 00:35:44.732000,84.628,30.227,30.722,23.679,2144.732,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.3571749302831214,0.3630240582313183,0.2798010114855603,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,85.1715,4,Opening,5.296999999999997,False,False,False,True
SAI,McLaren,2,0 days 00:01:24.830000,0 days 00:00:30.066000,0 days 00:00:30.873000,0 days 00:00:23.891000,Soft,5,1,,,12,True,0 days 00:35:46.084000,84.83,30.066,30.873,23.891,2146.084,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.3544265000589414,0.36393964399387013,0.2816338559471885,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,83.60917857142856,28,Opening,3.828000000000003,False,False,False,True
NOR,McLaren,2,0 days 00:01:24.976000,0 days 00:00:30.095000,0 days 00:00:31.135000,0 days 00:00:23.746000,Soft,5,1,,,12,True,0 days 00:35:46.918000,84.976,30.095,31.135,23.746,2146.918,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.3541588213142534,0.36639757107889287,0.27944360760685366,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,83.72651851851852,27,Opening,3.7879999999999967,False,False,False,True
RAI,Alfa Romeo Racing,2,0 days 00:01:25,0 days 00:00:30.068000,0 days 00:00:31.187000,0 days 00:00:23.745000,Soft,5,1,,,12,True,0 days 00:35:47.510000,85.0,30.068,31.187,23.745,2147.51,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.3537411764705882,0.3669058823529412,0.2793529411764706,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,83.69503571428571,28,Opening,4.1200000000000045,False,False,False,True
GAS,Red Bull Racing,2,0 days 00:01:25.097000,0 days 00:00:30.129000,0 days 00:00:31.151000,0 days 00:00:23.817000,Medium,5,1,,,12,True,0 days 00:35:48.259000,85.097,30.129,31.151,23.817,2148.259,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.35405478453999556,0.3660646086231007,0.2798806068369038,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,83.75340740740741,27,Opening,4.0519999999999925,False,False,False,True
GRO,Haas F1 Team,2,0 days 00:01:25.542000,0 days 00:00:30.367000,0 days 00:00:31.037000,0 days 00:00:24.138000,Soft,5,1,,,12,True,0 days 00:35:49.314000,85.542,30.367,31.037,24.138,2149.314,2131.755,26.0,34.9,986.6,False,42.9,286,0.8,False,True,False,FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2019,Budapest,Hungary,,,Permanent,,,0.35499520703280263,0.36282761684318815,0.2821771761240093,3,False,Hungarian Grand Prix,hungarian_grand_prix,2019,2019-08-04,84.6553888888889,18,Opening,2.733000000000004,False,False,False,True
