Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
LEC,Ferrari,2,0 days 00:01:25.194000,0 days 00:00:28.169000,0 days 00:00:28.608000,0 days 00:00:28.417000,Soft,5,1,,,1,True,0 days 00:36:12.059000,85.194,28.169,28.608,28.417,2172.059,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.33064535061154543,0.33579829565462355,0.333556353733831,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,85.17273684210527,19,Opening,2.1850000000000023,False,False,False,True
HAM,Mercedes,2,0 days 00:01:25.433000,0 days 00:00:28.153000,0 days 00:00:28.960000,0 days 00:00:28.320000,Soft,5,1,,,1,True,0 days 00:36:13.023000,85.433,28.153,28.96,28.32,2173.023,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3295330844053234,0.33897908302412416,0.33148783257055237,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,85.24627777777778,18,Opening,3.6540000000000106,False,False,False,True
BOT,Mercedes,2,0 days 00:01:25.586000,0 days 00:00:28.061000,0 days 00:00:29.150000,0 days 00:00:28.375000,Soft,5,1,,,1,True,0 days 00:36:13.879000,85.586,28.061,29.15,28.375,2173.879,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32786904400252376,0.34059308765452295,0.3315378683429533,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,85.22334615384615,26,Opening,2.727000000000004,False,False,False,True
VET,Ferrari,2,0 days 00:01:25.527000,0 days 00:00:27.727000,0 days 00:00:29.273000,0 days 00:00:28.527000,Soft,6,1,,,1,True,0 days 00:36:15.282000,85.527,27.727,29.273,28.527,2175.282,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32419002186444046,0.3422661849474435,0.33354379318811606,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,90.34700000000001,5,Opening,2.7279999999999944,False,False,False,True
HUL,Renault,2,0 days 00:01:26.920000,0 days 00:00:28.394000,0 days 00:00:29.684000,0 days 00:00:28.842000,Soft,5,1,,,1,True,0 days 00:36:16.444000,86.92,28.394,29.684,28.842,2176.444,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32666820064427055,0.34150943396226413,0.3318223653934652,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,86.68403571428571,28,Opening,3.2789999999999964,False,False,False,True
RIC,Renault,2,0 days 00:01:26.483000,0 days 00:00:28.062000,0 days 00:00:29.543000,0 days 00:00:28.878000,Soft,5,1,,,1,True,0 days 00:36:17.211000,86.483,28.062,29.543,28.878,2177.211,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32447995559821,0.34160470843980895,0.333915335961981,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,86.38858620689656,29,Opening,3.01700000000001,False,False,False,True
STR,Racing Point,2,0 days 00:01:26.502000,0 days 00:00:27.949000,0 days 00:00:29.775000,0 days 00:00:28.778000,Soft,5,1,,,1,True,0 days 00:36:18.166000,86.502,27.949,29.775,28.778,2178.166,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32310235601488985,0.34421169452729417,0.332685949457816,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,87.71407142857143,14,Opening,2.336999999999989,False,False,False,True
SAI,McLaren,2,0 days 00:01:26.935000,0 days 00:00:28.370000,0 days 00:00:29.697000,0 days 00:00:28.868000,Soft,5,1,,,1,True,0 days 00:36:18.965000,86.935,28.37,29.697,28.868,2178.965,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3263357681026054,0.3416000460113878,0.3320641858860068,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,86.2956923076923,26,Opening,1.2980000000000018,False,False,False,True
ALB,Red Bull Racing,2,0 days 00:01:26.843000,0 days 00:00:28.073000,0 days 00:00:29.749000,0 days 00:00:29.021000,Soft,5,1,,,1,True,0 days 00:36:19.472000,86.843,28.073,29.749,29.021,2179.472,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32326151791163366,0.3425607130108356,0.3341777690775307,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,86.32656000000001,25,Opening,3.478999999999999,False,False,False,True
GIO,Alfa Romeo Racing,2,0 days 00:01:27.258000,0 days 00:00:28.340000,0 days 00:00:29.854000,0 days 00:00:29.064000,Soft,2,1,,,1,True,0 days 00:36:20.252000,87.258,28.34,29.854,29.064,2180.252,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3247839739622728,0.3421348185839694,0.33308120745375785,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,86.59735,20,Opening,2.7549999999999955,False,False,False,True
MAG,Haas F1 Team,2,0 days 00:01:27.354000,0 days 00:00:28.466000,0 days 00:00:29.721000,0 days 00:00:29.167000,Soft,2,1,,,1,True,0 days 00:36:21.009000,87.354,28.466,29.721,29.167,2181.009,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3258694507406644,0.34023627996428324,0.33389426929505234,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,87.12805263157895,19,Opening,2.9110000000000014,False,False,False,True
KVY,Toro Rosso,2,0 days 00:01:27.262000,0 days 00:00:28.465000,0 days 00:00:29.943000,0 days 00:00:28.854000,Medium,2,1,,,1,True,0 days 00:36:21.393000,87.262,28.465,29.943,28.854,2181.393,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32620155394100525,0.34313905250853755,0.33065939355045726,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,86.73951851851852,27,Opening,1.4899999999999949,False,False,False,True
GAS,Toro Rosso,2,0 days 00:01:27.440000,0 days 00:00:28.465000,0 days 00:00:30.036000,0 days 00:00:28.939000,Medium,2,1,,,1,True,0 days 00:36:22.552000,87.44,28.465,30.036,28.939,2182.552,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3255375114364136,0.3435041171088747,0.3309583714547118,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,87.36637037037036,27,Opening,3.5549999999999926,False,False,False,True
KUB,Williams,2,0 days 00:01:28.801000,0 days 00:00:28.812000,0 days 00:00:30.697000,0 days 00:00:29.292000,Medium,2,1,,,1,True,0 days 00:36:23.752000,88.801,28.812,30.697,29.292,2183.752,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.324455805677864,0.3456830441098636,0.3298611502122724,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,88.77585714285715,28,Opening,3.8119999999999976,False,False,False,True
RUS,Williams,2,0 days 00:01:28.634000,0 days 00:00:28.801000,0 days 00:00:30.618000,0 days 00:00:29.215000,Medium,2,1,,,1,True,0 days 00:36:24.244000,88.634,28.801,30.618,29.215,2184.244,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.32494302412166887,0.3454430579687253,0.3296139179096058,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,87.74613636363637,22,Opening,3.7920000000000016,False,False,False,True
GRO,Haas F1 Team,2,0 days 00:01:28.943000,0 days 00:00:28.454000,0 days 00:00:31.134000,0 days 00:00:29.355000,Soft,2,1,,,1,True,0 days 00:36:24.991000,88.943,28.454,31.134,29.355,2184.991,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3199127531115434,0.35004441046512935,0.3300428364233273,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,90.30666666666667,6,Opening,3.9579999999999984,False,False,False,True
PER,Racing Point,2,0 days 00:01:28.982000,0 days 00:00:28.329000,0 days 00:00:31.183000,0 days 00:00:29.470000,Medium,2,1,,,1,True,0 days 00:36:25.474000,88.982,28.329,31.183,29.47,2185.474,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3183677597716392,0.3504416623586793,0.3311905778696815,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,87.15540740740741,27,Opening,5.212000000000003,False,False,False,True
NOR,McLaren,2,0 days 00:01:29.069000,0 days 00:00:28.827000,0 days 00:00:30.816000,0 days 00:00:29.426000,Medium,2,1,,,1,True,0 days 00:36:25.947000,89.069,28.827,30.816,29.426,2185.947,2193.879,20.4,53.2,989.4,False,32.2,220,2.8,False,True,False,FORMULA 1 GRAN PREMIO HEINEKEN D'ITALIA 2019,Monza,Italy,,,Permanent,,,0.3236479583244451,0.34597896013203244,0.3303730815435224,1,False,Italian Grand Prix,italian_grand_prix,2019,2019-09-08,87.00990909090909,22,Opening,5.025000000000006,False,False,False,True
