Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
LEC,Ferrari,2,0 days 00:01:49.552000,0 days 00:00:38.223000,0 days 00:00:43.712000,0 days 00:00:27.617000,Medium,5,1,,,6,False,0 days 00:36:19.992000,109.552,38.223,43.712,27.617,2179.992,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.34890280414780195,0.3990068643201402,0.25209033153205784,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,84.20607142857143,14,Opening,30.320000000000007,False,False,False,True
VET,Ferrari,2,0 days 00:01:48.225000,0 days 00:00:37.934000,0 days 00:00:43.068000,0 days 00:00:27.223000,Medium,5,1,,,6,False,0 days 00:36:21.640000,108.225,37.934,43.068,27.223,2181.64,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.3505105105105105,0.39794871794871794,0.25154077154077153,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,82.5611111111111,36,Opening,28.843999999999994,False,False,False,True
ALB,Red Bull Racing,2,0 days 00:01:48.294000,0 days 00:00:38.376000,0 days 00:00:42.893000,0 days 00:00:27.025000,Medium,5,1,,,6,False,0 days 00:36:22.572000,108.294,38.376,42.893,27.025,2182.572,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.35436866308382736,0.39607919182964896,0.2495521450865237,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,84.48676923076923,13,Opening,28.968999999999994,False,False,False,True
SAI,McLaren,2,0 days 00:01:47.712000,0 days 00:00:38.002000,0 days 00:00:42.110000,0 days 00:00:27.600000,Soft,5,1,,,6,False,0 days 00:36:24.298000,107.712,38.002,42.11,27.6,2184.298,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.3528112002376708,0.3909499405822935,0.25623885918003564,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,85.8995,14,Opening,27.400999999999996,False,False,False,True
HAM,Mercedes,2,0 days 00:01:46.004000,0 days 00:00:37.047000,0 days 00:00:41.599000,0 days 00:00:27.358000,Medium,5,1,,,67,False,0 days 00:36:25.593000,106.004,37.047,41.599,27.358,2185.593,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.3494868118184219,0.39242858760046784,0.25808460058111016,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,82.90518181818182,22,Opening,26.543000000000006,False,False,False,True
NOR,McLaren,2,0 days 00:01:46.104000,0 days 00:00:36.229000,0 days 00:00:42.833000,0 days 00:00:27.042000,Soft,5,1,,,67,False,0 days 00:36:27.820000,106.104,36.229,42.833,27.042,2187.82,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.34144801326999924,0.40368883359722535,0.2548631531327754,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,86.19918181818183,11,Opening,24.461,False,False,False,True
BOT,Mercedes,2,0 days 00:01:45.335000,0 days 00:00:35.641000,0 days 00:00:42.833000,0 days 00:00:26.861000,Medium,5,1,,,67,False,0 days 00:36:28.351000,105.335,35.641,42.833,26.861,2188.351,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.33835857027578675,0.40663597094982673,0.2550054587743865,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,82.42,35,Opening,25.840999999999994,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:44.980000,0 days 00:00:35.952000,0 days 00:00:42.594000,0 days 00:00:26.434000,Medium,5,1,,,67,False,0 days 00:36:29.226000,104.98,35.952,42.594,26.434,2189.226,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.34246523147266145,0.4057344256048771,0.2518003429224614,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,96.28775,4,Opening,24.573999999999998,False,False,False,True
KVY,Toro Rosso,2,0 days 00:01:44.845000,0 days 00:00:36.591000,0 days 00:00:41.708000,0 days 00:00:26.546000,Soft,5,1,,,67,False,0 days 00:36:30.689000,104.845,36.591,41.708,26.546,2190.689,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.3490009060994802,0.3978062854690257,0.2531928084314941,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,86.65977777777778,9,Opening,24.939999999999998,False,False,False,True
GAS,Toro Rosso,2,0 days 00:01:45.315000,0 days 00:00:38.390000,0 days 00:00:41.439000,0 days 00:00:25.486000,Soft,5,1,,,67,False,0 days 00:36:32.417000,105.315,38.39,41.439,25.486,2192.417,2193.745,22.7,46.6,781.0,False,41.6,122,1.1,False,True,False,FORMULA 1 GRAN PREMIO DE MÉXICO 2019,Mexico City,Mexico,,,Permanent,,,0.36452547120543133,0.39347671271898593,0.2419978160755828,3,False,Mexican Grand Prix,mexican_grand_prix,2019,2019-10-27,87.16175,8,Opening,25.784999999999997,False,False,False,True
