Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
RIC,Renault,2,0 days 00:02:19.744000,0 days 00:01:08.432000,0 days 00:00:38.299000,0 days 00:00:33.013000,Medium,1,2,,0 days 00:37:12.365000,4,False,0 days 00:39:05.258000,139.744,68.432,38.299,33.013,2345.258,2372.608,21.7,68.8,1016.9,False,35.2,243,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.48969544309594687,0.27406543393634075,0.23623912296771238,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,105.3674347826087,23,Closing,38.459999999999994,True,False,False,True
RIC,Renault,3,0 days 00:02:02.843000,0 days 00:00:39.168000,0 days 00:00:46.403000,0 days 00:00:37.272000,Medium,2,2,,,41,False,0 days 00:41:08.101000,122.843,39.168,46.403,37.272,2468.101,2492.443,21.7,68.1,1016.9,False,34.8,311,2.3,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.31884600669146795,0.3777423214998005,0.30341167180873146,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,105.3674347826087,23,Closing,21.558999999999997,True,False,False,True
VET,Ferrari,4,0 days 00:01:39.750000,0 days 00:00:35.957000,0 days 00:00:34.567000,0 days 00:00:29.226000,Soft,7,1,,,1,True,0 days 00:42:37.072000,99.75,35.957,34.567,29.226,2557.072,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.36047117794486216,0.3465363408521303,0.2929924812030075,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,99.11747826086958,23,Opening,1.5049999999999955,False,False,False,True
LEC,Ferrari,4,0 days 00:01:40.021000,0 days 00:00:35.821000,0 days 00:00:34.665000,0 days 00:00:29.535000,Soft,7,1,,,1,True,0 days 00:42:38.235000,100.021,35.821,34.665,29.535,2558.235,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.3581347916937443,0.34657721878405534,0.2952879895222003,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,99.34121052631579,19,Opening,3.828000000000003,False,False,False,True
HAM,Mercedes,4,0 days 00:01:41.051000,0 days 00:00:36.238000,0 days 00:00:35.112000,0 days 00:00:29.701000,Medium,7,1,,,1,True,0 days 00:42:39.936000,101.051,36.238,35.112,29.701,2559.936,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.3586109984067451,0.34746811016219536,0.29392089143105954,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,99.90772000000001,25,Opening,5.290000000000006,False,False,False,True
SAI,McLaren,4,0 days 00:01:42.085000,0 days 00:00:36.450000,0 days 00:00:35.410000,0 days 00:00:30.225000,Soft,7,1,,,1,True,0 days 00:42:41.390000,102.085,36.45,35.41,30.225,2561.39,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.357055395013959,0.3468678062398981,0.29607679874614296,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,101.53205555555556,18,Opening,4.064999999999998,False,False,False,True
BOT,Mercedes,4,0 days 00:01:42.444000,0 days 00:00:36.292000,0 days 00:00:35.739000,0 days 00:00:30.413000,Medium,7,1,,,1,True,0 days 00:42:42.336000,102.444,36.292,35.739,30.413,2562.336,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.3542618406153606,0.34886376947405406,0.2968743899105853,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,100.64476,25,Opening,6.128,False,False,False,True
NOR,McLaren,4,0 days 00:01:43.348000,0 days 00:00:36.565000,0 days 00:00:36.328000,0 days 00:00:30.455000,Soft,7,1,,,1,True,0 days 00:42:43.668000,103.348,36.565,36.328,30.455,2563.668,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.3538046212795603,0.35151139838216516,0.29468398033827453,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,101.7625294117647,17,Opening,5.046999999999997,False,False,False,True
PER,Racing Point,4,0 days 00:01:43.520000,0 days 00:00:37.166000,0 days 00:00:35.843000,0 days 00:00:30.511000,Soft,4,1,,,1,True,0 days 00:42:44.371000,103.52,37.166,35.843,30.511,2564.371,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.35902241112828437,0.34624227202472957,0.2947353168469861,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,101.5701,20,Opening,5.47699999999999,False,False,False,True
VER,Red Bull Racing,4,0 days 00:01:43.699000,0 days 00:00:37.245000,0 days 00:00:35.783000,0 days 00:00:30.671000,Soft,7,1,,,1,True,0 days 00:42:44.875000,103.699,37.245,35.783,30.671,2564.875,2552.441,21.6,68.8,1016.9,False,34.8,253,1.4,False,True,False,FORMULA 1 VTB RUSSIAN GRAND PRIX 2019,Sochi,Russia,,,Permanent,,,0.359164504961475,0.3450660083510931,0.2957694866874319,3,False,Russian Grand Prix,russian_grand_prix,2019,2019-09-29,102.05888,25,Opening,6.7620000000000005,False,False,False,True
