Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
BOT,Mercedes,2,0 days 00:01:31.384000,0 days 00:00:29.088000,0 days 00:00:37.126000,0 days 00:00:25.170000,Medium,5,1,,,1,True,0 days 00:36:21.470000,91.384,29.088,37.126,25.17,2181.47,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.31830517377221396,0.4062636785432898,0.2754311476844962,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,92.22483333333334,12,Opening,1.6189999999999998,False,False,False,True
HAM,Mercedes,2,0 days 00:01:31.440000,0 days 00:00:29.012000,0 days 00:00:37.233000,0 days 00:00:25.195000,Medium,5,1,,,1,True,0 days 00:36:22.527000,91.44,29.012,37.233,25.195,2182.527,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.3172790901137358,0.4071850393700787,0.2755358705161855,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,92.33015384615383,13,Opening,2.9890000000000043,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:31.968000,0 days 00:00:29.202000,0 days 00:00:37.476000,0 days 00:00:25.290000,Hard,5,1,,,1,True,0 days 00:36:24.506000,91.968,29.202,37.476,25.29,2184.506,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.3175234864300626,0.4074895615866388,0.27498695198329853,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,91.91712,25,Opening,2.503,False,False,False,True
HUL,Racing Point,2,0 days 00:01:32.833000,0 days 00:00:29.231000,0 days 00:00:38.213000,0 days 00:00:25.389000,Medium,5,1,,,1,True,0 days 00:36:26.211000,92.833,29.231,38.213,25.389,2186.211,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.3148772527010869,0.41163163961091426,0.2734911076879989,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,92.79464285714286,14,Opening,2.745999999999995,False,False,False,True
STR,Racing Point,2,0 days 00:01:33.220000,0 days 00:00:29.485000,0 days 00:00:37.919000,0 days 00:00:25.816000,Medium,5,1,,,1,True,0 days 00:36:27.334000,93.22,29.485,37.919,25.816,2187.334,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.31629478652649645,0.40676893370521344,0.27693627976829005,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,92.76941176470588,17,Opening,2.840999999999994,False,False,False,True
RIC,Renault,2,0 days 00:01:33.776000,0 days 00:00:29.474000,0 days 00:00:38.530000,0 days 00:00:25.772000,Medium,5,1,,,1,True,0 days 00:36:28.702000,93.776,29.474,38.53,25.772,2188.702,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.3143021668657226,0.4108727179662174,0.2748251151680601,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,93.07984615384615,13,Opening,2.60799999999999,False,False,False,True
GAS,AlphaTauri,2,0 days 00:01:33.873000,0 days 00:00:29.549000,0 days 00:00:38.408000,0 days 00:00:25.916000,Medium,5,1,,,1,True,0 days 00:36:29.556000,93.873,29.549,38.408,25.916,2189.556,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.31477634676637584,0.409148530461368,0.2760751227722561,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,93.38983333333334,6,Opening,3.781000000000006,False,False,False,True
NOR,McLaren,2,0 days 00:01:33.816000,0 days 00:00:29.442000,0 days 00:00:38.468000,0 days 00:00:25.906000,Medium,5,1,,,1,True,0 days 00:36:30.507000,93.816,29.442,38.468,25.906,2190.507,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.313827065745715,0.4100366675193997,0.2761362667348853,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,93.30290909090908,11,Opening,3.118000000000009,False,False,False,True
ALB,Red Bull Racing,2,0 days 00:01:34.083000,0 days 00:00:29.450000,0 days 00:00:38.533000,0 days 00:00:26.100000,Medium,5,1,,,1,True,0 days 00:36:31.242000,94.083,29.45,38.533,26.1,2191.242,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.31302148103270516,0.40956389570910795,0.27741462325818694,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,93.6508,5,Opening,4.6059999999999945,False,False,False,True
LEC,Ferrari,2,0 days 00:01:34.324000,0 days 00:00:29.430000,0 days 00:00:38.943000,0 days 00:00:25.951000,Medium,5,1,,,1,True,0 days 00:36:32.020000,94.324,29.43,38.943,25.951,2192.02,2191.19,24.9,59.9,1001.2,False,42.8,19,1.9,False,True,False,EMIRATES FORMULA 1 70TH ANNIVERSARY GRAND PRIX 2020,Silverstone,Great Britain,,,Permanent,,,0.3120096688011535,0.4128641703066028,0.2751261608922438,3,False,70th Anniversary Grand Prix,70th_anniversary_grand_prix,2020,2020-08-09,93.06276470588236,17,Opening,3.7719999999999914,False,False,False,True
