Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
BOT,Mercedes,2,0 days 00:01:32.480000,0 days 00:00:30.293000,0 days 00:00:38.432000,0 days 00:00:23.755000,Soft,5,1,,,,False,0 days 00:03:06.250000,92.48,30.293,38.432,23.755,186.25,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.3275627162629758,0.41557093425605535,0.2568663494809688,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,92.72000000000001,12,Opening,0.5960000000000036,False,False,False,True
HAM,Mercedes,2,0 days 00:01:32.410000,0 days 00:00:30.149000,0 days 00:00:38.634000,0 days 00:00:23.627000,Soft,5,1,,,,False,0 days 00:03:07.702000,92.41,30.149,38.634,23.627,187.702,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.3262525700681745,0.4180716372686939,0.2556757926631317,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,92.78453333333333,15,Opening,4.265000000000001,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:32.647000,0 days 00:00:30.281000,0 days 00:00:38.600000,0 days 00:00:23.766000,Soft,5,1,,,,False,0 days 00:03:08.706000,92.647,30.281,38.6,23.766,188.706,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.3268427472017442,0.41663518516519693,0.2565220676330588,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,93.08953333333334,15,Opening,4.50800000000001,False,False,False,True
LEC,Ferrari,2,0 days 00:01:35.048000,0 days 00:00:30.836000,0 days 00:00:39.966000,0 days 00:00:24.246000,Soft,5,1,,,1,True,0 days 00:03:12.781000,95.048,30.836,39.966,24.246,192.781,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.32442555340459556,0.42048228263614174,0.25509216395926265,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,94.83611111111111,9,Opening,4.3359999999999985,False,False,False,True
RIC,Renault,2,0 days 00:01:34.973000,0 days 00:00:30.766000,0 days 00:00:39.899000,0 days 00:00:24.308000,Soft,5,1,,,1,True,0 days 00:03:13.457000,94.973,30.766,39.899,24.308,193.457,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.3239447000726522,0.4201088730481295,0.2559464268792183,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,95.15386666666667,15,Opening,5.388999999999996,False,False,False,True
ALB,Red Bull Racing,2,0 days 00:01:34.815000,0 days 00:00:30.878000,0 days 00:00:39.513000,0 days 00:00:24.424000,Soft,5,1,,,1,True,0 days 00:03:14.376000,94.815,30.878,39.513,24.424,194.376,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.32566577018404264,0.4167378579338712,0.2575963718820862,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,94.83133333333335,6,Opening,2.4849999999999994,False,False,False,True
NOR,McLaren,2,0 days 00:01:34.983000,0 days 00:00:31.037000,0 days 00:00:39.785000,0 days 00:00:24.161000,Soft,5,1,,,1,True,0 days 00:03:15.554000,94.983,31.037,39.785,24.161,195.554,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.326763736668667,0.4188644283713927,0.2543718349599402,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,94.42985714285714,28,Opening,2.655000000000001,False,False,False,True
PER,Racing Point,2,0 days 00:01:35.329000,0 days 00:00:30.939000,0 days 00:00:40.089000,0 days 00:00:24.301000,Soft,5,1,,,1,True,0 days 00:03:16.473000,95.329,30.939,40.089,24.301,196.473,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.3245497172948421,0.42053310115494763,0.2549171815502103,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,94.44792592592593,27,Opening,5.628999999999991,False,False,False,True
OCO,Renault,2,0 days 00:01:35.440000,0 days 00:00:30.938000,0 days 00:00:40.140000,0 days 00:00:24.362000,Soft,5,1,,,1,True,0 days 00:03:17.172000,95.44,30.938,40.14,24.362,197.172,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.32416177703269067,0.42057837384744345,0.2552598491198659,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,95.66042857142857,21,Opening,2.2510000000000048,False,False,False,True
SAI,McLaren,2,0 days 00:01:35.666000,0 days 00:00:31.227000,0 days 00:00:39.984000,0 days 00:00:24.455000,Soft,5,1,,,1,True,0 days 00:03:17.786000,95.666,31.227,39.984,24.455,197.786,207.321,9.2,58.2,947.4,False,19.1,180,2.5,False,True,True,FORMULA 1 ARAMCO GROSSER PREIS DER EIFEL 2020,Nürburgring,Germany,,,Permanent,,,0.32641690882863295,0.4179541320845442,0.25562895908682287,3,False,Eifel Grand Prix,eifel_grand_prix,2020,2020-10-11,94.70933333333333,27,Opening,5.536999999999992,False,False,False,True
