Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
BOT,Mercedes,2,0 days 00:01:20.550000,0 days 00:00:25.788000,0 days 00:00:27.910000,0 days 00:00:26.852000,Medium,5,1,,,1,True,0 days 00:35:52.851000,80.55,25.788,27.91,26.852,2152.851,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3201489757914339,0.3464928615766605,0.33335816263190565,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,79.59311111111111,18,Opening,4.647999999999996,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:20.211000,0 days 00:00:25.848000,0 days 00:00:27.598000,0 days 00:00:26.765000,Medium,5,1,,,1,True,0 days 00:35:53.964000,80.211,25.848,27.598,26.765,2153.964,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3222500654523694,0.34406752191095985,0.3336824126366708,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,79.71464705882353,17,Opening,2.573999999999998,False,False,False,True
HAM,Mercedes,2,0 days 00:01:20.226000,0 days 00:00:25.678000,0 days 00:00:27.831000,0 days 00:00:26.717000,Medium,5,1,,,1,True,0 days 00:35:54.947000,80.226,25.678,27.831,26.717,2154.947,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3200707999900282,0.3469074863510583,0.33302171365891353,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,79.34031034482759,29,Opening,4.742000000000004,False,False,False,True
RIC,Renault,2,0 days 00:01:21.320000,0 days 00:00:26.251000,0 days 00:00:28.138000,0 days 00:00:26.931000,Soft,5,1,,,1,True,0 days 00:35:57.305000,81.32,26.251,28.138,26.931,2157.305,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.322811116576488,0.3460157402852927,0.33117314313821944,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,81.236,13,Opening,3.7679999999999865,False,False,False,True
GAS,AlphaTauri,2,0 days 00:01:21.793000,0 days 00:00:26.188000,0 days 00:00:28.369000,0 days 00:00:27.236000,Soft,5,1,,,1,True,0 days 00:35:58.909000,81.793,26.188,28.369,27.236,2158.909,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.32017409802794855,0.3468389715501326,0.33298693042191874,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,81.46428571428571,7,Opening,1.3900000000000006,False,False,False,True
LEC,Ferrari,2,0 days 00:01:22.058000,0 days 00:00:26.402000,0 days 00:00:28.629000,0 days 00:00:27.027000,Soft,6,1,,,1,True,0 days 00:35:59.711000,82.058,26.402,28.629,27.027,2159.711,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3217480318798898,0.3488873723463891,0.329364595773721,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,81.19208333333334,12,Opening,3.885000000000005,False,False,False,True
ALB,Red Bull Racing,2,0 days 00:01:22.182000,0 days 00:00:26.267000,0 days 00:00:28.563000,0 days 00:00:27.352000,Soft,5,1,,,1,True,0 days 00:36:00.614000,82.182,26.267,28.563,27.352,2160.614,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3196198680976369,0.34755785938526684,0.3328222725170962,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,81.24684615384616,13,Opening,6.0049999999999955,False,False,False,True
KVY,AlphaTauri,2,0 days 00:01:22.177000,0 days 00:00:26.385000,0 days 00:00:28.495000,0 days 00:00:27.297000,Soft,7,1,,,1,True,0 days 00:36:01.293000,82.177,26.385,28.495,27.297,2161.293,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3210752400306655,0.34675152414909277,0.33217323582024166,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,81.25061538461539,13,Opening,4.51100000000001,False,False,False,True
NOR,McLaren,2,0 days 00:01:22.509000,0 days 00:00:26.501000,0 days 00:00:28.563000,0 days 00:00:27.445000,Soft,5,1,,,1,True,0 days 00:36:02.266000,82.509,26.501,28.563,27.445,2162.266,2132.771,18.1,70.9,1018.1,False,24.2,92,1.2,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3211892036020313,0.34618041668181654,0.33263037971615217,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,81.62141666666666,12,Opening,4.439999999999998,False,False,False,True
SAI,McLaren,2,0 days 00:01:22.612000,0 days 00:00:26.760000,0 days 00:00:28.561000,0 days 00:00:27.291000,Soft,5,1,,,1,True,0 days 00:36:02.933000,82.612,26.76,28.561,27.291,2162.933,2192.751,18.2,70.2,1018.1,False,24.2,76,0.9,False,True,False,FORMULA 1 EMIRATES GRAN PREMIO DELL'EMILIA ROMAGNA 2020,Imola,Italy,,,Permanent,,,0.3239238851498572,0.34572459206894884,0.33035152278119406,1,False,Emilia Romagna Grand Prix,emilia_romagna_grand_prix,2020,2020-11-01,81.08924999999999,16,Opening,4.494,False,False,False,True
