Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
SAI,McLaren,2,0 days 00:01:25.117000,0 days 00:00:25.398000,0 days 00:00:32.534000,0 days 00:00:27.185000,Soft,7,1,,,1,True,0 days 00:36:12.045000,85.117,25.398,32.534,27.185,2172.045,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.2983892759378267,0.3822268172045537,0.31938390685761947,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,84.04508,25,Opening,4.849000000000004,False,False,False,True
BOT,Mercedes,2,0 days 00:01:27.419000,0 days 00:00:26.084000,0 days 00:00:33.791000,0 days 00:00:27.544000,Medium,5,1,,,1,True,0 days 00:36:13.274000,87.419,26.084,33.791,27.544,2173.274,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.29837907091135796,0.38654068337546754,0.3150802457131745,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,82.099875,40,Opening,8.073999999999998,False,False,False,True
HAM,Mercedes,2,0 days 00:01:25.744000,0 days 00:00:25.711000,0 days 00:00:33.101000,0 days 00:00:26.932000,Medium,7,1,,,1,True,0 days 00:36:13.906000,85.744,25.711,33.101,26.932,2173.906,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.2998577159917895,0.38604450457174844,0.314097779436462,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,81.817,39,Opening,6.994,False,False,False,True
NOR,McLaren,2,0 days 00:01:26.656000,0 days 00:00:26.072000,0 days 00:00:33.259000,0 days 00:00:27.325000,Soft,6,1,,,1,True,0 days 00:36:15.144000,86.656,26.072,33.259,27.325,2175.144,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.30086779911373707,0.38380492983751846,0.3153272710487444,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,84.473,17,Opening,7.2960000000000065,False,False,False,True
VER,Red Bull Racing,2,0 days 00:01:27.259000,0 days 00:00:26.474000,0 days 00:00:33.525000,0 days 00:00:27.260000,Soft,6,1,,,1,True,0 days 00:36:15.854000,87.259,26.474,33.525,27.26,2175.854,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.3033956382722699,0.3842010566245315,0.3124033051031985,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,83.08063636363636,22,Opening,7.405000000000001,False,False,False,True
RAI,Alfa Romeo Racing,2,0 days 00:01:27.931000,0 days 00:00:26.420000,0 days 00:00:34.049000,0 days 00:00:27.462000,Soft,2,1,,,1,True,0 days 00:36:16.751000,87.931,26.42,34.049,27.462,2176.751,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.30046286292661295,0.3872240734212053,0.3123130636521818,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,85.23049999999999,10,Opening,6.8729999999999905,False,False,False,True
RIC,Renault,2,0 days 00:01:28.322000,0 days 00:00:26.343000,0 days 00:00:34.385000,0 days 00:00:27.594000,Soft,7,1,,,1,True,0 days 00:36:17.981000,88.322,26.343,34.385,27.594,2177.981,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.29826090894680823,0.38931410067706795,0.31242499037612376,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,84.69330769230768,13,Opening,7.415999999999997,False,False,False,True
LEC,Ferrari,2,0 days 00:01:30.265000,0 days 00:00:27.552000,0 days 00:00:34.921000,0 days 00:00:27.792000,Medium,7,1,,,1,True,0 days 00:36:18.879000,90.265,27.552,34.921,27.792,2178.879,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.3052345870492439,0.3868719880352296,0.3078934249155265,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,82.81924242424242,33,Opening,9.857,False,False,False,True
GAS,AlphaTauri,2,0 days 00:01:29.264000,0 days 00:00:27.128000,0 days 00:00:34.489000,0 days 00:00:27.647000,Soft,6,1,,,1,True,0 days 00:36:19.449000,89.264,27.128,34.489,27.647,2179.449,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.30390751030650653,0.386370765370138,0.30972172432335543,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,83.62811111111111,27,Opening,8.712999999999994,False,False,False,True
STR,Racing Point,2,0 days 00:01:29.459000,0 days 00:00:27.096000,0 days 00:00:34.574000,0 days 00:00:27.789000,Medium,2,1,,,1,True,0 days 00:36:20.500000,89.459,27.096,34.574,27.789,2180.5,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.30288735621905005,0.38647872209615575,0.31063392168479415,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,84.92999999999999,17,Opening,7.765000000000001,False,False,False,True
OCO,Renault,2,0 days 00:01:29.961000,0 days 00:00:27.322000,0 days 00:00:34.566000,0 days 00:00:28.073000,Medium,2,1,,,1,True,0 days 00:36:21.248000,89.961,27.322,34.566,28.073,2181.248,2162.454,20.5,67.4,1007.8,False,25.4,156,4.5,False,True,False,FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2020,Portimão,Portugal,,,Permanent,,,0.3037093851780216,0.38423316770600596,0.3120574471159725,1,False,Portuguese Grand Prix,portuguese_grand_prix,2020,2020-10-25,83.04846153846155,52,Opening,9.102000000000004,False,False,False,True
