Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
HAM,Mercedes,2,0 days 00:02:05.472000,0 days 00:00:26.692000,0 days 00:01:03.909000,0 days 00:00:34.871000,Soft,2,1,,,4,False,0 days 00:36:12.648000,125.472,26.692,63.909,34.871,2172.648,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.21273272124458048,0.5093486993114001,0.27791857944401943,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,72.42892307692308,26,Opening,58.753,True,False,False,True
VER,Red Bull Racing,2,0 days 00:02:03.866000,0 days 00:00:25.541000,0 days 00:01:02.759000,0 days 00:00:35.566000,Soft,2,1,,,4,False,0 days 00:36:13.921000,123.866,25.541,62.759,35.566,2173.921,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.206198634007718,0.5066684966011658,0.2871328693911162,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,73.08034782608695,23,Opening,57.721000000000004,True,False,False,True
SAI,McLaren,2,0 days 00:02:02.268000,0 days 00:00:24.673000,0 days 00:01:02.499000,0 days 00:00:35.096000,Soft,2,1,,,4,False,0 days 00:36:14.986000,122.268,24.673,62.499,35.096,2174.986,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.20179441881767918,0.5111640003925803,0.2870415807897405,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,72.84677419354838,31,Opening,56.649,True,False,False,True
BOT,Mercedes,2,0 days 00:02:01.395000,0 days 00:00:24.855000,0 days 00:01:01.798000,0 days 00:00:34.742000,Soft,2,1,,,4,False,0 days 00:36:15.778000,121.395,24.855,61.798,34.742,2175.778,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.2047448412208081,0.5090654475060752,0.28618971127311665,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,71.69066666666666,33,Opening,53.86099999999999,True,False,False,True
ALB,Red Bull Racing,2,0 days 00:02:00.714000,0 days 00:00:24.352000,0 days 00:01:01.020000,0 days 00:00:35.342000,Soft,2,1,,,4,False,0 days 00:36:16.985000,120.714,24.352,61.02,35.342,2176.985,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.20173302185330616,0.5054923206918833,0.2927746574548105,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,72.27908823529413,34,Opening,53.605000000000004,True,False,False,True
OCO,Renault,2,0 days 00:02:00.919000,0 days 00:00:24.370000,0 days 00:01:01.309000,0 days 00:00:35.240000,Soft,2,1,,,4,False,0 days 00:36:18.006000,120.919,24.37,61.309,35.24,2178.006,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.20153987379981642,0.5070253640867026,0.29143476211348096,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,73.82745833333333,24,Opening,51.598,True,False,False,True
RIC,Renault,2,0 days 00:02:00.654000,0 days 00:00:24.343000,0 days 00:01:00.935000,0 days 00:00:35.376000,Medium,2,1,,,4,False,0 days 00:36:19.261000,120.654,24.343,60.935,35.376,2179.261,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.20175874815588377,0.5050392030102607,0.2932020488338555,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,72.13447222222221,36,Opening,52.822,True,False,False,True
GAS,AlphaTauri,2,0 days 00:01:59.258000,0 days 00:00:23.363000,0 days 00:01:00.346000,0 days 00:00:35.549000,Soft,2,1,,,4,False,0 days 00:36:20.264000,119.258,23.363,60.346,35.549,2180.264,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.19590300021801474,0.5060121752838384,0.2980848244981469,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,74.24395652173912,23,Opening,51.431,True,False,False,True
NOR,McLaren,2,0 days 00:01:58.343000,0 days 00:00:23.836000,0 days 00:00:58.320000,0 days 00:00:36.187000,Soft,2,1,,,4,False,0 days 00:36:21.793000,118.343,23.836,58.32,36.187,2181.793,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.20141453233397832,0.49280481312794167,0.30578065453807995,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,72.13426315789474,38,Opening,51.150000000000006,True,False,False,True
STR,Racing Point,2,0 days 00:01:58.807000,0 days 00:00:24.685000,0 days 00:00:57.500000,0 days 00:00:36.622000,Soft,2,1,,,4,False,0 days 00:36:23.073000,118.807,24.685,57.5,36.622,2183.073,2182.217,20.7,35.0,945.8,False,41.5,90,3.3,False,True,False,FORMULA 1 PIRELLI GROSSER PREIS DER STEIERMARK 2020,Spielberg,Austria,,,Permanent,,,0.20777395271322396,0.483978216771739,0.308247830515037,1,False,Styrian Grand Prix,styrian_grand_prix,2020,2020-07-12,72.46340625,32,Opening,50.974000000000004,True,False,False,True
