Driver,Team,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,Time,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds,LapStartTime,WeatherTime,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,IsWetLap,IsDryLap,IsWetRace,CircuitName,CircuitShort,CircuitCountry,TrackLengthKM,AltitudeM,CircuitType,PitLap,PitDuration,Sector1Pct,Sector2Pct,Sector3Pct,BestSector,IsValidLap,GrandPrix,GP_Slug,SeasonYear,EventDate,AvgLapTime,StintLength,StintType,DeltaToFastestLap,IsSC,IsVSC,IsRedFlag,IsDNF
BOT,Mercedes,2,0 days 00:02:28.572000,0 days 00:00:59.003000,0 days 00:00:42.830000,0 days 00:00:46.739000,Soft,5,1,,,4,False,0 days 00:37:40.877000,148.572,59.003,42.83,46.739,2260.877,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.39713404948442504,0.2882777373933177,0.3145882131222572,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,136.25050000000002,6,Opening,69.14,True,False,False,True
HAM,Mercedes,2,0 days 00:02:26.653000,0 days 00:00:58.223000,0 days 00:00:42.920000,0 days 00:00:45.510000,Soft,5,1,,,4,False,0 days 00:37:42.465000,146.653,58.223,42.92,45.51,2262.465,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.3970119942994688,0.29266363456594824,0.310324371134583,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,136.06083333333333,6,Opening,67.82,True,False,False,True
LEC,Ferrari,2,0 days 00:02:26.424000,0 days 00:00:57.839000,0 days 00:00:42.918000,0 days 00:00:45.667000,Soft,5,1,,,4,False,0 days 00:37:43.293000,146.424,57.839,42.918,45.667,2263.293,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.3950103808118887,0.29310768726438285,0.3118819319237284,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,136.09283333333335,6,Opening,65.19500000000001,True,False,False,True
ALB,Red Bull Racing,2,0 days 00:02:25.960000,0 days 00:00:57.550000,0 days 00:00:42.615000,0 days 00:00:45.795000,Soft,5,1,,,4,False,0 days 00:37:44.155000,145.96,57.55,42.615,45.795,2264.155,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.3942861057824061,0.2919635516579885,0.3137503425596054,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,136.15366666666668,6,Opening,65.921,True,False,False,True
STR,Racing Point,2,0 days 00:02:25.696000,0 days 00:00:57.556000,0 days 00:00:42.281000,0 days 00:00:45.859000,Soft,5,1,,,4,False,0 days 00:37:45.163000,145.696,57.556,42.281,45.859,2265.163,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.39504173072699317,0.29020014276301337,0.3147581265099934,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,136.146,6,Opening,63.628,True,False,False,True
RIC,Renault,2,0 days 00:02:24.786000,0 days 00:00:56.230000,0 days 00:00:42.372000,0 days 00:00:46.184000,Soft,5,1,,,4,False,0 days 00:37:46.592000,144.786,56.23,42.372,46.184,2266.592,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.3883662785075905,0.2926526045335875,0.318981116958822,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,135.9775,6,Opening,64.36,True,False,False,True
PER,Racing Point,2,0 days 00:02:25.389000,0 days 00:00:56.326000,0 days 00:00:42.781000,0 days 00:00:46.282000,Soft,5,1,,,4,False,0 days 00:37:47.958000,145.389,56.326,42.781,46.282,2267.958,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.3874158292580594,0.29425197229501543,0.3183321984469251,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,136.15183333333334,6,Opening,64.757,True,False,False,True
NOR,McLaren,2,0 days 00:02:24.371000,0 days 00:00:54.704000,0 days 00:00:42.794000,0 days 00:00:46.873000,Soft,2,1,,,4,False,0 days 00:37:49.778000,144.371,54.704,42.794,46.873,2269.778,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.37891266251532507,0.29641687042411563,0.32467046706055924,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,135.90366666666668,6,Opening,63.173000000000016,True,False,False,True
KVY,AlphaTauri,2,0 days 00:02:24.130000,0 days 00:00:53.787000,0 days 00:00:43.304000,0 days 00:00:47.039000,Medium,2,1,,,4,False,0 days 00:37:51.956000,144.13,53.787,43.304,47.039,2271.956,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.3731839311732464,0.3004509817525845,0.32636508707416917,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,135.80633333333333,6,Opening,62.672,True,False,False,True
OCO,Renault,2,0 days 00:02:23.856000,0 days 00:00:54.334000,0 days 00:00:42.533000,0 days 00:00:46.989000,Soft,5,1,,,4,False,0 days 00:37:52.805000,143.856,54.334,42.533,46.989,2272.805,2274.41,30.1,39.3,993.6,False,45.2,346,3.0,False,True,False,FORMULA 1 PIRELLI GRAN PREMIO DELLA TOSCANA FERRARI 1000 2020,Mugello,Italy,,,Permanent,,,0.3776971415860305,0.2956637192748304,0.3266391391391391,2,False,Tuscan Grand Prix,tuscan_grand_prix,2020,2020-09-13,135.93383333333335,6,Opening,12.062999999999988,True,False,False,True
