Driver,Team,FastestLap,Position,LapsCompleted
VER,Red Bull Racing,67.442,1.0,70
RAI,Ferrari,66.957,2.0,70
VET,Ferrari,67.082,3.0,70
GRO,Haas F1 Team,69.071,4.0,69
MAG,Haas F1 Team,68.476,5.0,69
OCO,Force India,68.85,6.0,69
PER,Force India,68.504,7.0,69
ALO,McLaren,68.661,8.0,69
LEC,Sauber,69.006,9.0,67
ERI,Sauber,68.216,10.0,69
GAS,Toro Rosso,69.295,11.0,69
SAI,Renault,68.766,12.0,69
SIR,Williams,68.971,13.0,68
STR,Williams,69.203,14.0,68
VAN,McLaren,68.894,15.0,64
HAM,Mercedes,67.241,16.0,61
HAR,Toro Rosso,69.171,17.0,53
RIC,Red Bull Racing,67.591,18.0,52
BOT,Mercedes,69.044,19.0,12
HUL,Renault,70.38,20.0,10
