Driver,Team,FastestLap,Position,LapsCompleted
VET,Ferrari,106.644,1.0,40
HAM,Mercedes,106.721,2.0,40
VER,Red Bull Racing,106.946,3.0,40
BOT,Mercedes,106.286,4.0,40
PER,Racing Point,108.08,5.0,40
OCO,Racing Point,108.078,6.0,40
GRO,Haas F1 Team,108.283,7.0,40
MAG,Haas F1 Team,107.937,8.0,40
GAS,Toro Rosso,108.588,9.0,40
ERI,Sauber,108.694,10.0,39
SAI,Renault,108.67,11.0,39
SIR,Williams,109.113,12.0,39
STR,Williams,109.287,13.0,39
HAR,Toro Rosso,108.756,14.0,39
VAN,McLaren,108.956,15.0,39
RIC,Red Bull Racing,109.242,16.0,26
RAI,Ferrari,114.32,17.0,4
