Driver,Team,FastestLap,Position,LapsCompleted
HAM,Mercedes,71.795,1.0,70
VER,Red Bull Racing,71.578,2.0,70
RAI,Ferrari,71.769,3.0,70
RIC,Red Bull Racing,71.343,4.0,70
BOT,Mercedes,70.54,5.0,70
VET,Ferrari,70.831,6.0,70
LEC,Sauber,72.082,7.0,70
GRO,Haas F1 Team,72.362,8.0,70
MAG,Haas F1 Team,72.206,9.0,70
PER,Racing Point,72.472,10.0,69
HAR,Toro Rosso,72.949,11.0,69
SAI,Renault,72.169,12.0,69
GAS,Toro Rosso,73.822,13.0,69
VAN,McLaren,72.968,14.0,69
OCO,Racing Point,72.352,15.0,69
SIR,Williams,74.262,16.0,68
ALO,McLaren,72.643,17.0,68
STR,Williams,71.751,18.0,68
HUL,Renault,74.029,19.0,29
ERI,Sauber,75.281,20.0,19
