Driver,Team,FastestLap,Position,LapsCompleted
VET,Ferrari,90.696,1.0,48
HAM,Mercedes,91.245,2.0,51
RAI,Ferrari,90.795,3.0,51
BOT,Mercedes,91.377,4.0,50
RIC,Red Bull Racing,91.589,5.0,51
HUL,Renault,93.405,6.0,51
OCO,Force India,93.606,7.0,51
ALO,McLaren,93.482,8.0,51
MAG,Haas F1 Team,93.604,9.0,51
PER,Force India,93.472,10.0,51
VAN,McLaren,93.551,11.0,50
STR,Williams,93.869,12.0,51
GAS,Toro Rosso,93.465,13.0,51
SIR,Williams,94.62,14.0,51
VER,Red Bull Racing,92.007,15.0,45
GRO,Haas F1 Team,94.391,16.0,36
SAI,Renault,94.602,17.0,36
ERI,Sauber,93.675,18.0,30
LEC,Sauber,95.209,19.0,17
