Driver,Team,FastestLap,Position,LapsCompleted
VET,Ferrari,73.964,1.0,69
BOT,Mercedes,73.992,2.0,69
VER,Red Bull Racing,73.864,3.0,69
RIC,Red Bull Racing,73.835,4.0,69
HAM,Mercedes,74.183,5.0,69
RAI,Ferrari,74.075,6.0,69
HUL,Renault,75.488,7.0,68
SAI,Renault,75.666,8.0,68
OCO,Force India,75.498,9.0,68
LEC,Sauber,75.351,10.0,68
GAS,Toro Rosso,75.699,11.0,68
GRO,Haas F1 Team,75.47,12.0,68
MAG,Haas F1 Team,75.401,13.0,68
PER,Force India,75.1,14.0,68
ERI,Sauber,76.403,15.0,67
VAN,McLaren,75.765,16.0,67
SIR,Williams,75.924,17.0,65
ALO,McLaren,76.18,18.0,39
