Driver,Team,FastestLap,Position,LapsCompleted
RIC,Red Bull Racing,95.785,1.0,53
BOT,Mercedes,96.987,2.0,53
RAI,Ferrari,96.456,3.0,54
HAM,Mercedes,96.878,4.0,53
VER,Red Bull Racing,96.206,5.0,53
HUL,Renault,96.881,6.0,54
ALO,McLaren,97.234,7.0,55
VET,Ferrari,97.479,8.0,53
SAI,Renault,97.754,9.0,54
MAG,Haas F1 Team,98.152,10.0,55
OCO,Force India,97.985,11.0,55
PER,Force India,97.673,12.0,55
VAN,McLaren,98.137,13.0,55
STR,Williams,98.5,14.0,55
SIR,Williams,98.624,15.0,55
ERI,Sauber,98.386,16.0,53
GRO,Haas F1 Team,97.41,17.0,55
GAS,Toro Rosso,98.367,18.0,54
LEC,Sauber,98.808,19.0,53
HAR,Toro Rosso,99.376,20.0,48
