Driver,Team,FastestLap,Position,LapsCompleted
HAM,Mercedes,75.545,1.0,66
BOT,Mercedes,75.721,2.0,66
RAI,Ferrari,75.99,3.0,66
VER,Red Bull Racing,75.852,4.0,66
HUL,Renault,77.91,5.0,66
GRO,Haas F1 Team,76.716,6.0,66
PER,Force India,77.867,7.0,66
OCO,Force India,77.941,8.0,66
ERI,Sauber,77.745,9.0,66
HAR,Toro Rosso,77.681,10.0,66
MAG,Haas F1 Team,77.697,11.0,66
SAI,Renault,77.43,12.0,66
VAN,McLaren,77.537,13.0,66
GAS,Toro Rosso,77.762,14.0,65
LEC,Sauber,77.852,15.0,64
ALO,McLaren,77.741,16.0,64
STR,Williams,78.861,17.0,52
VET,Ferrari,77.29,18.0,50
SIR,Williams,78.934,19.0,50
RIC,Red Bull Racing,78.262,20.0,26
