Driver,Team,FastestLap,Position,LapsCompleted
HAM,Mercedes,82.497,1.0,52
RAI,Ferrari,83.515,2.0,52
BOT,Mercedes,82.907,3.0,52
VET,Ferrari,82.505,4.0,52
VER,Red Bull Racing,83.609,5.0,52
OCO,Racing Point,84.179,6.0,52
PER,Racing Point,83.529,7.0,52
SAI,Renault,84.056,8.0,52
STR,Williams,84.58,9.0,51
SIR,Williams,83.768,10.0,51
LEC,Sauber,84.504,11.0,51
VAN,McLaren,84.772,12.0,51
HUL,Renault,84.059,13.0,51
GAS,Toro Rosso,84.767,14.0,51
ERI,Sauber,83.768,15.0,51
MAG,Haas F1 Team,85.692,16.0,51
RIC,Red Bull Racing,85.229,17.0,22
ALO,McLaren,87.009,18.0,8
GRO,Haas F1 Team,84.243,20.0,52
