Driver,Team,FastestLap,Position,LapsCompleted
HAM,Mercedes,92.785,1.0,52
BOT,Mercedes,93.11,2.0,52
VER,Red Bull Racing,93.367,3.0,52
RIC,Red Bull Racing,93.187,4.0,52
RAI,Ferrari,94.223,5.0,52
VET,Ferrari,92.318,6.0,52
PER,Racing Point,94.073,7.0,52
GRO,Haas F1 Team,94.786,8.0,52
OCO,Racing Point,94.67,9.0,52
SAI,Renault,94.197,10.0,51
GAS,Toro Rosso,94.133,11.0,51
ERI,Sauber,96.294,12.0,50
HAR,Toro Rosso,94.857,13.0,51
ALO,McLaren,93.943,14.0,51
VAN,McLaren,95.023,15.0,51
SIR,Williams,93.985,16.0,50
STR,Williams,93.354,17.0,51
LEC,Sauber,94.515,18.0,36
HUL,Renault,94.934,19.0,36
MAG,Haas F1 Team,99.908,20.0,5
