Driver,Team,FastestLap,Position,LapsCompleted
VER,Red Bull Racing,79.186,1.0,70
VET,Ferrari,79.522,2.0,70
RAI,Ferrari,80.334,3.0,70
HAM,Mercedes,80.728,4.0,70
BOT,Mercedes,78.741,5.0,69
HUL,Renault,80.637,6.0,68
LEC,Sauber,80.537,7.0,68
VAN,McLaren,81.921,8.0,68
ERI,Sauber,82.44,9.0,68
GAS,Toro Rosso,82.755,10.0,68
OCO,Racing Point,82.629,11.0,68
STR,Williams,82.983,12.0,68
SIR,Williams,82.64,13.0,68
HAR,Toro Rosso,82.438,14.0,68
MAG,Haas F1 Team,81.874,15.0,68
GRO,Haas F1 Team,81.37,16.0,67
RIC,Red Bull Racing,79.462,17.0,60
PER,Racing Point,83.545,18.0,37
SAI,Renault,82.386,19.0,27
ALO,McLaren,84.197,20.0,2
