Driver,Team,FastestLap,Position,LapsCompleted
RIC,Red Bull Racing,75.562,1.0,77
VET,Ferrari,76.065,2.0,77
HAM,Mercedes,76.27,3.0,77
RAI,Ferrari,76.392,4.0,77
BOT,Mercedes,76.312,5.0,77
OCO,Force India,77.027,6.0,77
GAS,Toro Rosso,77.099,7.0,77
HUL,Renault,76.061,8.0,77
VER,Red Bull Racing,74.26,9.0,77
SAI,Renault,77.491,10.0,77
ERI,Sauber,76.936,11.0,77
PER,Force India,77.546,12.0,77
MAG,Haas F1 Team,77.476,13.0,77
VAN,McLaren,76.864,14.0,76
GRO,Haas F1 Team,74.822,15.0,76
SIR,Williams,75.325,16.0,76
STR,Williams,74.944,17.0,75
LEC,Sauber,77.71,18.0,69
HAR,Toro Rosso,77.172,19.0,69
ALO,McLaren,77.018,20.0,51
