Driver,Team,FastestLap,Position,LapsCompleted
HAM,Mercedes,102.913,1.0,57
VER,Red Bull Racing,103.345,2.0,57
VET,Ferrari,104.669,3.0,57
BOT,Mercedes,104.72,4.0,57
RAI,Ferrari,104.715,5.0,57
RIC,Red Bull Racing,103.12,6.0,57
ALO,McLaren,103.164,7.0,57
SAI,Renault,105.211,8.0,56
LEC,Sauber,105.203,9.0,56
HUL,Renault,106.093,10.0,56
ERI,Sauber,105.169,11.0,56
VAN,McLaren,105.555,12.0,57
GAS,Toro Rosso,106.063,13.0,56
STR,Williams,106.033,14.0,57
GRO,Haas F1 Team,105.904,15.0,56
PER,Racing Point,105.389,16.0,56
HAR,Toro Rosso,104.889,17.0,56
MAG,Haas F1 Team,101.905,18.0,55
SIR,Williams,105.902,19.0,56
