Driver,Team,FastestLap,Position,LapsCompleted
RAI,Ferrari,98.482,1.0,55
VER,Red Bull Racing,98.246,2.0,55
HAM,Mercedes,97.392,3.0,55
VET,Ferrari,98.28,4.0,55
BOT,Mercedes,98.47,5.0,55
HUL,Renault,99.548,6.0,55
SAI,Renault,99.858,7.0,55
PER,Racing Point,99.569,8.0,54
HAR,Toro Rosso,99.915,9.0,54
ERI,Sauber,100.098,10.0,54
VAN,McLaren,99.24,11.0,54
GAS,Toro Rosso,99.646,12.0,54
SIR,Williams,100.522,13.0,54
STR,Williams,100.433,14.0,52
LEC,Sauber,101.982,15.0,30
RIC,Red Bull Racing,100.933,16.0,7
GRO,Haas F1 Team,149.206,17.0,1
OCO,Racing Point,99.992,19.0,55
MAG,Haas F1 Team,98.963,20.0,55
