Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,SUPERSOFT,2,27,105.61348148148147,102.393,124.097,3.877605301554541,McLaren,27,0.8038518518518516,0.20501863889669183
ALO,ULTRASOFT,1,27,109.80504347826087,106.459,135.505,7.387628494364817,McLaren,23,1.262869565217391,0.1192232107885852
BOT,SUPERSOFT,2,24,105.00404166666668,102.975,124.439,4.27013318679535,Mercedes,24,0.8943333333333333,0.18974852523757138
BOT,ULTRASOFT,1,19,109.58675,104.579,135.002,10.52752517861457,Mercedes,12,2.5352500000000013,0.08674888881224588
BOT,ULTRASOFT,3,15,104.58753333333334,100.953,122.431,5.066705380177914,Mercedes,15,1.4318666666666664,0.1648341129713264
ERI,SUPERSOFT,1,24,109.8086,106.077,135.068,7.867764053401701,Sauber,20,1.4495500000000008,0.11276799810842927
GAS,SUPERSOFT,1,29,109.24968000000001,105.169,135.913,7.250000142068969,Toro Rosso,25,1.2297600000000006,0.1212121191247902
GAS,ULTRASOFT,2,17,106.32435294117647,103.988,126.614,5.3024173136077355,Toro Rosso,17,1.3309411764705885,0.15866927723761967
GRO,HYPERSOFT,1,10,115.77266666666667,106.573,133.568,15.414169466219503,Haas F1 Team,3,8.99833333333334,0.06092297280456426
GRO,SUPERSOFT,2,47,106.99955319148937,103.195,144.915,5.867650643880469,Haas F1 Team,47,0.8876595744680851,0.14561020236098732
HAM,SUPERSOFT,2,48,104.58506249999999,101.357,147.462,6.406134312188421,Mercedes,48,0.9605208333333332,0.13502320614875704
HAM,ULTRASOFT,1,10,112.35066666666667,103.982,128.384,13.889734962674162,Mercedes,3,8.133999999999995,0.06716036265969924
HAR,SUPERSOFT,2,52,107.88276,104.174,135.944,5.380854524200798,Toro Rosso,50,0.6353999999999996,0.15671882131261253
LEC,HYPERSOFT,1,10,114.60133333333333,105.931,131.538,14.668974481310329,Sauber,3,8.535666666666671,0.063820386024164
LEC,SUPERSOFT,2,48,106.26608333333333,102.876,146.003,6.070448698174051,Sauber,48,0.8984791666666663,0.14143373959537403
MAG,SUPERSOFT,1,41,108.02602702702703,104.704,135.634,6.159507481602399,Haas F1 Team,37,0.8359459459459457,0.1396744123209137
MAG,ULTRASOFT,2,13,105.8876923076923,102.822,123.475,5.432730289406594,Haas F1 Team,13,1.588692307692307,0.1554549864536988
OCO,HYPERSOFT,1,21,111.21364285714286,105.919,133.5,9.226809854625085,Racing Point,14,1.9700714285714287,0.09778220326916014
OCO,SUPERSOFT,2,26,106.17373076923076,103.591,124.792,4.0143994475656575,Racing Point,26,0.8154230769230773,0.1994256760867885
PER,SUPERSOFT,2,29,104.85179310344827,102.816,124.774,3.8862658939555583,Racing Point,29,0.7571724137931034,0.2046552565297412
PER,ULTRASOFT,1,26,109.16968181818183,105.853,133.849,7.711129448409604,Racing Point,22,1.2725454545454544,0.11479567671704966
RAI,ULTRASOFT,1,10,110.28999999999999,105.198,115.382,7.201175459603813,Ferrari,2,5.092000000000006,0.12193374046509041
RIC,SUPERSOFT,2,22,103.60668181818183,101.249,121.418,4.047611398935987,Red Bull Racing,22,0.9167727272727277,0.19811350774958533
RIC,ULTRASOFT,1,37,106.52472413793103,103.202,132.377,7.1883930794051185,Red Bull Racing,29,1.0060344827586212,0.12212408348044881
SAI,SUPERSOFT,2,18,104.23116666666667,101.351,123.274,4.824622524094504,Renault,18,1.2179444444444445,0.17168494539574647
SAI,ULTRASOFT,1,37,107.48954545454545,103.54,136.712,6.872241906261872,Renault,33,1.0052121212121208,0.12702861674062163
SIR,SUPERSOFT,1,35,109.44212903225807,106.155,136.074,6.424150987961679,Williams,31,0.9651290322580649,0.1346955364487479
SIR,ULTRASOFT,2,19,106.4148947368421,103.831,128.251,5.363747931921582,Williams,19,1.2852631578947369,0.1571401021375846
STR,SUPERSOFT,1,40,108.50458333333333,105.16,135.633,6.078950583189267,Williams,36,0.8464722222222226,0.14126387636816526
STR,ULTRASOFT,2,14,106.653,104.033,125.942,5.600481078237142,Williams,14,1.5649285714285708,0.1515041082834344
VAN,SUPERSOFT,1,35,109.2972258064516,106.293,135.522,6.399673615165472,McLaren,31,0.942870967741935,0.1351410956762365
VAN,ULTRASOFT,2,19,105.83757894736841,103.249,126.769,5.126996774328673,McLaren,19,1.2378947368421058,0.1632120983301103
VER,HYPERSOFT,1,20,109.41238461538461,104.045,132.348,10.125246289502142,Red Bull Racing,13,2.177153846153847,0.0898856505265512
VER,SUPERSOFT,2,38,103.73897368421053,101.909,121.596,3.0626030924674996,Red Bull Racing,38,0.518078947368421,0.24614759976284833
VET,SUPERSOFT,2,40,103.619425,100.867,125.214,3.598566594172224,Ferrari,40,0.6086749999999999,0.21745906675947732
VET,ULTRASOFT,1,18,110.23,104.412,135.199,11.03299981872564,Ferrari,11,2.7988181818181825,0.08310479639863448
