Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,SUPERSOFT,1,14,73.84592857142857,71.086,93.71,6.019011437670908,McLaren,14,1.6159999999999997,0.14247020522477252
ALO,Soft,2,55,70.00414545454545,68.661,87.388,2.453821988005965,McLaren,55,0.3404909090909092,0.2895343197978022
BOT,SUPERSOFT,1,15,69.45441666666666,69.044,69.906,0.32401135174652046,Mercedes,12,0.07183333333333408,0.755280533419058
ERI,SUPERSOFT,2,25,70.08772,68.216,86.022,3.4605367300463685,Sauber,25,0.7122400000000004,0.2241882671347501
ERI,Soft,1,44,71.32252272727273,69.17,93.576,3.842540157231482,Sauber,44,0.5546818181818179,0.2065031920296367
GAS,SUPERSOFT,1,14,73.48821428571429,70.827,94.972,6.289607890169935,Toro Rosso,14,1.724642857142857,0.13718158988338783
GAS,Soft,2,55,70.33321818181818,69.295,87.79,2.468324598160765,Toro Rosso,55,0.33627272727272733,0.2883236478299335
GRO,Soft,2,55,70.02750909090909,69.071,92.147,3.082787758775585,Haas F1 Team,55,0.4195636363636365,0.24493068439587384
GRO,ULTRASOFT,1,17,72.0995,69.937,93.593,6.221525718763105,Haas F1 Team,14,1.6897142857142862,0.13847489283348824
HAM,SUPERSOFT,1,26,70.71265217391304,68.343,87.525,5.099188149363455,Mercedes,23,0.8340000000000001,0.1639562472104366
HAM,SUPERSOFT,3,10,69.4921,67.241,84.07,5.137237096814675,Mercedes,10,1.6828999999999994,0.16293976983861616
HAM,Soft,2,27,69.33644444444445,67.923,85.039,3.2271204756101968,Mercedes,27,0.6339259259259259,0.23656766012935726
HAM,nan,0,0,69.252,69.252,69.252,,Mercedes,1,0.0,
HAR,SUPERSOFT,1,53,71.54047169811321,69.171,93.824,4.4407460288168705,Toro Rosso,53,0.46515094339622626,0.18379832374154345
HUL,ULTRASOFT,1,13,71.2002,70.38,74.107,1.1720455812145034,Renault,10,0.37270000000000036,0.4603954947579176
LEC,SUPERSOFT,1,14,73.44791666666667,70.439,94.254,6.77566288549532,Sauber,12,1.9845833333333343,0.12860639854454012
LEC,Soft,2,55,70.15156363636363,69.006,86.56,2.354688072159819,Sauber,55,0.3191636363636364,0.29809030779907325
MAG,Soft,2,42,69.71811904761906,68.476,86.358,2.698385716180488,Haas F1 Team,42,0.4257619047619049,0.27038823874561985
MAG,ULTRASOFT,1,30,71.61955555555556,69.274,94.479,5.112893320084444,Haas F1 Team,27,0.9335185185185184,0.1635886555903753
OCO,SUPERSOFT,1,14,72.59814285714286,70.376,95.36,6.574363670373711,Force India,14,1.7845714285714283,0.13202429187700476
OCO,Soft,2,55,70.09550909090909,68.85,88.772,2.6125833736313746,Force India,55,0.36221818181818205,0.2768102204364625
PER,SUPERSOFT,1,26,71.76407692307693,69.4,97.598,5.469739627609907,Force India,26,1.0845384615384612,0.15456572560238047
PER,Soft,2,43,69.91211627906976,68.504,87.041,2.999379755004139,Force India,43,0.4310930232558138,0.25003877132417124
RAI,Soft,2,56,68.69710714285715,66.957,93.64,3.447206851817969,Ferrari,56,0.47648214285714297,0.22486023999338173
RAI,ULTRASOFT,1,17,71.05378571428571,68.954,88.35,4.992011682964805,Ferrari,14,1.3854285714285715,0.16688886018746996
RIC,SUPERSOFT,1,17,71.12407142857143,69.135,88.735,5.083645322378055,Red Bull Racing,14,1.3999999999999997,0.1643751315221491
RIC,SUPERSOFT,3,20,69.5392,67.591,86.081,4.591638957309873,Red Bull Racing,15,1.2326666666666672,0.1788384421159227
RIC,Soft,2,23,69.96230434782609,68.201,93.13,5.206863402670668,Red Bull Racing,23,1.0838695652173913,0.1611119715587302
SAI,SUPERSOFT,3,36,70.22297222222223,68.766,91.46,3.667801205752657,Renault,36,0.6303888888888886,0.21423363076550636
SAI,Soft,2,19,71.43484210526316,69.189,88.431,4.380076613525259,Renault,19,1.0127368421052634,0.18587095906516407
SAI,ULTRASOFT,1,17,72.72592857142857,70.216,95.806,6.673825364399754,Renault,14,1.827857142857143,0.1303131036365746
SIR,SUPERSOFT,1,23,72.72626086956521,70.136,95.433,5.185168728887765,Williams,23,1.0998695652173918,0.1616770768644533
SIR,Soft,2,36,70.86380555555556,69.102,88.563,3.2610452646741916,Williams,36,0.5405833333333333,0.23468420021031206
SIR,ULTRASOFT,3,9,71.87533333333333,68.971,90.963,7.1893656013587135,Williams,9,2.4435555555555544,0.12210958072675229
STR,SUPERSOFT,3,4,74.193,69.203,87.563,8.94366352974738,Williams,4,4.59,0.10056655648176434
STR,Soft,2,50,70.86574,69.549,87.716,2.571908691764831,Williams,50,0.3633399999999998,0.27996236362523413
STR,ULTRASOFT,1,14,73.23514285714285,70.763,98.829,7.398313049474314,Williams,14,2.004714285714285,0.11907153187896398
VAN,Soft,2,39,73.39723076923077,69.82,113.141,7.878230827518319,McLaren,39,1.1107948717948721,0.11263505302210354
VAN,Soft,3,25,70.91032,68.894,88.282,4.722005794857379,McLaren,25,0.7755199999999997,0.17476389151838057
VER,SUPERSOFT,1,17,70.80307142857143,69.133,87.553,4.827143676277777,Red Bull Racing,14,1.3157142857142858,0.17161066477062964
VER,Soft,2,56,68.742,67.442,93.857,3.4397731796257607,Red Bull Racing,56,0.4716964285714287,0.2252367315945389
VET,Soft,2,56,68.65660714285714,67.082,96.112,3.7721038772863786,Ferrari,56,0.5183928571428572,0.20955118030009076
VET,ULTRASOFT,1,17,71.21892857142856,69.232,89.122,5.186384326206544,Ferrari,14,1.4207142857142858,0.161645308029738
