Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Soft,2,38,110.6134857142857,107.449,139.843,5.726466477328433,McLaren,35,0.9255428571428569,0.14866646602201938
ALO,ULTRASOFT,3,15,110.83599999999998,108.006,116.89,3.689712251653232,McLaren,5,1.7768000000000002,0.21323269879670698
BOT,SUPERSOFT,1,43,107.38777142857143,105.149,116.537,2.3456148333045905,Mercedes,35,0.3253714285714287,0.29889872260407874
BOT,ULTRASOFT,2,11,106.833,106.833,106.833,,Mercedes,1,0.0,
ERI,Soft,2,17,115.28264285714285,110.218,136.714,8.216614871074366,Sauber,14,1.8925714285714281,0.10849970558479369
ERI,ULTRASOFT,3,18,111.79961111111112,108.801,132.841,5.8587808824110015,Sauber,18,1.3355555555555558,0.1457985051781505
ERI,ULTRASOFT,4,3,136.38333333333333,122.333,148.577,13.220147212997796,Sauber,3,8.748,0.07032276002641935
ERI,ULTRASOFT,5,15,119.11489999999999,107.925,136.806,9.50679053741179,Sauber,10,2.8881000000000014,0.09517654286904027
GAS,Soft,2,27,111.3222962962963,108.035,130.628,5.396410194356523,Toro Rosso,27,0.8367777777777774,0.15633769092580838
GAS,ULTRASOFT,1,11,113.94442857142857,112.328,117.629,1.9999382371415753,Toro Rosso,7,0.7572857142857146,0.3333401960144446
GAS,ULTRASOFT,3,12,117.38614285714286,111.493,141.291,10.715845065891457,Toro Rosso,7,4.256857142857143,0.08535449166286069
GRO,SUPERSOFT,2,38,109.91254285714285,106.88,140.263,5.805572755565817,Haas F1 Team,35,0.9538000000000003,0.14693840414565662
GRO,ULTRASOFT,3,2,124.606,124.606,124.606,,Haas F1 Team,1,0.0,
HAM,SUPERSOFT,1,26,108.15288235294118,106.12,115.171,2.5046456306819374,Mercedes,17,0.5324117647058825,0.28533555325689774
HAM,Soft,2,18,108.30572222222222,105.412,125.747,6.094799883850416,Mercedes,18,1.1297222222222219,0.14094830247097687
HAM,ULTRASOFT,3,11,107.09725,106.017,107.795,0.8417586253394364,Mercedes,4,0.44450000000000145,0.5429593141260299
HAR,SUPERSOFT,3,17,111.79976470588235,108.394,133.044,7.256471547258799,Toro Rosso,17,1.4500000000000004,0.12111711331846187
HAR,ULTRASOFT,2,21,112.4956875,110.758,120.876,2.6027318140433358,Toro Rosso,16,0.6323750000000006,0.2775671494897376
HAR,ULTRASOFT,4,12,114.80114285714285,108.288,131.733,8.024664300944758,Toro Rosso,7,3.3492857142857155,0.11080744575677055
HUL,ULTRASOFT,1,12,111.7814,108.867,117.744,3.6666554651344003,Renault,5,1.775399999999999,0.21428622864302235
LEC,SUPERSOFT,1,23,109.94505263157896,107.956,118.924,2.5787586047399786,Sauber,19,0.577263157894737,0.2794265024401267
LEC,Soft,2,16,111.25687500000001,107.403,146.86,10.43985472999186,Sauber,16,2.4660625000000005,0.08741369742906793
LEC,ULTRASOFT,3,11,112.62425,107.632,122.689,6.857863679747497,Sauber,4,3.764249999999997,0.12726105220905712
MAG,Soft,2,38,112.15911764705882,108.155,143.3,6.7039242273720445,Haas F1 Team,34,1.0336764705882355,0.12980397658209045
MAG,ULTRASOFT,3,12,118.77314285714286,110.34,144.036,11.825675589278493,Haas F1 Team,7,4.813714285714285,0.07796860235853313
PER,SUPERSOFT,3,11,111.2458,106.206,124.633,7.734210250568562,Force India,5,3.6853999999999987,0.11449232057757071
PER,Soft,2,38,109.75382857142857,106.927,139.099,5.754906318477634,Force India,35,0.9191999999999995,0.14804054310339745
RAI,ULTRASOFT,3,49,109.98387499999998,106.523,138.482,6.895162894591308,Ferrari,40,0.7989750000000001,0.12665983126010788
RIC,SUPERSOFT,1,40,108.11315625,105.419,117.893,2.5539269334203807,Red Bull Racing,32,0.3898125000000001,0.2813788855916565
RIC,ULTRASOFT,2,2,114.2235,105.602,122.845,12.192642227999636,Red Bull Racing,2,8.621499999999997,0.07579982710951051
SAI,Soft,2,25,109.84567999999999,106.967,142.488,7.789397498737203,Renault,25,1.42084,0.11377344125620362
SAI,ULTRASOFT,1,17,111.1923,109.108,116.553,2.673837818151608,Renault,10,0.7444999999999993,0.27219492244846094
SAI,ULTRASOFT,3,14,111.1964,106.856,121.745,6.158896759972519,Renault,5,2.977800000000002,0.13968632786986004
STR,SUPERSOFT,1,22,110.43022222222221,108.488,119.204,2.641263168293344,Williams,18,0.595333333333333,0.27462997146363877
STR,Soft,2,17,110.8545294117647,107.003,148.672,10.523176042179752,Williams,17,2.4511176470588234,0.0867816300245325
STR,ULTRASOFT,3,11,112.474,106.815,123.431,6.520848181026761,Williams,5,3.3232,0.1329637264215428
VAN,SUPERSOFT,1,16,112.27866666666667,109.672,120.462,3.028704323434007,McLaren,12,0.8991666666666672,0.2482187620926261
VAN,Soft,2,8,112.808875,108.728,127.675,6.887633170867086,McLaren,8,2.3683750000000003,0.12678074377159076
VAN,ULTRASOFT,3,14,113.29114285714286,108.739,139.187,8.757274425449813,McLaren,14,2.1748571428571433,0.10248763705894227
VAN,ULTRASOFT,4,5,123.9585,114.094,132.863,8.347999381089265,McLaren,4,4.692250000000001,0.10697476104063201
VAN,ULTRASOFT,5,8,109.42875,107.666,111.957,1.9287464625156534,McLaren,4,1.0727499999999992,0.3414430073749189
VER,SUPERSOFT,1,41,108.065,105.771,116.751,2.3340125454889913,Red Bull Racing,33,0.33272727272727287,0.2999388833593404
VER,ULTRASOFT,2,1,121.646,121.646,121.646,,Red Bull Racing,1,0.0,
VET,SUPERSOFT,1,32,107.38843999999999,106.198,111.316,1.2955218408039333,Ferrari,25,0.20472000000000037,0.4356307930617563
VET,Soft,2,10,109.2382,105.53,122.645,6.6868625893530105,Ferrari,10,1.7114999999999996,0.1300920874252506
VET,ULTRASOFT,3,11,108.458,106.344,111.976,2.5713115978685557,Ferrari,4,1.4080000000000013,0.2800091710274802
