Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Medium,2,25,97.55632,96.351,116.239,3.9355362374988547,McLaren,25,0.7955200000000002,0.2026122293262226
ALO,SUPERSOFT,3,17,97.02464705882353,94.168,115.063,6.042866434288209,McLaren,17,1.2291176470588232,0.141987642294549
ALO,Soft,1,13,103.36218181818181,97.609,128.668,10.059872025211675,McLaren,11,2.8235454545454557,0.09041695941150467
BOT,Medium,2,36,95.02408333333334,93.74,96.972,0.5719672006080697,Mercedes,36,0.08977777777777776,0.6361455885422922
BOT,SUPERSOFT,1,22,100.47057894736842,95.692,129.303,9.505913553127451,Mercedes,19,1.7690000000000001,0.09518448775949762
ERI,Medium,2,33,97.28615151515152,95.093,117.423,3.7260585083403845,Sauber,33,0.6766666666666666,0.21159280999912178
ERI,Soft,1,22,101.24244999999999,97.824,126.985,7.550626244330922,Sauber,20,1.45805,0.11695049829397018
GAS,SUPERSOFT,1,17,102.10307692307691,96.862,129.434,10.081290604064034,Toro Rosso,13,2.5055384615384617,0.0902421961240916
GAS,SUPERSOFT,3,26,96.03173913043479,94.863,116.049,4.367020809091203,Toro Rosso,23,0.921130434782609,0.18632310840049265
GAS,Soft,2,19,97.40357894736843,95.585,116.448,4.6708665186545115,Toro Rosso,19,1.0980526315789474,0.1763398938610996
GRO,SUPERSOFT,1,17,102.28713333333333,97.599,127.783,8.645588568468783,Haas F1 Team,15,2.0122666666666666,0.10367433701961724
GRO,SUPERSOFT,3,15,98.03173333333332,94.578,115.787,5.4243686329993,Haas F1 Team,15,1.4139333333333335,0.155657319361068
GRO,SUPERSOFT,4,11,97.11036363636363,94.053,116.846,6.566431637849087,Haas F1 Team,11,2.07209090909091,0.1321626954240573
GRO,Soft,2,12,98.63241666666666,95.492,116.167,5.627447838429278,Haas F1 Team,12,1.7229166666666664,0.15088764549778827
HAM,Medium,2,30,94.64026666666668,93.953,97.091,0.5840832447362383,Mercedes,30,0.10459999999999971,0.6312799553450914
HAM,Soft,1,28,99.59728000000001,95.436,128.522,8.129446124634402,Mercedes,25,1.3234399999999993,0.10953567022008644
HAR,SUPERSOFT,1,19,101.63288235294118,97.895,126.814,8.095935067074967,Toro Rosso,17,1.7011176470588234,0.10993921929145607
HAR,SUPERSOFT,3,17,97.02685714285714,94.689,115.682,5.4810336455978605,Toro Rosso,14,1.4995000000000007,0.15429637534426846
HAR,Soft,2,22,98.37854545454546,95.894,130.979,7.348036042937711,Toro Rosso,22,1.5947727272727277,0.11978865386499883
HUL,SUPERSOFT,1,17,102.76641666666667,97.317,128.657,9.861640269783022,Renault,12,2.611666666666668,0.09206712569757906
HUL,SUPERSOFT,3,21,97.17411111111112,94.667,114.638,5.8028536781877875,Renault,18,1.1095000000000002,0.14699713492388242
HUL,Soft,2,24,97.550125,95.586,116.761,4.172567537291735,Renault,24,0.8822916666666666,0.19332758688803559
LEC,Medium,2,31,99.53486206896551,96.615,125.593,5.1566948767329785,Sauber,29,0.9992413793103452,0.16242481071770204
LEC,SUPERSOFT,3,22,96.53859090909091,95.058,117.016,4.586162268006319,Sauber,22,0.998090909090909,0.17901377583091518
LEC,Soft,1,2,121.41,114.239,128.581,10.141325455777453,Sauber,2,7.170999999999992,0.08975592751232658
MAG,SUPERSOFT,1,13,103.617,97.2,129.387,11.07218682605704,Haas F1 Team,10,3.2186999999999997,0.08283503348718595
MAG,SUPERSOFT,2,17,98.29771428571429,96.129,116.348,5.261211668406834,Haas F1 Team,14,1.4442142857142852,0.15971349524020326
MAG,Soft,3,30,96.21976666666666,94.327,116.09,3.8131099686913497,Haas F1 Team,30,0.7254333333333335,0.2077658741447565
OCO,Medium,2,20,98.47865,96.366,116.678,4.38563640313767,Force India,20,1.0155999999999998,0.18567907766989253
OCO,SUPERSOFT,1,17,103.25241666666666,97.666,129.505,9.901514589912107,Force India,12,2.65325,0.09173037303691417
OCO,Soft,3,21,96.99590476190477,95.043,115.134,4.195243066912354,Force India,21,0.9567142857142854,0.19248377546930093
PER,Medium,2,23,98.70877272727272,95.832,115.936,3.939848678890358,Force India,22,0.9138181818181824,0.2024353507574711
PER,SUPERSOFT,3,24,97.02475,95.075,115.397,4.078462927111892,Force India,24,0.8467500000000001,0.19690997342156386
PER,Soft,1,8,105.76112499999999,97.067,127.478,11.014740739280764,Force India,8,3.801375,0.08323109268022896
RAI,SUPERSOFT,1,21,100.84666666666666,95.755,128.006,9.417537376368308,Ferrari,18,1.7917222222222224,0.09599197621008328
RAI,Soft,2,15,94.97753333333334,94.337,97.888,0.8412268138742067,Ferrari,15,0.23673333333333346,0.5431161399913875
SAI,SUPERSOFT,1,18,102.77984615384615,97.921,127.23,9.08408643220067,Renault,13,2.2545384615384614,0.09916614724828059
SAI,SUPERSOFT,2,13,99.7572,95.939,117.745,6.428642759815897,Renault,10,2.180600000000001,0.13461409201278954
SAI,Soft,3,40,97.1677,95.535,115.865,3.6334322820545126,Renault,30,0.6776666666666666,0.2158227290540199
SIR,Medium,2,18,98.52933333333334,95.857,117.826,4.941923607379666,Williams,18,1.2204999999999997,0.16829566754409872
SIR,SUPERSOFT,3,16,97.2234375,94.563,116.951,5.361044611749345,Williams,16,1.3992499999999994,0.1572068836230015
SIR,Soft,1,21,102.44605263157894,98.073,127.036,7.45924198169764,Williams,19,1.524368421052632,0.11821390169043436
STR,Medium,3,26,97.29411538461538,95.266,116.614,4.001505969776108,Williams,26,0.821076923076923,0.19993977934705232
STR,SUPERSOFT,2,19,98.28616666666667,97.083,102.258,1.120830849913419,Williams,18,0.28749999999999987,0.4715133222627463
STR,Soft,1,9,105.74122222222223,98.943,127.78,9.977684698588366,Williams,9,3.2041111111111116,0.09109388978247765
VAN,Medium,3,28,96.76375,95.131,115.531,3.731306757741905,McLaren,28,0.7285714285714288,0.21135809855568669
VAN,SUPERSOFT,1,9,104.797,97.755,127.012,10.517729840607243,McLaren,9,3.2507777777777784,0.08682266504240888
VAN,Soft,2,18,98.64641176470589,96.219,116.832,4.736244623364902,McLaren,17,1.2125294117647059,0.17433008277345682
VER,SUPERSOFT,2,1,128.112,128.112,128.112,,Red Bull Racing,1,0.0,
VET,SUPERSOFT,1,19,100.810625,95.369,130.679,10.383955340652545,Ferrari,16,2.206875,0.0878429306928991
VET,Soft,2,38,95.18547368421054,94.453,97.033,0.5744605806739296,Ferrari,38,0.06789473684210522,0.6351381624124001
VET,nan,0,0,100.505,100.505,100.505,,Ferrari,1,0.0,
