Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
BOT,SUPERSOFT,3,27,110.57884,108.253,114.223,1.6951785225554696,Mercedes,25,0.23879999999999996,0.371032935900601
BOT,Soft,4,20,108.32379999999999,106.286,121.139,3.5859658033585746,Mercedes,15,0.9901999999999996,0.21805657584006422
ERI,SUPERSOFT,3,17,110.24476470588236,108.694,124.533,3.762978333870194,Sauber,17,0.931705882352941,0.20995266614774677
ERI,Soft,2,26,111.77604545454545,110.757,114.739,1.0898468427685755,Sauber,22,0.18099999999999997,0.47850396475716167
GAS,SUPERSOFT,2,25,111.78085714285714,110.672,115.53,1.1706056246966452,Toro Rosso,21,0.23133333333333353,0.4607009161969512
GAS,Soft,3,19,109.86605263157894,108.588,123.514,3.315364995386112,Toro Rosso,19,0.7855789473684212,0.23173010882490283
GRO,SUPERSOFT,2,26,111.36631578947369,110.528,115.02,1.0798405259127406,Haas F1 Team,19,0.23642105263157842,0.4808060942851129
GRO,Soft,3,21,109.51890476190476,108.283,123.178,3.1415825137144187,Haas F1 Team,21,0.7092857142857141,0.24145359815688916
HAM,SUPERSOFT,2,24,109.14358823529412,108.208,113.411,1.16082142569516,Mercedes,17,0.30605882352941194,0.46278696985721024
HAM,Soft,3,23,108.14330434782607,106.721,119.902,2.6599856533239667,Mercedes,23,0.573086956521739,0.2732251147191817
HAR,SUPERSOFT,3,12,111.11766666666666,108.756,130.13,6.012149159423072,Toro Rosso,12,1.7811666666666663,0.14260963040927035
HAR,Soft,2,31,112.28233333333334,110.476,115.36,1.357566601284478,Toro Rosso,27,0.1808888888888889,0.42416617178711635
MAG,SUPERSOFT,2,29,111.56540909090909,110.403,115.135,1.128144564321727,Haas F1 Team,22,0.21509090909090905,0.46989289015650854
MAG,Soft,3,18,109.02966666666666,107.937,123.618,3.6443996842859487,Haas F1 Team,18,0.8711666666666665,0.2153130798332109
OCO,SUPERSOFT,2,27,111.04,110.199,114.416,1.009486529197683,Racing Point,20,0.21084999999999993,0.497639563873695
OCO,Soft,3,20,109.4721,108.078,123.773,3.3818578030425885,Racing Point,20,0.7847499999999996,0.2282137040836057
PER,SUPERSOFT,2,28,110.73514285714286,109.729,114.655,1.0276190094443707,Racing Point,21,0.23457142857142865,0.49318930003227307
PER,Soft,3,19,109.30315789473686,108.08,123.182,3.401206685593905,Racing Point,19,0.7948421052631581,0.22721041556017232
RAI,Medium,2,6,124.00775,114.32,144.008,13.798484563530884,Ferrari,4,7.422000000000004,0.06757448681362832
RIC,Soft,3,27,111.0235,109.242,115.261,1.601751172935423,Red Bull Racing,26,0.23149999999999965,0.38435650972408364
SAI,Medium,2,22,112.61983333333333,111.537,116.155,1.2252038125768863,Renault,18,0.25655555555555526,0.449397036958136
SAI,SUPERSOFT,3,21,110.3412380952381,108.67,123.971,3.161716446880744,Renault,21,0.7286190476190477,0.2402854718152439
SIR,SUPERSOFT,3,19,110.6162105263158,109.113,123.55,3.1950492532970722,Williams,19,0.7598421052631578,0.23837622388200957
SIR,Soft,2,24,112.29825000000001,111.284,115.243,1.0203464259492279,Williams,20,0.19794999999999946,0.4949646195108177
STR,SUPERSOFT,3,20,110.6421,109.287,124.658,3.3381721266837654,Williams,20,0.7685499999999997,0.23051183097348218
STR,Soft,2,23,112.46426315789473,111.286,115.687,1.1166620319359175,Williams,19,0.23163157894736822,0.472441979358127
VAN,Medium,3,26,112.94304166666666,111.752,116.001,1.3023709976729743,McLaren,24,0.17704166666666707,0.4343348665400617
VAN,SUPERSOFT,4,15,110.63726666666666,108.956,124.389,3.83435301800273,McLaren,15,1.0288666666666662,0.2068529121220736
VER,SUPERSOFT,2,28,109.71718181818183,108.536,113.013,1.1728158884603765,Red Bull Racing,22,0.20350000000000018,0.4602322752290736
VER,Soft,3,18,108.2123888888889,106.946,120.763,3.1488408163843618,Red Bull Racing,18,0.7676111111111115,0.24103118057720074
VET,SUPERSOFT,2,24,108.94572222222222,108.399,112.901,0.9984722922047734,Ferrari,18,0.25011111111111084,0.5003822189082094
VET,Soft,3,22,107.78509090909091,106.644,119.728,2.739422217654685,Ferrari,22,0.5947272727272722,0.2674209922802423
