Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Medium,2,39,75.95535897435897,74.269,102.275,4.424078973355148,McLaren,39,0.7181025641025641,0.18436309738710063
ALO,SUPERSOFT,3,15,74.8284,72.643,89.694,4.232629101904123,McLaren,15,1.1367333333333334,0.1911085193552331
ALO,Soft,1,15,76.58157142857144,75.669,79.943,1.0801023252299018,McLaren,14,0.3052857142857143,0.48074558057593425
BOT,Medium,2,41,73.83500000000001,71.939,89.713,2.7227443875619257,Mercedes,41,0.4335121951219512,0.26861903367341133
BOT,SUPERSOFT,1,21,74.80435294117648,74.151,77.068,0.7273743827267106,Mercedes,17,0.17158823529411774,0.5789132975455332
BOT,Soft,3,12,72.88441666666667,70.54,89.551,5.2711725702306,Mercedes,12,1.5842499999999997,0.1594598121485323
ERI,Medium,2,2,97.38550000000001,93.141,101.63,6.00262946549259,Sauber,2,4.244499999999995,0.14280350044619367
ERI,SUPERSOFT,1,23,76.76994117647058,75.281,81.26,1.564385481210925,Sauber,17,0.35170588235294115,0.38995697305531124
GAS,Medium,2,48,75.294375,73.822,93.499,2.779659573714857,Toro Rosso,48,0.40993749999999984,0.26457409205695875
GAS,SUPERSOFT,1,26,76.0247619047619,75.306,79.208,0.8440297924103146,Toro Rosso,21,0.18580952380952387,0.5422905877745657
GRO,Medium,2,39,73.59920512820513,72.362,90.493,2.8188384149231895,Haas F1 Team,39,0.46489743589743593,0.2618597309831748
GRO,SUPERSOFT,1,35,75.1094193548387,74.479,78.66,0.7260456263988556,Haas F1 Team,31,0.1348709677419354,0.5793589605660399
HAM,Medium,2,52,73.30694230769231,71.795,89.165,2.3808583426123264,Mercedes,52,0.3340384615384616,0.2957828748386182
HAM,SUPERSOFT,1,22,74.40133333333333,73.786,77.295,0.7775636913575941,Mercedes,18,0.19494444444444448,0.5625677464396571
HAR,Medium,1,49,75.53458333333333,74.48,78.833,0.9200574874114394,Toro Rosso,48,0.09068749999999988,0.5208177393418403
HAR,SUPERSOFT,2,21,75.1027619047619,72.949,91.765,3.957606421876254,Toro Rosso,21,0.8960000000000001,0.20171024379574293
HUL,Soft,1,32,75.71644827586206,74.029,85.503,2.02866748289552,Renault,29,0.3956551724137932,0.3301782072966169
LEC,Medium,2,36,73.59588888888888,72.082,92.03,3.19389053196235,Sauber,36,0.5541111111111113,0.23844208435552403
LEC,SUPERSOFT,1,40,74.79291176470588,73.937,78.292,0.7364471372189649,Sauber,34,0.12808823529411775,0.5758885361759796
MAG,SUPERSOFT,2,30,73.43033333333332,72.206,90.408,3.2252987066512886,Haas F1 Team,30,0.6067333333333332,0.2366696580352631
MAG,Soft,1,41,74.887675,73.824,78.391,0.8923792854512923,Haas F1 Team,40,0.11417500000000018,0.5284352918508729
OCO,SUPERSOFT,2,17,76.0454705882353,72.869,95.926,6.774634972801548,Racing Point,17,1.3562941176470589,0.1286234020630367
OCO,SUPERSOFT,3,30,74.79707692307693,72.352,98.574,7.15624965166274,Racing Point,13,2.0170769230769228,0.12260536922090647
OCO,Soft,1,40,75.48661538461539,74.317,79.36,0.9704268354260298,Racing Point,39,0.12930769230769248,0.5075042534039524
PER,SUPERSOFT,1,39,75.28805263157895,74.367,79.791,0.9849261173380007,Racing Point,38,0.14273684210526297,0.5037970891032999
PER,Soft,2,31,73.96535483870967,72.472,91.208,3.3042490175367316,Racing Point,31,0.6043870967741937,0.23232856554667639
RAI,Medium,2,40,73.023975,71.769,89.986,2.805216144033041,Ferrari,40,0.45542499999999997,0.2627971610937528
RAI,Soft,1,34,74.4445,73.546,77.856,0.8113836521858702,Ferrari,30,0.14366666666666628,0.5520641631016485
RIC,SUPERSOFT,1,42,74.16581578947368,72.919,77.319,0.813292236804614,Red Bull Racing,38,0.11578947368421068,0.5514830867870484
RIC,Soft,2,32,72.90553125,71.343,90.744,3.3465247837158163,Red Bull Racing,32,0.6062812499999999,0.23006885955107942
SAI,Medium,2,23,75.47795652173913,73.347,92.234,3.817470955753783,Renault,23,0.8211739130434783,0.20757779531719697
SAI,SUPERSOFT,3,22,74.86868181818183,72.169,91.104,3.852997959367712,Renault,22,0.8606818181818183,0.20605819503173417
SAI,Soft,1,25,75.906375,75.219,79.572,0.8805639898482085,Renault,24,0.18137500000000037,0.5317553698774781
SIR,Medium,2,53,75.66369811320754,74.262,93.57,2.685018210688177,Williams,53,0.3643018867924527,0.27136907956100714
SIR,Soft,1,16,76.6464,75.655,79.95,1.0106869516748085,Williams,15,0.28633333333333344,0.4973424625683509
STR,Medium,2,48,75.87,74.354,93.402,2.8696624829337445,Williams,48,0.39683333333333337,0.25842047062509194
STR,SUPERSOFT,3,4,77.263,71.751,92.898,10.428212982098128,Williams,4,5.286749999999998,0.08750274444188808
STR,Soft,1,17,76.6900625,75.868,80.105,1.0110557168128758,Williams,16,0.26481250000000056,0.49725126541237835
VAN,Medium,2,42,74.90569047619047,72.968,91.527,2.8297246223694095,McLaren,42,0.4418809523809523,0.26111537998293743
VAN,Soft,1,28,76.33740740740741,75.642,79.339,0.759462829356242,McLaren,27,0.13692592592592603,0.5683552862357901
VER,SUPERSOFT,1,38,74.06332352941178,73.245,77.807,0.761747262651375,Red Bull Racing,34,0.13417647058823523,0.5676183078014442
VER,Soft,2,36,73.11652777777778,71.578,90.774,3.445813331202382,Red Bull Racing,36,0.5332222222222222,0.22493072144564094
VET,Medium,2,26,74.13230769230769,72.577,89.579,3.25102927417433,Ferrari,26,0.6539230769230767,0.2352371474069014
VET,SUPERSOFT,3,21,72.70661111111112,70.831,89.943,4.3388197519451435,Ferrari,18,1.0617777777777775,0.1873073163100628
VET,Soft,1,30,74.64661538461539,73.874,77.511,0.8102713163834956,Ferrari,26,0.1398846153846154,0.5524033833766804
