Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Medium,2,19,96.467,94.382,114.202,4.949950807836376,McLaren,19,1.0431578947368418,0.16806861641325693
ALO,Soft,1,12,96.05591666666668,95.481,96.9,0.44927081493407195,McLaren,12,0.11825000000000092,0.6900021650166814
ALO,Soft,3,22,109.48335,93.482,144.432,20.907565561613282,McLaren,20,2.5474999999999994,0.04564633150075848
BOT,Medium,2,31,104.5651,91.377,149.372,21.227678933898773,Mercedes,30,1.9331666666666674,0.04498895287149977
BOT,Soft,1,23,93.73949999999999,93.22,94.46,0.3097193126551459,Mercedes,20,0.06199999999999974,0.7635223748611729
ERI,Medium,2,7,97.17742857142856,93.675,112.796,6.901717898638064,Sauber,7,2.73157142857143,0.1265547584497239
ERI,Soft,1,23,95.94208695652175,95.001,97.975,0.6701981330542532,Sauber,23,0.1293043478260865,0.5987313601957648
GAS,Medium,2,12,97.53566666666666,94.265,115.401,6.71278537681278,Toro Rosso,12,1.761333333333333,0.12965484596606763
GAS,Soft,1,19,95.87947368421052,94.462,97.156,0.6080199529274477,Toro Rosso,19,0.14178947368421066,0.621882830607587
GAS,Soft,3,23,109.28215,93.465,146.732,21.09787548614664,Toro Rosso,20,2.66335,0.045253219053881855
GRO,Medium,2,11,110.54490909090909,94.391,136.146,16.55163090124079,Haas F1 Team,11,3.795909090909089,0.0569747623811589
GRO,Soft,1,28,95.78688,94.907,97.831,0.6793551672971478,Haas F1 Team,25,0.11696000000000026,0.5954666526018187
HAM,Medium,2,27,106.89574074074073,91.245,149.101,22.502951489480036,Mercedes,27,2.1428148148148147,0.04254784767979468
HAM,Soft,1,28,94.05266666666667,92.821,96.761,0.9358274026422972,Mercedes,24,0.16416666666666657,0.5165749790684104
HUL,Hard,2,32,105.0924375,93.405,144.483,17.757256611961893,Renault,32,1.5961875,0.05331270028913925
HUL,Medium,1,19,95.43405263157895,94.272,96.624,0.507657854342885,Renault,19,0.12378947368420998,0.6632804632161398
LEC,Soft,1,22,95.54323529411765,95.209,96.218,0.30863682731726966,Sauber,17,0.05935294117647061,0.7641539494574816
MAG,Medium,2,27,106.885,93.604,145.385,18.644097946287694,Haas F1 Team,27,1.9178148148148144,0.050905875277870834
MAG,Soft,1,27,95.50987500000001,93.964,96.991,0.7745780513342099,Haas F1 Team,24,0.12612500000000004,0.563514238919023
OCO,Medium,2,33,104.72690909090909,93.606,144.982,17.48417201421695,Force India,33,1.556848484848485,0.05410034050921287
OCO,Soft,1,21,95.58427777777779,94.382,96.41,0.4526490402008715,Force India,18,0.1126666666666662,0.6883975222685037
PER,Medium,2,19,96.6238947368421,94.175,114.144,5.306162087555863,Force India,19,1.0510000000000004,0.15857505502012545
PER,Soft,1,12,95.65724999999999,94.485,96.433,0.5693436611972199,Force India,12,0.16233333333333397,0.6372090605298781
PER,Soft,3,23,109.14685,93.472,145.282,20.616821150331024,Force India,20,2.590500000000001,0.04626027078845896
RAI,Medium,2,20,95.96105,92.135,122.562,8.747620996741434,Ferrari,20,1.5213499999999995,0.10258913434716979
RAI,Soft,1,15,94.03091666666667,93.684,94.305,0.22335640428099282,Ferrari,12,0.051750000000000775,0.817423276242816
RAI,Soft,3,19,110.83289473684209,90.795,148.092,25.304452978554185,Ferrari,19,3.015631578947369,0.03801637695394359
RIC,Medium,2,12,94.82708333333333,92.64,113.1,5.761198856588047,Red Bull Racing,12,1.7049999999999994,0.14790276417112175
RIC,Soft,1,20,94.073,93.433,94.512,0.25662302118087466,Red Bull Racing,17,0.06347058823529374,0.7957836066541892
RIC,Soft,3,22,110.06068181818182,91.589,146.903,22.425994970519117,Red Bull Racing,22,2.514272727272727,0.04268762121986574
SAI,Hard,2,15,97.18373333333334,94.602,114.994,5.8668373990308185,Renault,15,1.3594666666666664,0.14562744708956404
SAI,Medium,1,16,95.85575,95.277,96.714,0.43847850574457825,Renault,16,0.08981249999999985,0.6951789658354227
SAI,Soft,3,5,124.43319999999999,102.315,144.822,19.31003396423735,Renault,5,8.5014,0.04923674681001699
SIR,Medium,2,31,104.84345161290322,94.62,142.673,15.098419294391292,Williams,31,1.5500967741935483,0.062117900007015045
