Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,SUPERSOFT,2,22,76.8024090909091,76.18,78.944,0.7050715370048468,McLaren,22,0.12563636363636344,0.5864856566409022
ALO,ULTRASOFT,1,17,86.58417647058823,77.105,128.423,17.434120978111046,McLaren,17,3.018705882352941,0.054247229970304255
BOT,SUPERSOFT,2,34,74.78055882352942,73.992,77.384,0.6559381064286783,Mercedes,34,0.09976470588235282,0.6038873047958754
BOT,ULTRASOFT,1,38,80.65765714285715,75.258,130.792,14.754751021366676,Mercedes,35,1.5866857142857145,0.06347291675024218
ERI,SUPERSOFT,2,67,79.53461194029852,76.403,122.714,7.917470588123119,Sauber,67,0.6912089552238805,0.11213942228549276
GAS,HYPERSOFT,1,22,84.2885,76.911,125.067,15.214931271459562,Toro Rosso,22,2.1889090909090907,0.06167155341325024
GAS,SUPERSOFT,2,46,76.6335,75.699,79.002,0.6736723486483112,Toro Rosso,46,0.0718043478260869,0.5974885113012822
GRO,SUPERSOFT,2,21,76.19228571428572,75.47,78.756,0.9120712769765992,Haas F1 Team,21,0.15647619047619055,0.5229930557720723
GRO,ULTRASOFT,1,47,80.40670212765959,76.305,125.262,10.98684322845896,Haas F1 Team,47,1.0416382978723402,0.08342480008629936
HAM,SUPERSOFT,2,54,75.2345,74.183,78.947,0.7517206363366071,Mercedes,54,0.08822222222222215,0.5708672828627007
HAM,ULTRASOFT,1,18,87.58113333333334,76.226,128.904,20.257994569575533,Mercedes,15,3.5118666666666667,0.04704112595038486
HUL,HYPERSOFT,1,15,90.53399999999999,75.914,129.285,21.247816683560256,Renault,12,4.447583333333333,0.04494823084095877
HUL,SUPERSOFT,2,56,76.57860714285714,75.488,78.971,0.6185962607114883,Renault,56,0.062196428571428646,0.6178192945783952
LEC,SUPERSOFT,2,50,76.61212,75.351,79.789,0.8248873427100586,Sauber,50,0.08876000000000005,0.547979032237105
LEC,ULTRASOFT,1,18,86.3675,77.094,128.743,17.604844497868125,Sauber,18,2.869388888888889,0.0537494414486822
MAG,SUPERSOFT,2,47,76.67653191489362,75.401,79.484,1.0078910580161233,Haas F1 Team,47,0.08687234042553188,0.4980349885058206
MAG,ULTRASOFT,1,21,85.16561904761905,77.046,127.568,16.317467896325677,Haas F1 Team,21,2.4058095238095234,0.05774516262924179
OCO,HYPERSOFT,1,13,93.6174,76.86,128.981,22.475129139166746,Force India,10,5.2120999999999995,0.04259827471328216
OCO,SUPERSOFT,2,58,76.64603448275862,75.498,79.071,0.6843033841777346,Force India,58,0.061603448275861956,0.5937172657811841
PER,HYPERSOFT,1,11,98.19075,77.419,129.605,22.409338453612854,Force India,8,6.523249999999999,0.04271799487121628
PER,SUPERSOFT,2,35,77.53805714285714,76.243,92.749,2.726582357013963,Force India,35,0.4716,0.2683423856493756
PER,SUPERSOFT,3,25,75.80868000000001,75.1,78.391,0.7038825493882639,Force India,25,0.13164000000000045,0.5868949126564063
RAI,SUPERSOFT,2,38,75.10113157894736,74.075,78.515,0.7237079510653941,Ferrari,38,0.11684210526315783,0.5801446813434475
RAI,ULTRASOFT,1,34,81.47754838709677,75.408,129.069,14.894931826718125,Ferrari,31,1.7309999999999997,0.06291313551399315
RIC,HYPERSOFT,1,19,86.7635625,75.807,128.844,19.69617104234137,Red Bull Racing,16,3.3148124999999995,0.048318116329544476
RIC,SUPERSOFT,2,53,75.15845283018868,73.835,78.361,0.7235857443751855,Red Bull Racing,53,0.08539622641509453,0.5801858151028677
SAI,HYPERSOFT,1,16,89.46453846153847,76.6,128.343,20.46327417030889,Renault,13,3.980230769230769,0.046591213999555806
SAI,SUPERSOFT,2,55,76.61105454545455,75.666,78.462,0.6249905308373628,Renault,55,0.050836363636363756,0.615388201360593
SIR,SUPERSOFT,1,25,81.2575652173913,77.806,116.999,8.585469854384984,Williams,23,1.7040434782608695,0.10432456782935251
SIR,ULTRASOFT,2,42,77.56828571428571,75.924,82.31,1.5783765090057513,Williams,42,0.15204761904761893,0.3878409520514947
VAN,HYPERSOFT,3,20,76.4884,75.765,79.495,0.945122125219246,McLaren,20,0.1865000000000002,0.514106537083004
VAN,SUPERSOFT,2,47,80.5781914893617,76.715,113.815,8.309986547465432,McLaren,47,0.7893617021276594,0.10741154081175787
VER,HYPERSOFT,1,18,87.627,76.054,129.653,20.656714128133473,Red Bull Racing,15,3.573266666666666,0.046175056570605756
VER,SUPERSOFT,2,54,74.98996296296296,73.864,78.575,0.7581580450301193,Red Bull Racing,54,0.08724074074074072,0.5687770805512931
VET,SUPERSOFT,2,33,74.78515151515151,73.964,77.708,0.6601057264376383,Ferrari,33,0.11345454545454545,0.6023712731512977
VET,ULTRASOFT,1,38,78.91402857142857,75.059,126.206,11.960441912172556,Ferrari,35,1.4613428571428573,0.0771578628858937
VET,nan,0,0,131.618,131.618,131.618,,Ferrari,1,0.0,
