Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Medium,2,9,97.6051111111111,97.234,98.19,0.299883912724761,McLaren,9,0.10622222222222256,0.7692994660606598
ALO,Soft,1,46,103.92247826086957,97.961,143.51,10.629443821007822,McLaren,46,0.9901956521739129,0.08598863500192211
BOT,Medium,2,9,97.20244444444444,96.987,97.341,0.11107554986484801,Mercedes,9,0.03933333333333325,0.9000288055313977
BOT,Soft,1,49,101.08895454545454,97.011,147.778,10.566902923431947,Mercedes,44,1.1537954545454545,0.08645356554123271
ERI,Medium,2,10,98.6812,98.386,99.212,0.2471683187177885,Sauber,10,0.08260000000000076,0.8018163907724165
ERI,Soft,1,45,102.02637209302326,98.691,125.988,4.2366290509546785,Sauber,43,0.634813953488372,0.19096254293927736
GAS,Medium,1,45,102.94286363636364,98.521,137.386,8.124185107159434,Toro Rosso,44,0.8832954545454544,0.10959882863570297
GAS,Soft,2,1,99.215,99.215,99.215,,Toro Rosso,1,0.0,
GAS,ULTRASOFT,3,9,98.781,98.367,99.423,0.3221808498343738,Toro Rosso,9,0.11733333333333304,0.7563261864859617
GRO,Medium,3,10,99.7508,97.41,117.064,6.089113505994853,Haas F1 Team,10,1.9653999999999996,0.1410613610791191
GRO,ULTRASOFT,1,48,104.38857777777777,98.699,145.15,11.163271316095821,Haas F1 Team,45,1.0322444444444445,0.08221472447767292
HAM,Medium,2,10,97.4734,96.978,98.405,0.4648202041889139,Mercedes,10,0.14270000000000066,0.6826776399863425
HAM,Soft,1,48,101.40695348837208,96.878,145.813,10.291305183441871,Mercedes,43,1.1380232558139531,0.08856372082356338
HAR,Soft,3,5,101.13759999999999,99.376,105.667,2.5818974224395497,Toro Rosso,5,1.2581999999999993,0.2791816409189414
HAR,ULTRASOFT,1,45,102.14634883720929,99.806,118.627,4.310987036927636,Toro Rosso,43,0.4376976744186046,0.18828891749253676
HUL,Medium,2,1,97.432,97.432,97.432,,Renault,1,0.0,
HUL,Soft,3,9,97.30711111111111,96.881,97.793,0.3251639757278082,Renault,9,0.10133333333333401,0.7546235924884532
HUL,ULTRASOFT,1,48,102.89104545454546,97.729,144.987,10.35720978398689,Renault,44,1.0740454545454545,0.0880497955941565
LEC,Medium,2,10,100.0233,99.628,100.799,0.3155992712285648,Sauber,10,0.11710000000000065,0.7601098768215004
LEC,Soft,1,45,102.08430232558139,98.808,118.719,3.5848253562753194,Sauber,43,0.46304651162790667,0.21811081607095134
