Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Soft,2,45,102.5500909090909,98.202,147.928,10.32988346096532,McLaren,44,1.1301363636363637,0.08826216116390652
ALO,ULTRASOFT,3,4,105.86525,95.133,119.376,10.10035703576859,McLaren,4,6.060750000000002,0.0900871924009028
BOT,SUPERSOFT,3,14,98.9805,94.225,123.195,8.369432852304307,Mercedes,14,2.0692857142857144,0.1067300460725391
BOT,Soft,2,38,100.90908108108108,96.19,129.285,8.056328386838297,Mercedes,37,0.8944594594594595,0.11042002423999063
ERI,SUPERSOFT,1,34,104.29169696969697,98.134,149.532,13.521081341937965,Sauber,33,1.5575151515151517,0.06886539483198992
ERI,ULTRASOFT,2,17,100.82417647058823,96.494,125.085,7.095217317278708,Sauber,17,1.6818235294117643,0.12352972882711448
GRO,SUPERSOFT,2,18,99.38844444444445,95.695,133.726,8.756435241797359,Haas F1 Team,18,2.1128333333333336,0.1024964523636583
GRO,ULTRASOFT,1,36,104.24109375,97.45,149.133,14.363760569593358,Haas F1 Team,32,1.6150937500000002,0.06508823119641129
HAM,SUPERSOFT,1,34,102.2551935483871,95.663,149.223,15.550259184162293,Mercedes,31,1.7277419354838714,0.060422014475576685
HAM,Soft,2,20,97.6545,94.509,129.142,7.856226980454492,Mercedes,20,1.7316499999999997,0.11291490182071655
HAR,SUPERSOFT,2,14,101.54314285714285,96.839,123.018,7.3987601233339975,Toro Rosso,14,1.8699285714285716,0.11906519358991254
HAR,ULTRASOFT,1,37,102.32042857142858,98.13,149.064,10.35258196917906,Toro Rosso,35,1.4552571428571428,0.08808568858739657
HUL,Soft,1,36,103.22897142857143,97.519,148.992,13.55665436014123,Renault,35,1.4706571428571424,0.06869710410506016
HUL,ULTRASOFT,2,19,99.32775,95.873,127.835,8.153205296078344,Renault,16,1.9976249999999993,0.10925134612991214
LEC,SUPERSOFT,2,22,98.722,95.977,128.709,7.049324878177715,Sauber,22,1.4878181818181817,0.12423402150297976
LEC,ULTRASOFT,1,33,104.78541379310344,98.38,149.252,14.984879966431963,Sauber,29,1.7542068965517246,0.06255911849823
MAG,Soft,2,25,98.42219999999999,95.425,124.071,6.321944169583698,Haas F1 Team,25,1.14584,0.13657574775755996
MAG,ULTRASOFT,1,30,105.27073076923078,97.903,149.407,15.852126263836512,Haas F1 Team,26,1.980923076923077,0.0593396930656715
PER,Soft,1,26,104.93812,98.319,149.42,15.282387287113659,Force India,25,2.0440399999999994,0.06141605542029014
RAI,SUPERSOFT,2,19,97.97663157894738,94.398,131.515,8.444137290389547,Ferrari,19,1.9535263157894731,0.10588579657959976
RAI,ULTRASOFT,1,36,102.48946875,96.523,149.266,14.751269710215055,Ferrari,32,1.6482187499999998,0.06348694539535929
RIC,SUPERSOFT,1,32,103.77253846153847,96.461,148.945,16.420849157655077,Red Bull Racing,26,2.0186153846153845,0.057402483136740755
RIC,Soft,2,25,98.23812,95.382,125.604,6.551527489321351,Red Bull Racing,25,1.2088799999999997,0.13242353966321443
SAI,Soft,2,27,98.70085185185184,95.638,125.519,6.188785034881821,Renault,27,1.1067037037037037,0.13910556445181552
SAI,ULTRASOFT,1,28,105.94854166666666,98.451,149.14,16.53329107399125,Renault,24,2.1120416666666664,0.05703435799816227
SIR,Soft,2,51,102.90366,98.3,148.796,9.918600608195598,Williams,50,1.00992,0.09158682837518492
STR,Soft,2,47,102.4190652173913,98.319,148.91,10.279387630706355,Williams,46,1.0998043478260868,0.08865729530188834
VAN,SUPERSOFT,1,39,101.85713513513514,97.706,148.221,10.166903268181738,McLaren,37,1.3652702702702704,0.08955034139584035
VAN,ULTRASOFT,2,12,101.21758333333332,96.675,129.993,9.593842376122236,McLaren,12,2.7765,0.09439445712859845
VER,SUPERSOFT,1,27,104.67008695652173,96.633,149.073,17.44816105682264,Red Bull Racing,23,2.2800000000000007,0.05420594480500658
VER,Soft,2,28,97.19075,94.275,131.165,6.997480862186523,Red Bull Racing,28,1.3174999999999994,0.12503937392687908
VET,Soft,2,39,101.26828947368422,96.282,148.587,11.34794748891788,Ferrari,38,1.3764473684210525,0.0809851192594953
VET,ULTRASOFT,3,16,99.27138461538462,94.485,121.057,8.593303754847547,Ferrari,13,2.044,0.10423937629356256
