Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Intermediate,3,4,92.673,87.445,101.855,6.731318989123412,McLaren,4,3.6025000000000027,0.12934403578572062
ALO,Medium,2,12,81.29025,78.572,94.628,4.332858517401433,McLaren,12,1.3379999999999999,0.18751669423385992
ALO,Soft,1,30,80.6962,79.715,85.804,1.1135182329770865,McLaren,30,0.20296666666666663,0.4731447235216927
ALO,Soft,4,21,92.023,77.741,128.538,15.870176013702007,McLaren,18,2.822055555555556,0.0592762043020652
BOT,Soft,2,24,80.601375,76.956,102.191,6.279903909625566,Mercedes,24,1.0514583333333334,0.13736445046723617
BOT,ULTRASOFT,1,30,78.83281481481481,78.092,83.547,0.9925427344815376,Mercedes,27,0.202037037037037,0.501871293746782
BOT,ULTRASOFT,3,15,93.96593333333334,75.721,145.527,26.35690549109792,Mercedes,15,4.653733333333332,0.03655384196598571
ERI,Soft,1,37,80.66486486486487,79.591,83.374,0.7084794814782406,Sauber,37,0.10224324324324327,0.5853157798153727
ERI,ULTRASOFT,2,29,86.42044827586207,77.745,129.08,13.02490415535399,Sauber,29,1.7701724137931036,0.07130173503668838
GAS,Soft,1,42,80.92921428571428,79.176,84.298,1.0464942295463815,Toro Rosso,42,0.12195238095238095,0.48864051779987494
GAS,ULTRASOFT,3,20,89.5139,77.762,119.833,13.373731423951952,Toro Rosso,20,2.10355,0.06957135697788469
GAS,Wet,2,3,102.17399999999999,94.544,107.804,6.85251048886465,Toro Rosso,3,4.420000000000002,0.12734780824782882
GRO,Intermediate,3,4,116.1285,93.736,133.227,18.655933077710152,Haas F1 Team,4,9.87275,0.0508752240886494
GRO,Medium,2,30,81.80273333333334,78.656,110.226,6.916747072458834,Haas F1 Team,30,1.0523333333333331,0.12631450655773113
GRO,ULTRASOFT,1,24,80.55545,79.737,83.258,0.7917524516771917,Haas F1 Team,20,0.17605000000000004,0.5581128124389828
GRO,ULTRASOFT,4,14,80.17266666666667,76.716,100.043,6.401205771831842,Haas F1 Team,12,1.9439166666666676,0.1351131195143753
HAM,Soft,1,41,78.69636585365853,77.523,81.893,1.0084476871929806,Mercedes,41,0.10658536585365865,0.4978969611091073
HAM,ULTRASOFT,2,25,89.3294,75.545,137.019,21.047308729383904,Mercedes,25,2.4589600000000003,0.04535700988607439
HAR,Medium,2,24,84.798625,78.563,122.783,11.025042000560834,Toro Rosso,24,1.8425,0.08315979270204304
HAR,Soft,1,27,81.20348148148149,80.053,84.204,0.8843824168645937,Toro Rosso,27,0.1537407407407406,0.5306778449269818
HAR,ULTRASOFT,3,15,84.27386666666666,77.681,107.237,9.698291070865936,Toro Rosso,15,1.9704,0.09347287275845809
HUL,Intermediate,3,4,109.98725,92.913,133.756,19.155695121381882,Renault,4,10.21075,0.04961376891135669
HUL,Medium,2,33,81.2699090909091,78.577,99.023,4.739447623165303,Renault,33,0.6195757575757576,0.1742327948013402
HUL,ULTRASOFT,1,20,80.42035294117647,79.841,83.448,0.8356389726712469,Renault,17,0.21217647058823524,0.5447694317280627
HUL,ULTRASOFT,4,15,83.42583333333333,77.91,110.146,11.844756882522354,Renault,12,2.6863333333333337,0.07785277752984825
LEC,Intermediate,3,3,95.234,90.735,101.876,5.871525100005959,Sauber,3,3.7136666666666684,0.14552810117787865
LEC,Soft,2,23,80.27586956521739,78.59,93.192,3.0526436427277495,Sauber,23,0.6348695652173909,0.24675251222604927
LEC,ULTRASOFT,1,22,80.78968421052632,80.117,83.865,0.8319139280152272,Sauber,19,0.19726315789473634,0.5458771750719982
