Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Medium,2,30,84.87816666666666,82.09,102.197,4.439670887797206,McLaren,30,0.6702333333333333,0.18383465114466693
ALO,Soft,1,38,85.16784210526316,83.283,97.644,2.6189851400083604,McLaren,38,0.37792105263157905,0.27632055985664805
BOT,Soft,2,55,83.81754545454545,81.736,99.52,3.2149419084561197,Mercedes,55,0.3233454545454544,0.23725119389991484
BOT,ULTRASOFT,1,14,84.90599999999999,83.149,95.017,3.2169110841111084,Mercedes,14,0.8477142857142853,0.23714040444625406
ERI,Medium,2,62,85.92243548387097,83.671,104.012,3.2121264374037,Sauber,62,0.3280806451612902,0.23740977742738106
ERI,ULTRASOFT,1,5,90.2752,86.975,101.139,6.096890207310609,Sauber,5,2.8328,0.14090678745035193
GAS,Soft,2,38,83.8286842105263,81.685,106.181,4.826415670236669,Toro Rosso,38,0.6446315789473683,0.17163210738779647
GAS,ULTRASOFT,1,31,84.91796774193548,83.752,93.23,2.2050609588530765,Toro Rosso,31,0.30574193548387124,0.31200654615875
GRO,Soft,2,40,85.002275,82.606,101.609,4.091342516717775,Haas F1 Team,40,0.475075,0.19641184947122117
GRO,ULTRASOFT,1,28,85.53599999999999,83.188,97.709,2.7613328773002466,Haas F1 Team,28,0.5186071428571429,0.26586320132286856
HAM,Soft,2,45,83.07471111111111,81.107,100.241,3.6757307969870694,Mercedes,45,0.4252,0.21387031106332646
HAM,ULTRASOFT,1,23,83.83373913043478,82.317,96.189,2.9033906231631894,Mercedes,23,0.6031304347826086,0.2561875293919803
HAM,nan,0,0,83.184,83.184,83.184,,Mercedes,1,0.0,
HAR,Medium,2,45,84.91093333333333,82.612,102.118,3.9462762217287612,Toro Rosso,45,0.43346666666666667,0.20217229187626978
HAR,ULTRASOFT,1,23,85.96913043478261,84.389,95.27,2.4498105177998015,Toro Rosso,23,0.47308695652173915,0.2898709928676818
HUL,Medium,2,27,85.96077777777776,83.741,101.926,4.552435521727594,Renault,27,0.6735185185185186,0.1801011459001794
HUL,Soft,1,22,86.09963636363636,84.282,96.432,2.6774919598021585,Renault,22,0.5522727272727276,0.2719244558331537
HUL,ULTRASOFT,3,19,83.62505263157895,81.261,102.149,4.582424764172156,Renault,19,1.0993684210526318,0.1791336278131273
MAG,Soft,2,38,83.97534210526317,81.302,103.966,4.456561141073368,Haas F1 Team,38,0.5964210526315786,0.1832656088965382
MAG,ULTRASOFT,1,30,85.26219999999999,83.694,93.281,2.2523978089261147,Haas F1 Team,30,0.3195666666666668,0.3074654635590788
OCO,Soft,1,38,85.80907894736842,84.264,98.739,2.495497625525664,Force India,38,0.38092105263157916,0.28608229989846345
OCO,ULTRASOFT,2,30,84.9768,82.876,106.822,5.465633334914093,Force India,30,0.7981999999999999,0.15466388955279145
PER,Soft,2,47,85.09468085106383,83.263,106.036,4.314287694275057,Force India,47,0.48453191489361697,0.18817197290189497
PER,ULTRASOFT,1,21,86.65804761904762,84.613,99.474,3.1771974045719973,Force India,21,0.7076666666666669,0.23939495866426783
RAI,Soft,2,24,83.72095833333334,82.046,102.489,4.045542329196278,Ferrari,24,0.8517916666666666,0.19819474989109712
RAI,Soft,3,32,82.8001875,80.292,100.686,4.741450434389691,Ferrari,32,0.6373125000000002,0.1741720165361488
RAI,ULTRASOFT,1,13,85.21723076923078,83.161,92.887,3.0791932697230453,Ferrari,13,0.7481538461538461,0.2451465115473419
RIC,Soft,1,43,84.00120930232559,81.977,97.472,2.7173003370654794,Red Bull Racing,43,0.3603488372093021,0.26901243088402765
RIC,ULTRASOFT,2,26,83.56246153846153,80.012,104.904,5.91231989818392,Red Bull Racing,26,0.9573846153846153,0.14466923040739635
SAI,Medium,2,44,84.9614090909091,82.774,102.309,3.918087373446634,Renault,44,0.44397727272727266,0.20333107650732773
SAI,Soft,1,24,85.78754166666666,84.066,94.839,2.411525657791854,Renault,24,0.44887499999999986,0.29312398624821145
SIR,Medium,2,37,86.27975675675675,83.708,103.23,3.971102844336861,Williams,37,0.5276216216216217,0.20116260542451095
SIR,Soft,1,30,86.54426666666667,84.901,98.856,2.559879091074333,Williams,30,0.4651666666666666,0.2809084169480067
STR,Medium,1,46,86.48747826086957,85.108,99.897,2.272444867822911,Williams,46,0.3215,0.3055819243382025
STR,ULTRASOFT,2,21,86.1595238095238,82.66,102.679,5.231461474760635,Williams,21,0.9532857142857145,0.16047599813467714
VAN,Medium,2,9,86.10222222222222,83.077,101.517,5.920813980733093,McLaren,9,2.0488888888888885,0.1444916743585231
VAN,Soft,1,39,85.19161538461539,83.369,98.714,2.654416554144229,McLaren,39,0.3934615384615384,0.27364149247462416
VER,ULTRASOFT,1,4,84.3125,83.985,84.621,0.2919743139387409,Red Bull Racing,4,0.15899999999999892,0.7740091960120927
VET,Soft,1,38,83.62286842105263,82.276,94.466,2.1701818104313695,Ferrari,38,0.32078947368421046,0.3154393217163558
VET,ULTRASOFT,2,31,83.45496774193548,80.056,100.573,4.412333331952388,Ferrari,31,0.6618387096774192,0.18476319521866377
