Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,SUPERSOFT,1,8,100.420125,87.009,137.507,19.49130916542403,McLaren,8,6.312250000000001,0.04880117672946675
BOT,SUPERSOFT,1,38,87.78528571428572,83.847,137.044,11.05715952933405,Mercedes,35,1.5199142857142862,0.08293827394147722
BOT,Soft,2,17,84.93088235294118,82.907,102.981,4.793340130878899,Mercedes,17,1.1808235294117646,0.1726119953962191
ERI,SUPERSOFT,2,41,88.66785365853659,86.143,128.119,7.862540125687677,Sauber,41,1.0238048780487805,0.11283446797623457
ERI,SUPERSOFT,3,10,86.47999999999999,83.768,106.962,7.200460942035436,Sauber,10,2.3194000000000004,0.12194436472150187
GAS,SUPERSOFT,1,36,89.6320909090909,85.976,137.371,10.450759512960154,Toro Rosso,33,1.5574242424242428,0.08733045164979528
GAS,Soft,2,18,86.80477777777779,84.767,109.652,5.738391479434098,Toro Rosso,18,1.3825000000000003,0.14840336941717458
GRO,SUPERSOFT,1,25,90.36118181818182,85.604,137.281,13.451849975928662,Haas F1 Team,22,2.348954545454546,0.06919529345140057
GRO,Soft,2,30,85.64883333333334,84.243,106.129,3.8960576190893788,Haas F1 Team,30,0.7295333333333337,0.20424596232304773
HAM,SUPERSOFT,1,30,88.27151851851852,83.611,135.751,12.626458722644438,Mercedes,27,1.9311111111111112,0.07338663847696547
HAM,Soft,2,25,84.82700000000001,82.497,102.82,3.8260517834969225,Mercedes,25,0.8129199999999998,0.2072087173659391
HUL,SUPERSOFT,3,11,86.58863636363637,84.059,104.79,6.0861056394500315,Renault,11,1.8846363636363643,0.14112123793819312
HUL,Soft,2,40,88.9436,86.147,138.181,9.446845119281479,Renault,40,1.30085,0.09572267881662429
LEC,SUPERSOFT,2,18,85.89488888888889,84.504,105.465,4.887041832159932,Sauber,18,1.1644999999999999,0.16986459898028344
LEC,Soft,1,33,89.57251515151515,86.215,138.357,10.55673187213144,Sauber,33,1.580060606060606,0.08652965311166012
MAG,Medium,2,49,87.94925,85.692,122.479,5.195483842887224,Haas F1 Team,48,0.7663958333333335,0.16140789409822417
MAG,Soft,1,3,118.37433333333333,96.469,137.918,20.825177126097472,Haas F1 Team,3,13.816333333333338,0.045818643038834685
OCO,SUPERSOFT,1,40,88.36554054054054,85.125,137.3,10.39128518303945,Racing Point,37,1.4101351351351354,0.08778640723426938
OCO,Soft,2,15,85.7996,84.179,104.944,5.298764516375494,Racing Point,15,1.3843333333333334,0.15876129317109816
PER,SUPERSOFT,1,38,88.21968421052631,84.875,138.145,10.065376965874124,Racing Point,38,1.4018421052631582,0.09037197766366413
PER,Soft,2,14,85.60442857142857,83.529,105.488,5.7351021681501795,Racing Point,14,1.5685000000000002,0.1484758471414033
RAI,SUPERSOFT,1,21,87.46927777777778,84.5,129.263,10.48290795312039,Ferrari,18,2.4868333333333337,0.08708595454065778
RAI,Soft,2,33,84.97424242424243,83.515,102.54,3.245592559825391,Ferrari,33,0.5765151515151516,0.2355383814882903
RAI,nan,0,0,137.567,137.567,137.567,,Ferrari,1,0.0,
RIC,SUPERSOFT,4,22,90.0095909090909,85.229,138.448,12.827770866214587,Red Bull Racing,22,2.4190454545454547,0.07231823622730844
SAI,SUPERSOFT,1,41,88.72036842105263,85.612,137.249,10.205184523461334,Renault,38,1.3588684210526316,0.08924440270539118
SAI,Soft,2,14,86.18714285714285,84.056,106.333,5.802796896684889,Renault,14,1.5912142857142857,0.14699836187779117
SIR,SUPERSOFT,1,36,89.06008333333334,85.803,137.479,10.298983351698917,Williams,36,1.435444444444445,0.08850353778507336
SIR,Soft,2,15,86.46926666666667,83.768,105.918,5.431432598004571,Williams,15,1.476666666666667,0.15548635311987286
STR,SUPERSOFT,1,37,89.1695,85.713,138.021,10.654887577439695,Williams,34,1.5384705882352938,0.08580091342414102
STR,Soft,2,17,86.29100000000001,84.58,106.822,5.3150253527147,Williams,17,1.308352941176471,0.15835249173942278
VAN,SUPERSOFT,1,23,90.91834782608694,86.586,138.314,12.274797130738682,McLaren,23,2.2490434782608695,0.07533071806306049
VAN,Soft,2,28,86.40453571428573,84.772,106.18,3.960649399447514,McLaren,28,0.7645714285714286,0.2015865100467237
VER,SUPERSOFT,1,28,89.15451999999999,84.904,136.204,12.952785151335867,Red Bull Racing,25,2.0520000000000005,0.07167027866864689
VER,Soft,2,27,84.7328888888889,83.609,103.711,3.8028550441976483,Red Bull Racing,27,0.7445185185185187,0.20820949014651288
VET,SUPERSOFT,3,27,84.10004166666667,82.505,104.145,4.285603052071853,Ferrari,24,0.9016666666666667,0.18919317060860627
VET,Soft,2,28,88.63092857142858,84.47,137.828,11.589842343632839,Ferrari,28,1.9056428571428572,0.07942911219263504
