Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Medium,2,26,98.23603846153847,93.943,118.496,5.124848130282644,McLaren,26,0.9443461538461537,0.16326935439521711
ALO,Soft,1,25,104.87276,97.293,149.109,15.99895541715146,McLaren,25,2.0726400000000003,0.05882714410739783
BOT,Medium,2,30,95.5993,93.11,112.5,4.551195433335487,Mercedes,30,0.6463333333333333,0.1801413789172147
BOT,Soft,1,25,103.915,94.32,148.871,19.139538462863428,Mercedes,22,2.4795909090909096,0.04965357085237894
ERI,Medium,2,47,98.81828260869564,96.294,136.526,6.0281894339586595,Sauber,46,0.8746086956521743,0.1422841557411957
ERI,Soft,1,4,118.30575,98.659,139.079,22.35156754197194,Sauber,4,10.105,0.042823677605480115
GAS,SUPERSOFT,1,31,103.81035714285714,96.843,148.291,15.820097579448754,Toro Rosso,28,1.8374285714285712,0.05945268719616863
GAS,Soft,2,23,97.88647826086957,94.133,115.734,4.91460639198525,Toro Rosso,23,0.9391739130434782,0.16907295832146627
GRO,Medium,2,24,96.88091666666666,94.786,114.879,5.0871400431716625,Haas F1 Team,24,0.8372083333333334,0.164280761229038
GRO,Soft,1,31,103.54650000000001,96.333,148.693,16.08047996911277,Haas F1 Team,28,1.8700000000000006,0.05854636414247932
HAM,Medium,2,29,95.38982758620689,92.785,112.604,4.492869009163026,Mercedes,29,0.6834137931034484,0.18205422309030717
HAM,Soft,1,25,103.71631818181818,94.013,149.544,19.553375337378853,Mercedes,22,2.524136363636364,0.04865380909876036
HAM,nan,0,0,94.467,94.467,94.467,,Mercedes,1,0.0,
HAR,SUPERSOFT,1,30,104.28374074074074,97.131,149.148,15.676740621287395,Toro Rosso,27,1.9265555555555554,0.05996375567078905
HAR,Soft,2,24,98.43775,94.857,115.417,4.632607109440081,Toro Rosso,24,0.8566666666666668,0.1775376802553883
HUL,Medium,1,29,104.04220689655173,97.307,149.052,14.875011960089571,Renault,29,1.7843103448275859,0.06299207852655739
HUL,Soft,2,7,100.29585714285714,94.934,116.526,8.213296991841366,Renault,7,3.0845714285714285,0.10853877834238147
LEC,Medium,2,31,100.60793333333332,96.44,142.021,10.267724345578308,Sauber,30,1.5193666666666663,0.08874906496913203
LEC,Soft,1,3,110.20333333333333,98.366,132.639,19.43973081946696,Sauber,3,11.424333333333337,0.04892432335985522
LEC,Soft,3,7,102.85433333333333,94.515,119.058,14.034796626005432,Sauber,3,8.181000000000003,0.06651237292231256
MAG,Medium,2,6,118.9182,99.908,142.671,21.43053134432275,Haas F1 Team,5,8.552599999999998,0.0445820914649489
OCO,Medium,2,27,96.66451851851852,94.67,114.663,4.498603179538243,Racing Point,27,0.7404814814814813,0.18186436943136114
OCO,SUPERSOFT,1,28,104.52807999999999,96.574,148.601,16.475658064550863,Racing Point,25,2.08108,0.05722245172721058
PER,SUPERSOFT,1,26,105.15404347826087,96.48,148.037,17.13966805523019,Racing Point,23,2.241608695652174,0.05512780040711226
PER,Soft,2,29,96.43148275862069,94.073,114.029,4.376427437506939,Racing Point,29,0.6881379310344828,0.18599711641671524
RAI,Medium,2,36,96.2568611111111,94.223,113.751,4.376900979021431,Ferrari,36,0.5424444444444446,0.18598073572520857
RAI,SUPERSOFT,1,19,107.704125,95.475,148.347,20.789634099313375,Ferrari,16,3.304500000000001,0.04589338193758433
RIC,Medium,2,30,95.42473333333334,93.187,114.695,4.99104043422731,Red Bull Racing,30,0.7169333333333332,0.1669159156875185
RIC,Soft,1,22,104.07522727272728,94.448,149.106,18.01736898749653,Red Bull Racing,22,2.4844545454545455,0.052583509351765555
SAI,Medium,2,20,97.29735,94.197,115.782,5.478737400408201,Renault,20,1.0792499999999996,0.15435106228213444
SAI,Soft,1,31,103.1368387096774,96.335,149.786,14.863378530461532,Renault,31,1.7242258064516132,0.06303827385066539
SIR,Medium,2,34,100.64236363636363,97.178,139.33,9.445799859653837,Williams,33,1.2773333333333339,0.09573225731257108
SIR,SUPERSOFT,3,14,97.92728571428572,93.985,116.448,7.594720893525283,Williams,14,1.6044999999999996,0.11635049146893607
SIR,Soft,1,3,111.63966666666666,99.124,134.469,19.80141526086793,Williams,3,11.781666666666666,0.048073652078915105
STR,Medium,2,25,98.17664,95.82,114.809,3.7237809848772456,Williams,25,0.7595600000000001,0.21169482734305609
STR,SUPERSOFT,3,13,98.0326923076923,93.354,140.231,12.69234585872272,Williams,13,3.6059230769230766,0.07303350428903672
STR,Soft,1,13,111.83130769230769,98.185,149.505,19.834035765087478,Williams,13,3.947692307692307,0.047998381651803854
VAN,Medium,2,29,97.85772413793103,95.023,116.887,5.1082608159763545,McLaren,29,0.7539310344827588,0.16371272120281236
VAN,Soft,1,22,106.21077272727274,97.314,149.516,16.31765314863693,McLaren,22,2.372818181818182,0.057744544911312645
VER,SUPERSOFT,1,23,104.9653,95.093,148.237,19.59961757172559,Red Bull Racing,20,2.6571999999999996,0.048544590525436235
VER,Soft,2,32,95.4254375,93.367,118.871,5.216187935323352,Red Bull Racing,32,0.7969999999999997,0.16087029710242862
VET,SUPERSOFT,1,28,104.7858,95.284,147.986,17.238650868034885,Ferrari,25,2.1080799999999993,0.05482861683330992
VET,Soft,2,27,95.86337037037038,92.318,112.151,4.7563108129996605,Ferrari,27,0.7345555555555555,0.1737223774890105
