Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,ULTRASOFT,1,3,84.62049999999999,84.197,85.044,0.5989194436649966,McLaren,2,0.4234999999999971,0.6254223775700851
BOT,HYPERSOFT,4,11,83.02612500000001,78.741,100.226,7.09019464648186,Mercedes,8,2.685625,0.12360642032696514
BOT,SUPERSOFT,2,37,83.95683783783784,81.236,110.213,6.379638667552301,Mercedes,37,0.7831621621621618,0.13550798962514551
BOT,ULTRASOFT,1,16,84.71090000000001,81.987,99.911,5.518283357268918,Mercedes,10,1.7924000000000007,0.15341462547571544
BOT,ULTRASOFT,3,19,86.84814285714286,81.669,113.517,9.544484898517151,Mercedes,14,2.274857142857143,0.0948363063368442
ERI,HYPERSOFT,1,19,86.7144,83.708,100.775,4.268654970496311,Sauber,15,1.1378000000000006,0.18980176261301077
ERI,SUPERSOFT,2,53,86.36956603773585,82.44,109.978,6.548175863168173,Sauber,53,0.5195849056603773,0.13248233985638394
GAS,HYPERSOFT,1,5,90.88925,84.876,104.408,9.087225149442851,Toro Rosso,4,4.882999999999999,0.09913529094324153
GAS,SUPERSOFT,2,21,85.40338095238096,82.896,102.148,4.060297741252364,Toro Rosso,21,0.9167619047619046,0.19761683029989296
GAS,SUPERSOFT,3,43,86.50088372093023,82.755,110.969,6.785451036730833,Toro Rosso,43,0.6561395348837209,0.12844470991881124
GRO,HYPERSOFT,3,8,85.795625,81.438,109.556,9.66732818662205,Haas F1 Team,8,3.5147499999999994,0.09374418622032318
GRO,SUPERSOFT,1,44,86.8473023255814,83.701,112.575,5.659520842644527,Haas F1 Team,43,0.6714883720930235,0.150160953562373
GRO,ULTRASOFT,2,16,87.0895625,81.37,113.751,8.190933857778365,Haas F1 Team,16,2.0238125,0.10880287199038992
HAM,SUPERSOFT,2,36,83.92330555555556,81.032,109.406,6.451604348950485,Mercedes,36,0.7881666666666669,0.1341992882567422
HAM,ULTRASOFT,1,14,84.1188,80.995,99.795,5.777454722165002,Mercedes,10,1.8799999999999997,0.14754801632677794
HAM,ULTRASOFT,3,29,85.041375,80.728,113.241,7.48961991148271,Mercedes,24,1.3547083333333336,0.11779090353002039
HAR,SUPERSOFT,3,45,86.65553333333332,82.438,109.665,6.500249312001949,Toro Rosso,45,0.6050444444444445,0.13332890126729433
HAR,ULTRASOFT,2,23,86.11813043478261,82.528,101.496,4.307605845313268,Toro Rosso,23,0.8246956521739126,0.1884088662844137
HUL,HYPERSOFT,1,15,85.7020909090909,82.839,101.471,5.41078072840779,Renault,11,1.6938181818181823,0.15598724123705357
HUL,SUPERSOFT,2,57,85.90256140350877,80.637,111.281,6.26255893618559,Renault,57,0.5376140350877194,0.13769251427585877
LEC,HYPERSOFT,1,16,86.04041666666666,83.341,101.425,5.056688791875449,Sauber,12,1.5070000000000003,0.1651067166174062
LEC,SUPERSOFT,2,56,86.00835714285714,80.537,108.788,6.248942765645375,Sauber,56,0.5044821428571427,0.13795115126846635
MAG,SUPERSOFT,1,43,86.74778571428571,83.303,111.782,5.762342653418026,Haas F1 Team,42,0.6780714285714285,0.14787774758715458
MAG,ULTRASOFT,2,26,86.64761538461539,81.874,108.182,6.308523783434114,Haas F1 Team,26,1.011846153846154,0.13682653701786573
OCO,SUPERSOFT,2,34,86.938,82.629,114.369,6.972530305215091,Racing Point,29,1.0944827586206896,0.12543069285617736
OCO,ULTRASOFT,3,42,86.15769230769232,83.358,112.39,6.2111886317051646,Racing Point,39,0.7444102564102563,0.13867339367650672
PER,SUPERSOFT,1,30,86.0111724137931,83.545,109.679,5.541885973906646,Racing Point,29,0.9011724137931034,0.15286111741914477
PER,ULTRASOFT,2,11,92.567125,84.174,123.872,14.061687964491115,Racing Point,8,4.962249999999999,0.06639362084499184
RAI,SUPERSOFT,2,54,83.65525925925925,80.334,109.7,6.626796833398402,Ferrari,54,0.5438148148148149,0.13111664330966752
RAI,ULTRASOFT,1,21,84.5148125,81.727,100.29,4.5442067033201745,Ferrari,16,1.1601875000000001,0.18036845549087216
RIC,SUPERSOFT,2,49,82.95444897959183,79.462,112.689,5.860786707933012,Red Bull Racing,49,0.6781020408163263,0.14575587940136908
RIC,ULTRASOFT,1,15,83.86954545454546,81.322,99.891,5.438056847140095,Red Bull Racing,11,1.6880909090909093,0.15532637001243918
SAI,HYPERSOFT,1,14,85.59639999999999,82.386,101.334,5.698093291229582,Renault,10,1.8948000000000007,0.14929621856855746
SAI,SUPERSOFT,2,17,85.5685294117647,83.75,102.416,4.373478351347568,Renault,17,1.0979999999999999,0.18609919583080084
SIR,SUPERSOFT,2,58,86.42512068965517,82.64,110.352,5.871198204250946,Williams,58,0.4777931034482759,0.1455350246455325
SIR,ULTRASOFT,1,11,87.3177,84.033,101.863,5.4262159937760615,Williams,10,1.783,0.15561257215265142
STR,SUPERSOFT,3,46,86.57532608695652,82.983,109.564,6.276873156647156,Williams,46,0.5778478260869563,0.1374216615396871
STR,ULTRASOFT,1,10,86.98366666666666,83.29,101.542,5.871707183605124,Williams,9,2.0279999999999996,0.14552424503562258
STR,ULTRASOFT,2,13,86.18692307692308,83.573,104.755,5.733276527744824,Williams,13,1.6293846153846157,0.148516104437334
VAN,SUPERSOFT,2,57,86.17480701754386,81.921,112.135,6.19523727044354,McLaren,57,0.5300701754385965,0.13898082334376674
VAN,ULTRASOFT,1,12,86.52518181818182,83.545,102.308,5.469983506706066,McLaren,11,1.7057272727272732,0.15455989941296006
