Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,HYPERSOFT,1,23,80.13272222222223,78.687,96.37,4.067685782380812,McLaren,18,0.9823888888888893,0.19732873010334856
ALO,SUPERSOFT,2,33,79.17363636363636,77.018,82.363,1.2222709861713839,McLaren,33,0.16196969696969693,0.44999012551697826
BOT,HYPERSOFT,1,20,79.495,77.559,96.837,4.663014704387427,Mercedes,16,1.2048750000000004,0.1765843905058641
BOT,SUPERSOFT,2,61,79.27308196721312,76.312,103.692,3.5252021894499497,Mercedes,61,0.44885245901639337,0.22098460093814123
ERI,SUPERSOFT,2,61,79.55683606557376,76.936,101.413,3.388009150815697,Sauber,61,0.40126229508196704,0.2278937818108487
ERI,ULTRASOFT,1,16,81.03450000000001,78.066,98.143,4.619736428268029,Sauber,16,1.2548124999999999,0.17794428844916388
GAS,HYPERSOFT,1,41,79.59791666666666,78.09,96.516,2.9658255933213593,Toro Rosso,36,0.5118333333333334,0.25215430594932065
GAS,SUPERSOFT,2,41,79.07314634146343,77.099,102.394,4.247853137532977,Toro Rosso,41,0.6169512195121951,0.1905541130425196
GRO,HYPERSOFT,3,9,82.68111111111111,74.822,104.694,9.464641652546128,Haas F1 Team,9,3.319111111111111,0.09555988950244582
GRO,SUPERSOFT,2,54,79.60741509433963,77.523,103.344,3.460106548125812,Haas F1 Team,53,0.487188679245283,0.22420989032654645
GRO,ULTRASOFT,1,14,81.7615,79.187,99.399,5.1213623150035446,Haas F1 Team,14,1.443714285714286,0.16336232827600908
HAM,HYPERSOFT,1,14,79.15618181818182,76.988,94.447,5.091316525579247,Mercedes,11,1.5871818181818185,0.16416812290096944
HAM,ULTRASOFT,2,71,79.34525757575759,76.27,106.095,3.6025323414364436,Mercedes,66,0.45189393939393946,0.21727169432293472
HAR,HYPERSOFT,1,12,81.4015,78.636,96.713,4.873387332329441,Toro Rosso,12,1.5064166666666665,0.17025950161597642
HAR,ULTRASOFT,2,57,79.00982456140352,77.172,80.499,0.7423272555860813,Toro Rosso,57,0.05836842105263155,0.5739449904108982
HUL,HYPERSOFT,2,30,78.87807142857142,76.061,102.451,5.283645423159272,Renault,28,0.9424999999999996,0.15914328907139752
HUL,ULTRASOFT,1,49,79.57665306122449,78.229,97.055,2.6221238096167743,Renault,49,0.38420408163265324,0.2760811205141553
