Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Soft,2,47,101.83625531914893,99.59,122.09,3.1517299353797625,McLaren,47,0.4787234042553192,0.24086345103478632
ALO,ULTRASOFT,1,4,105.97025,104.369,109.256,2.267130105809254,McLaren,4,1.2217500000000001,0.3060790258159322
BOT,Soft,2,41,98.59875609756098,95.861,118.78,3.440880474387965,Mercedes,41,0.5589999999999999,0.22518057078260326
BOT,ULTRASOFT,1,13,100.4733,99.517,104.763,1.5262329114522395,Mercedes,10,0.524600000000001,0.39584631942156767
BOT,nan,0,0,100.109,100.109,100.109,,Mercedes,1,0.0,
ERI,HYPERSOFT,1,13,103.977,102.653,106.709,1.2067869185016338,Sauber,10,0.40559999999999974,0.45314751125993663
ERI,Soft,2,26,101.63334615384616,99.225,121.115,4.094017380933382,Sauber,26,0.841923076923077,0.19630871377528927
ERI,ULTRASOFT,3,15,100.8796,97.931,119.51,5.24234966130919,Sauber,15,1.4386000000000005,0.16019608869367194
GAS,Soft,1,3,115.14533333333333,104.071,135.482,17.635357788639652,Toro Rosso,3,10.470333333333334,0.053661432817223
GRO,HYPERSOFT,1,10,104.73685714285715,102.659,112.436,3.4711933312417447,Haas F1 Team,7,1.3967142857142858,0.2236539388741392
GRO,Soft,2,44,100.93172727272727,98.244,122.3,3.5374169288537654,Haas F1 Team,44,0.5467272727272726,0.2203897097577538
HAM,Soft,2,39,98.4422564102564,95.916,119.661,3.631889907602467,Mercedes,39,0.6088461538461539,0.21589459593127816
HAM,ULTRASOFT,1,16,100.32476923076923,99.553,104.617,1.3137090084848972,Mercedes,13,0.3895384615384621,0.43220646863230094
HAR,HYPERSOFT,1,2,107.07300000000001,105.852,108.294,1.726754759657539,Toro Rosso,2,1.2209999999999965,0.3667363177631687
HUL,Soft,1,34,101.51391176470588,100.033,104.878,1.429851027791192,Renault,34,0.14249999999999996,0.41154786386597136
HUL,ULTRASOFT,2,17,101.44805882352941,99.108,120.394,5.137072189859081,Renault,17,1.2521176470588236,0.1629441481318084
LEC,HYPERSOFT,1,12,102.63633333333333,101.502,105.66,1.2498045847251456,Sauber,9,0.46200000000000013,0.4444830483453602
LEC,Soft,2,43,100.30686046511627,98.107,121.264,3.404410910382752,Sauber,43,0.5385348837209302,0.22704511916511852
MAG,HYPERSOFT,1,11,103.505875,101.658,107.526,1.8435501804553989,Haas F1 Team,8,0.7334999999999994,0.35167306238283036
MAG,Soft,2,43,100.577,98.015,119.929,3.2508003336907265,Haas F1 Team,43,0.5096279069767442,0.2352498168578427
OCO,HYPERSOFT,1,12,103.11022222222222,102.179,104.816,0.8190895521519256,Racing Point,9,0.29300000000000004,0.5497255474954664
OCO,Soft,2,42,100.65459523809525,98.366,121.76,3.555711640613772,Racing Point,42,0.5570000000000002,0.21950467432685755
PER,HYPERSOFT,1,14,102.87281818181819,101.143,105.339,1.158463881023642,Racing Point,11,0.38145454545454527,0.4632924408842804
PER,Soft,2,40,100.684525,98.3,121.517,3.5741529746974248,Racing Point,40,0.580425,0.21861971069433875
RAI,Soft,2,35,98.47754285714285,96.611,118.151,3.4989191216957423,Ferrari,35,0.6154285714285712,0.2222756117525131
RAI,ULTRASOFT,1,20,100.64211764705883,100.009,104.806,1.1023093305847107,Ferrari,17,0.28217647058823514,0.4756673936855297
RIC,Soft,1,38,100.22986842105263,98.21,103.587,1.5145010269383767,Red Bull Racing,38,0.14150000000000026,0.39769321598471835
RIC,ULTRASOFT,2,14,100.14328571428572,96.345,126.147,7.5356390207167925,Red Bull Racing,14,2.128714285714286,0.11715584475549008
SAI,Soft,1,31,103.01270967741935,101.126,106.216,1.3494948979414054,Renault,31,0.16419354838709643,0.425623397129394
SAI,ULTRASOFT,2,19,102.72905263157895,99.731,123.528,5.191963313875743,Renault,19,1.2524736842105268,0.1614996648573599
SIR,Soft,2,41,102.03873170731707,99.838,123.408,3.6172479526871744,Williams,41,0.574878048780488,0.2165792286329379
SIR,ULTRASOFT,1,9,106.61311111111111,104.247,111.949,2.4873048387986367,Williams,9,0.8557777777777775,0.28675439808826586
STR,Soft,2,45,101.67471111111111,99.435,121.404,3.158033102064857,Williams,45,0.48819999999999986,0.24049832587994674
STR,ULTRASOFT,1,6,106.19733333333333,104.323,112.775,3.279516102516755,Williams,6,1.4086666666666687,0.23367127872515928
VAN,Soft,2,40,102.0175,99.922,122.919,3.609569609971635,McLaren,40,0.574925,0.216939993234239
VAN,ULTRASOFT,1,10,105.61179999999999,104.493,109.604,1.5359677948012704,McLaren,10,0.5111000000000004,0.3943267742003657
VER,Soft,1,42,99.23343902439024,97.561,102.365,1.1639867922098623,Red Bull Racing,41,0.11717073170731677,0.46211002932175954
VER,ULTRASOFT,2,10,99.36659999999999,96.283,117.741,6.476513794730413,Red Bull Racing,10,2.1458,0.13375217747940474
VET,Soft,2,40,98.62072500000001,95.99,117.762,3.2845535073962115,Ferrari,40,0.5443000000000001,0.2333965483856719
VET,ULTRASOFT,1,15,100.41333333333334,99.546,104.329,1.2496932957063231,Ferrari,12,0.39858333333333223,0.44450503626808197
