Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Soft,2,23,106.63356521739131,103.164,127.447,4.712649368996044,McLaren,23,1.0557826086956523,0.17505012742900805
ALO,ULTRASOFT,1,37,108.25994117647059,106.699,115.275,1.8474224622458972,McLaren,34,0.2522352941176473,0.3511948132948465
BOT,HYPERSOFT,1,18,107.92908333333332,105.839,113.563,1.9567176810499094,Mercedes,12,0.6436666666666669,0.3382128792373938
BOT,Soft,2,45,106.48251111111111,104.72,125.123,2.9509380297721544,Mercedes,45,0.45340000000000014,0.2531044507568925
ERI,HYPERSOFT,2,4,107.43,107.228,107.781,0.24256270666915844,Sauber,4,0.13825000000000287,0.8047883576681796
ERI,ULTRASOFT,1,55,108.86398076923076,105.169,125.409,3.1237658550650034,Sauber,52,0.3892307692307694,0.24249679422796347
GAS,HYPERSOFT,1,25,109.91236363636364,108.363,121.26,2.630378888975334,Toro Rosso,22,0.5862272727272729,0.27545334263505694
GAS,ULTRASOFT,2,34,108.3225,106.063,125.254,3.6644901439561175,Toro Rosso,34,0.5644411764705883,0.21438570328972012
GRO,HYPERSOFT,1,18,110.38074999999999,108.623,119.146,2.851844957056903,Haas F1 Team,12,0.8769166666666663,0.25961584932641596
GRO,Soft,2,44,108.57104545454546,105.904,128.416,3.55398891489382,Haas F1 Team,44,0.5116363636363637,0.21958771061771806
HAM,HYPERSOFT,1,16,107.30300000000001,104.403,111.65,1.9775418579640747,Mercedes,11,0.6588181818181819,0.33584750364643423
HAM,Soft,2,46,105.58410869565216,102.913,127.051,3.4811252665274828,Mercedes,46,0.5247391304347827,0.22315823381900696
HAR,HYPERSOFT,1,13,110.6854,109.054,115.999,2.0170103949492466,Toro Rosso,10,0.6944999999999993,0.3314539458246787
HAR,HYPERSOFT,3,24,108.82470833333333,104.889,125.987,4.865782143474324,Toro Rosso,24,0.8790833333333333,0.17048024893193464
HAR,ULTRASOFT,2,22,109.971,106.657,127.12,4.461239236334398,Toro Rosso,22,0.930136363636364,0.18310862365209316
HUL,HYPERSOFT,1,17,110.2968181818182,108.749,117.216,2.414797168218552,Renault,11,0.7697272727272726,0.29284316190343007
HUL,ULTRASOFT,2,45,108.11284444444445,106.093,127.551,3.208695854843351,Renault,45,0.4768444444444444,0.23760329434335437
LEC,HYPERSOFT,2,22,107.47363636363637,105.203,125.53,4.121980910117929,Sauber,22,0.9239545454545454,0.19523696350070463
LEC,ULTRASOFT,1,37,108.80261764705882,106.438,115.224,1.7894857228842105,Sauber,34,0.2584117647058824,0.35848901888841445
MAG,HYPERSOFT,3,23,109.33530434782608,101.905,127.022,5.946401642512148,Haas F1 Team,23,1.0920434782608697,0.14395942697582811
MAG,Soft,2,10,111.10060000000001,106.309,125.653,6.36105302603272,Haas F1 Team,10,1.9344000000000008,0.13585012857038953
MAG,ULTRASOFT,1,25,109.93304545454545,108.568,117.382,1.8435530518480767,Haas F1 Team,22,0.40063636363636396,0.3516727072667351
PER,HYPERSOFT,1,19,109.54607692307692,107.968,117.819,2.60683426981011,Racing Point,13,0.7577692307692308,0.2772514413457226
PER,Soft,3,6,111.96216666666668,105.602,127.642,8.971905425642122,Racing Point,6,3.673333333333332,0.10028173727245382
PER,Soft,4,27,107.4,105.389,122.513,3.6281170322909952,Racing Point,21,0.8154285714285718,0.2160705948062388
PER,ULTRASOFT,2,16,111.13325,107.508,129.117,6.382680361728919,Racing Point,16,1.3505624999999997,0.13545215978520492
RAI,HYPERSOFT,1,24,107.54861111111111,105.547,115.399,2.1698949863147727,Ferrari,18,0.5473333333333336,0.3154678638621309
RAI,Soft,2,39,106.44676923076923,104.715,124.271,3.0392418848814606,Ferrari,39,0.5014358974358973,0.24757120977154523
RIC,HYPERSOFT,1,29,107.33721739130434,105.688,114.89,1.9433510878358762,Red Bull Racing,23,0.40008695652173903,0.3397487999759004
RIC,ULTRASOFT,2,34,106.43117647058823,103.12,128.039,4.086707724871024,Red Bull Racing,34,0.7329117647058818,0.1965908115991381
SAI,Soft,2,23,107.56630434782609,105.211,126.917,4.445995863846912,Renault,23,0.9437391304347827,0.18362114570054514
SAI,ULTRASOFT,1,36,108.39342424242425,106.667,115.341,1.8146296803739206,Renault,33,0.2628484848484846,0.35528652560330815
SIR,HYPERSOFT,3,1,116.698,116.698,116.698,,Williams,1,0.0,
SIR,Soft,2,55,111.47479999999999,105.902,144.95,6.073743346325811,Williams,55,0.7099636363636361,0.14136786578769672
STR,Soft,1,39,110.69816216216216,108.581,147.976,6.4745080315612205,Williams,37,1.0647297297297296,0.13378806949935504
STR,ULTRASOFT,2,20,107.60679999999999,106.033,126.803,4.526914455146078,Williams,20,1.0384999999999998,0.18093278050810174
VAN,Soft,2,2,107.2565,106.793,107.72,0.6554879861599243,McLaren,2,0.46349999999999625,0.6040514992317181
VAN,ULTRASOFT,1,57,109.53478181818181,105.555,149.971,6.347375227985847,McLaren,55,0.8075636363636363,0.1361030257704876
VER,HYPERSOFT,1,19,107.384,105.216,112.508,1.8844343094591167,Red Bull Racing,13,0.5609230769230771,0.3466884292426538
VER,Soft,2,44,105.64827272727274,103.345,125.658,3.2839856128316764,Red Bull Racing,44,0.5071136363636364,0.23342748794597581
VET,HYPERSOFT,1,16,107.8631,105.352,112.997,2.0325151058615907,Ferrari,10,0.7644999999999996,0.3297592806931402
VET,ULTRASOFT,2,47,106.33314893617022,104.669,123.072,2.6697999434799184,Ferrari,47,0.39155319148936185,0.2724944180613131
