Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALO,Medium,2,44,84.58622727272727,80.727,120.217,7.7917555112532835,McLaren,44,0.8974999999999999,0.11374292639507759
ALO,SUPERSOFT,1,23,94.12294736842105,83.553,132.147,18.754227983973472,McLaren,19,2.557578947368421,0.050622074464833355
BOT,Medium,2,47,82.67597872340426,79.478,116.214,7.916645135105502,Mercedes,47,0.7816170212765958,0.11214980352452572
BOT,Soft,1,21,93.97835294117647,81.485,132.666,21.212705667657,Mercedes,17,3.0106470588235292,0.045019279279248654
ERI,Medium,1,34,89.98984848484848,83.027,134.428,15.002293372850561,Sauber,33,1.5576060606060604,0.062491042796190506
ERI,Soft,2,29,86.27541379310345,82.487,121.756,9.412402401380703,Sauber,29,1.3541034482758623,0.09603931556346672
HAM,Medium,2,41,82.60973170731707,79.133,122.018,8.322018114689463,Mercedes,41,1.0459756097560977,0.10727290890201324
HAM,Soft,1,26,90.39265217391304,80.849,133.88,19.30917369497226,Mercedes,23,2.3056956521739127,0.04923883241234773
HAR,Medium,2,29,87.58896551724138,83.475,126.671,10.23581058093439,Toro Rosso,29,1.4895172413793107,0.08900114440313378
HAR,Medium,3,31,85.74016129032259,81.439,122.571,9.468957412150415,Toro Rosso,31,1.3268387096774195,0.09552049555950876
HAR,Soft,1,3,134.4565,133.809,135.104,0.9157032816365903,Toro Rosso,2,0.647500000000008,0.5220015070108861
LEC,Medium,2,44,85.34295454545455,82.122,121.252,7.7134626434160065,Sauber,44,0.8893181818181817,0.11476493799575896
LEC,Soft,1,19,94.73611111111111,83.736,131.588,19.274672759528954,Sauber,18,2.6584444444444437,0.04932262097941911
MAG,Medium,2,33,84.27854545454545,80.246,120.523,8.484005996914544,Haas F1 Team,33,1.2205151515151516,0.10544067563067049
MAG,Soft,1,35,89.8359,82.505,133.292,16.273999947769436,Haas F1 Team,30,1.6929000000000003,0.05789047140347644
OCO,Medium,2,9,88.03777777777778,82.117,127.59,14.861016955257286,Force India,9,5.052555555555555,0.0630476597320918
OCO,Soft,1,28,91.1211111111111,83.34,131.58,16.368967796350166,Force India,27,1.786666666666667,0.05757394519495484
PER,Medium,2,14,86.47342857142857,81.406,117.803,10.389739885055873,Force India,14,2.5997857142857135,0.08779831761672356
PER,Soft,1,25,92.40583333333332,83.727,134.212,16.972740604368767,Force India,24,2.103541666666666,0.05563981709928661
PER,Soft,3,30,84.27862499999999,81.128,130.341,9.858572909391228,Force India,24,2.050541666666667,0.09209313307968237
RAI,Soft,1,27,93.1474347826087,81.531,133.153,20.436790892510245,Ferrari,23,2.2444347826086952,0.04664877336417868
RIC,Medium,2,33,83.62275757575757,78.441,122.589,10.61447093603322,Red Bull Racing,33,1.3378181818181818,0.08609948791533485
RIC,Soft,1,35,88.70964516129031,81.285,133.445,16.469048309983165,Red Bull Racing,31,1.6825806451612901,0.057244102955999195
SAI,Medium,2,40,84.74282500000001,81.324,121.759,8.172052238520173,Renault,40,1.010875,0.10902685396843541
SAI,Soft,1,28,92.25721739130435,83.464,133.005,17.859574101499625,Renault,23,2.15395652173913,0.05302346673462179
SIR,Medium,2,20,89.04655,83.907,127.41,11.9011071642184,Williams,20,2.17515,0.07751272718465042
SIR,Medium,3,19,90.21682352941176,82.756,122.453,13.017623046447916,Williams,17,2.3351176470588237,0.07133877096612334
SIR,SUPERSOFT,4,22,84.97245454545454,82.68,106.753,5.074324780108776,Williams,22,1.0942272727272724,0.16462735138473986
SIR,Soft,1,3,139.23,133.632,149.412,8.832434092593052,Williams,3,5.260000000000001,0.10170421592282197
STR,Medium,2,44,85.24370454545455,82.095,121.631,7.893971331072386,Williams,44,0.8985454545454545,0.11243571209931318
STR,Soft,1,19,95.07488888888889,84.245,132.536,18.922403385122127,Williams,18,2.682833333333333,0.05019474712307005
VAN,Medium,2,11,91.868,82.594,122.252,14.61135314746721,McLaren,11,3.605272727272727,0.06405594637145469
VAN,Soft,1,36,90.1404375,83.269,134.185,15.144685998592635,McLaren,32,1.591125,0.061939885364582004
VER,Medium,2,32,83.22075,79.422,121.224,9.861019962948937,Red Bull Racing,32,1.3063125000000002,0.09207238393920457
VER,Soft,1,36,88.26484375,80.603,133.094,16.37287581319035,Red Bull Racing,32,1.64034375,0.0575609939743396
VET,Medium,2,24,83.45070833333334,80.716,115.212,7.845928683797216,Ferrari,24,1.4373333333333338,0.11304635564513037
VET,Medium,3,25,82.14452,79.128,132.006,10.409800482878302,Ferrari,25,2.11512,0.08764395148719852
VET,Soft,1,19,95.73679999999999,82.043,133.906,22.316158038515496,Ferrari,15,3.457533333333333,0.04288871255496381
