Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
BOT,SUPERSOFT,1,26,103.07522727272728,100.057,137.376,7.852902089775584,Mercedes,22,1.6963181818181818,0.11295730934999526
BOT,Soft,2,33,100.39981818181818,98.47,119.447,3.5705608667839672,Mercedes,33,0.6356666666666668,0.21879152890565062
ERI,SUPERSOFT,2,25,101.62068,100.098,120.161,3.9584427569436946,Sauber,25,0.8025200000000001,0.20167622155153891
ERI,Soft,1,30,104.71155172413793,101.625,133.559,6.124399740768807,Sauber,29,1.1011724137931034,0.14036270231688153
GAS,SUPERSOFT,1,10,105.5611111111111,103.648,115.332,3.7246008660138434,Toro Rosso,9,1.298222222222222,0.2116580909920762
GAS,Soft,2,26,104.37115384615385,100.754,145.175,8.391857456808038,Toro Rosso,26,1.7085000000000004,0.1064752105319819
GAS,ULTRASOFT,3,19,102.06684210526316,99.646,120.63,4.537284310920869,Toro Rosso,19,1.1044210526315787,0.18059394169588822
GRO,ULTRASOFT,1,5,149.206,149.206,149.206,,Haas F1 Team,1,0.0,
HAM,SUPERSOFT,1,16,104.0664,100.302,135.391,11.008366274994863,Mercedes,10,3.5088999999999984,0.08327527467931334
HAM,Soft,2,26,101.10573076923076,98.86,121.97,4.404892512265806,Mercedes,26,0.8888461538461538,0.18501755543345413
HAM,Soft,3,19,99.48815789473684,97.392,118.368,4.639858537871817,Mercedes,19,1.1039999999999999,0.17730941180261356
HAR,SUPERSOFT,1,27,104.81596153846155,101.505,135.503,6.758279091489308,Toro Rosso,26,1.3076153846153842,0.12889456388556347
HAR,Soft,2,28,101.90103571428571,99.915,120.717,3.8471364481298456,Toro Rosso,28,0.7429285714285712,0.2063073756435775
HUL,Soft,2,33,101.28918181818182,99.548,121.928,3.7637624497846716,Renault,33,0.678181818181818,0.20991810791178334
HUL,ULTRASOFT,1,26,104.45331818181818,101.331,136.077,7.476417600163505,Renault,22,1.579363636363636,0.11797436690480076
LEC,Soft,2,2,102.6825,102.504,102.861,0.252437120883597,Sauber,2,0.17849999999999966,0.7984432777707019
LEC,Soft,3,27,105.09255555555555,101.982,126.705,6.226568423564722,Sauber,27,0.9156666666666666,0.13837826495064443
LEC,ULTRASOFT,1,5,133.101,133.101,133.101,,Sauber,1,0.0,
MAG,SUPERSOFT,1,30,104.20420689655172,101.371,134.061,6.397511499343822,Haas F1 Team,29,1.1272413793103453,0.1351805941888299
MAG,Soft,2,26,101.05888461538461,98.963,119.287,3.7882622119058533,Haas F1 Team,26,0.7816923076923081,0.208844034796911
OCO,Soft,2,34,101.38317647058823,99.992,121.78,3.680931794669027,Racing Point,34,0.6408235294117646,0.2136326791043762
OCO,ULTRASOFT,1,25,104.93580952380952,101.718,135.171,7.540384762192491,Racing Point,21,1.5929999999999995,0.11709074331485735
PER,Soft,2,31,101.27626666666667,99.569,122.613,4.104481309859812,Racing Point,30,0.7681333333333332,0.19590629082496605
PER,ULTRASOFT,1,28,104.7195,101.656,133.577,6.812778128347272,Racing Point,24,1.3300416666666663,0.1279954433073785
RAI,Soft,2,35,99.74785714285714,98.482,117.795,3.175479613083557,Ferrari,35,0.5518000000000001,0.23949344570299755
RAI,ULTRASOFT,1,24,103.40395000000001,99.716,138.251,8.62204059663372,Ferrari,20,1.9267500000000006,0.10392805870615958
RIC,SUPERSOFT,1,11,101.31371428571428,100.933,101.683,0.2520923866929923,Red Bull Racing,7,0.10714285714285714,0.7986631103485783
SAI,SUPERSOFT,1,24,104.45373913043478,101.658,134.111,6.969238677720511,Renault,23,1.4109999999999996,0.1254825009565451
SAI,Soft,2,32,101.40834375,99.858,125.434,4.406134818558611,Renault,32,0.7992499999999998,0.18497503920307726
SIR,SUPERSOFT,1,10,104.899,103.25,113.485,3.2752650656091937,Williams,9,1.1372222222222221,0.23390362577612656
SIR,SUPERSOFT,3,26,103.025,100.816,119.596,3.57957094635656,Williams,26,0.7223076923076923,0.2183610673824336
SIR,Soft,2,19,104.97742105263157,100.522,146.989,10.199749410406506,Williams,19,2.4456315789473684,0.08928771201530875
STR,SUPERSOFT,1,2,138.96,138.96,138.96,,Williams,1,0.0,
STR,Soft,2,1,102.382,102.382,102.382,,Williams,1,0.0,
STR,Soft,3,39,104.67241176470588,101.752,135.128,6.054013860680528,Williams,34,0.9816470588235291,0.14176325986174432
STR,ULTRASOFT,4,16,102.7911875,100.433,120.844,4.984507601475457,Williams,16,1.2756874999999992,0.16709812512452218
VAN,SUPERSOFT,1,10,105.22722222222222,103.545,114.107,3.388724862606056,McLaren,9,1.1735555555555552,0.22785661696873677
VAN,Soft,2,30,103.7611,101.058,145.522,7.915271931416876,McLaren,30,1.4821333333333329,0.1121670777619313
VAN,Soft,3,15,101.37273333333333,99.24,119.863,5.124035009731334,McLaren,15,1.374866666666667,0.16329103253181285
VER,SUPERSOFT,2,34,99.64891176470589,98.246,116.38,2.987789852733921,Red Bull Racing,34,0.5333529411764706,0.25076547083202666
VER,Soft,1,22,102.96095238095238,100.076,136.625,7.901999357606849,Red Bull Racing,21,1.7404285714285717,0.11233431500368396
VET,SUPERSOFT,1,29,102.99404,99.649,133.749,6.853470370792689,Ferrari,25,1.3639999999999999,0.12733224329960324
VET,Soft,2,30,99.6239,98.28,119.056,3.7064496475272892,Ferrari,30,0.6925333333333332,0.21247438619159298
