Driver,Compound,Stint,MaxTyreLife,AvgLapTime,FastestLap,SlowestLap,LapTimeStd,Team,LapsOnStint,DegradationPerLap,ConsistencyStint
ALB,Medium,2,43,90.06279069767442,88.188,94.855,1.3344209116449022,Toro Rosso,43,0.155046511627907,0.4283717623551317
ALB,Soft,1,14,92.46446153846153,90.782,108.191,4.733273367261894,Toro Rosso,13,1.3391538461538466,0.17442042894905282
BOT,Medium,2,35,87.64002857142857,85.58,93.805,1.219155553596648,Mercedes,35,0.23500000000000024,0.4506218585620425
BOT,Soft,1,26,89.36868181818183,87.815,106.05,3.754405265010608,Mercedes,22,0.8288636363636364,0.21033124949599116
GAS,Medium,1,37,90.43269444444445,88.412,107.175,3.0524113635844827,Red Bull Racing,36,0.5211944444444442,0.24676665577096527
GAS,Soft,2,20,88.7455,87.229,94.151,1.5457282902788638,Red Bull Racing,20,0.34609999999999985,0.3928148985178847
GIO,Medium,1,27,92.50688461538462,90.559,115.685,4.809121111612172,Alfa Romeo Racing,26,0.9663846153846156,0.1721430799576626
GIO,Soft,2,30,89.60026666666666,88.479,94.894,1.4400497580802978,Alfa Romeo Racing,30,0.21383333333333354,0.40982770809835745
GRO,Medium,2,14,90.43978571428572,88.462,95.081,1.6745202839376634,Haas F1 Team,14,0.47278571428571425,0.3738988281396439
GRO,Soft,1,18,92.47349999999999,90.07,116.519,6.9262553735766925,Haas F1 Team,14,1.8892142857142866,0.12616298023069547
HAM,Medium,2,43,88.12706976744185,86.057,95.642,1.3706170385797722,Mercedes,43,0.22290697674418591,0.42183110292630654
HAM,Soft,1,18,90.27571428571427,88.495,106.079,4.5623635647220455,Mercedes,14,1.2559999999999991,0.17977969047946807
HUL,Hard,2,44,89.25729545454546,88.444,94.476,1.0230196201611623,Renault,44,0.137090909090909,0.4943105791135807
HUL,Soft,1,13,92.12591666666667,90.441,107.604,4.879388308502564,Renault,12,1.4302499999999998,0.17008572108663672
KUB,Medium,2,27,94.478,91.779,110.779,3.798772159932327,Williams,27,0.7037037037037037,0.208386638638435
KUB,Soft,3,16,92.0076875,89.284,108.376,4.698915459532478,Williams,16,1.19325,0.17547198359072289
KUB,Soft,4,13,91.82309090909091,89.503,101.937,3.5079160324769867,Williams,11,1.1303636363636362,0.22183199349667682
KVY,Hard,2,32,88.83751612903227,87.448,95.659,1.8179030203500566,Toro Rosso,31,0.2648709677419359,0.35487381672765095
KVY,Medium,1,26,91.09216,89.167,107.022,3.4457134200820225,Toro Rosso,25,0.7142000000000002,0.224935776445426
LEC,Hard,2,30,88.40976666666667,86.926,93.404,1.4039157967512925,Ferrari,30,0.21593333333333314,0.41598794822656565
LEC,Soft,1,31,90.24288461538461,88.733,107.729,3.6510960910600323,Ferrari,26,0.7306153846153844,0.2150030832349649
MAG,Medium,2,44,89.10170454545454,88.182,95.021,1.0921740976207766,Haas F1 Team,44,0.15543181818181814,0.47797169515538956
MAG,Soft,1,17,91.98176923076923,90.166,108.686,5.026114373182098,Haas F1 Team,13,1.4246153846153855,0.16594441095414333
NOR,Hard,2,42,90.09590476190476,88.555,95.822,1.3728104661876441,McLaren,42,0.1730238095238094,0.42144116196801995
NOR,Soft,1,18,92.151,90.359,108.026,4.582137257454634,McLaren,14,1.2619285714285715,0.17914285405013208
PER,Hard,2,44,89.99118181818181,88.485,94.939,1.223208937879477,Racing Point,44,0.14668181818181802,0.4498002787600395
PER,Soft,1,16,92.82341666666667,90.85,110.063,5.4387136757665155,Racing Point,12,1.601083333333334,0.15531052479685736
RAI,Medium,2,45,89.22873333333334,88.27,95.905,1.1509108329729814,Alfa Romeo Racing,45,0.16966666666666677,0.46491931914155804
RAI,Soft,1,15,92.53718181818182,90.586,109.402,5.596343838939527,Alfa Romeo Racing,11,1.7105454545454548,0.15159913194591246
RIC,Hard,2,27,90.78181481481481,89.848,98.185,1.5921505784276357,Renault,27,0.3087777777777779,0.3857800578107568
RUS,Hard,3,14,90.91285714285713,88.713,99.131,2.839182733359474,Williams,14,0.7441428571428576,0.2604721029063784
RUS,Medium,1,26,93.05768,91.605,109.321,3.4260822586933504,Williams,25,0.7086399999999997,0.22593344216228278
RUS,Soft,2,16,91.984375,89.491,110.261,5.075115471592739,Williams,16,1.2981249999999998,0.16460592472291324
SAI,Soft,1,9,91.46625,90.899,92.34,0.4514869876308796,McLaren,8,0.1801250000000003,0.6889486495722585
STR,Hard,2,30,88.85473333333333,87.568,94.0,1.0975261188733454,Racing Point,30,0.21440000000000006,0.47675210859216144
STR,Medium,1,27,91.00161538461538,89.13,107.488,3.493840260537659,Racing Point,26,0.7060769230769233,0.22252682383515704
VER,Medium,2,33,87.76584848484849,86.256,93.652,1.204403408362724,Red Bull Racing,33,0.22412121212121214,0.45363747679138716
VER,Soft,1,28,89.88670833333333,88.55,105.97,3.450167601211463,Red Bull Racing,24,0.7258333333333334,0.2247106378033428
VET,Medium,2,44,88.85970454545455,87.954,93.692,0.9280132963047434,Ferrari,44,0.1304090909090909,0.5186686222115863
VET,Soft,1,17,90.69084615384615,88.789,106.627,4.798189864350823,Ferrari,13,1.3721538461538456,0.17246761892850884
