Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,70.8925,SUPERSOFT,McLaren
ALO,3,70.7465,SUPERSOFT,McLaren
ALO,4,70.76650000000001,SUPERSOFT,McLaren
ALO,5,71.34649999999999,SUPERSOFT,McLaren
ALO,6,71.4075,SUPERSOFT,McLaren
ALO,7,70.7385,SUPERSOFT,McLaren
ALO,8,70.50450000000001,SUPERSOFT,McLaren
ALO,9,70.613,SUPERSOFT,McLaren
ALO,10,70.543,SUPERSOFT,McLaren
ALO,11,69.741,Soft,McLaren
ALO,12,70.44999999999999,SUPERSOFT,McLaren
ALO,13,69.988,Soft,McLaren
ALO,14,70.096,Soft,McLaren
ALO,15,69.969,Soft,McLaren
ALO,16,69.753,Soft,McLaren
ALO,17,69.94,Soft,McLaren
ALO,18,70.046,Soft,McLaren
ALO,19,70.945,Soft,McLaren
ALO,20,70.034,Soft,McLaren
ALO,21,69.552,Soft,McLaren
ALO,22,69.756,Soft,McLaren
ALO,23,69.732,Soft,McLaren
ALO,24,70.955,Soft,McLaren
ALO,25,69.367,Soft,McLaren
ALO,26,71.554,Soft,McLaren
ALO,27,69.27,Soft,McLaren
ALO,28,69.304,Soft,McLaren
ALO,29,69.393,Soft,McLaren
ALO,30,69.316,Soft,McLaren
ALO,31,69.441,Soft,McLaren
ALO,32,69.564,Soft,McLaren
ALO,33,69.321,Soft,McLaren
ALO,34,69.272,Soft,McLaren
ALO,35,69.602,Soft,McLaren
ALO,36,69.321,Soft,McLaren
ALO,37,69.267,Soft,McLaren
ALO,42,70.086,Soft,McLaren
ALO,43,69.2,Soft,McLaren
ALO,44,69.009,Soft,McLaren
ALO,45,69.16,Soft,McLaren
ALO,46,69.044,Soft,McLaren
ALO,49,68.988,Soft,McLaren
ALO,50,69.474,Soft,McLaren
ALO,51,69.438,Soft,McLaren
ALO,52,69.167,Soft,McLaren
ALO,53,68.686,Soft,McLaren
ALO,54,68.661,Soft,McLaren
ALO,55,69.167,Soft,McLaren
BOT,5,69.74,SUPERSOFT,Mercedes
BOT,6,69.657,SUPERSOFT,Mercedes
BOT,7,69.263,SUPERSOFT,Mercedes
BOT,8,69.906,SUPERSOFT,Mercedes
BOT,9,69.077,SUPERSOFT,Mercedes
BOT,10,69.14,SUPERSOFT,Mercedes
BOT,11,69.221,SUPERSOFT,Mercedes
BOT,12,69.547,SUPERSOFT,Mercedes
BOT,13,69.222,SUPERSOFT,Mercedes
ERI,2,70.0315,Soft,Sauber
ERI,3,70.0755,Soft,Sauber
ERI,4,70.239,Soft,Sauber
ERI,5,70.99,Soft,Sauber
ERI,6,70.1995,Soft,Sauber
ERI,7,70.395,Soft,Sauber
ERI,8,71.187,Soft,Sauber
ERI,9,71.168,Soft,Sauber
