Driver,TyreLife,AvgLapTime,Compound,Team
ALO,6,114.558,Soft,McLaren
ALO,7,111.421,Soft,McLaren
ALO,8,110.847,Soft,McLaren
ALO,11,110.55,Soft,McLaren
ALO,12,111.094,Soft,McLaren
ALO,13,109.276,Soft,McLaren
ALO,14,108.006,ULTRASOFT,McLaren
ALO,15,109.055,Soft,McLaren
ALO,16,108.993,Soft,McLaren
ALO,18,108.74,Soft,McLaren
ALO,20,109.202,Soft,McLaren
ALO,21,108.422,Soft,McLaren
ALO,22,109.509,Soft,McLaren
ALO,23,109.753,Soft,McLaren
ALO,24,109.211,Soft,McLaren
ALO,25,109.679,Soft,McLaren
ALO,26,108.577,Soft,McLaren
ALO,27,113.833,Soft,McLaren
ALO,28,108.217,Soft,McLaren
ALO,29,107.837,Soft,McLaren
ALO,30,107.762,Soft,McLaren
ALO,31,107.449,Soft,McLaren
ALO,32,108.682,Soft,McLaren
ALO,33,108.018,Soft,McLaren
ALO,34,107.683,Soft,McLaren
ALO,35,107.812,Soft,McLaren
ALO,36,108.233,Soft,McLaren
ALO,37,107.922,Soft,McLaren
BOT,9,114.555,SUPERSOFT,Mercedes
BOT,10,111.139,SUPERSOFT,Mercedes
BOT,11,107.819,SUPERSOFT,Mercedes
BOT,12,108.192,SUPERSOFT,Mercedes
BOT,15,108.078,SUPERSOFT,Mercedes
BOT,16,107.782,SUPERSOFT,Mercedes
BOT,17,107.729,SUPERSOFT,Mercedes
BOT,19,107.094,SUPERSOFT,Mercedes
BOT,20,107.292,SUPERSOFT,Mercedes
BOT,22,106.732,SUPERSOFT,Mercedes
BOT,23,107.077,SUPERSOFT,Mercedes
BOT,25,107.019,SUPERSOFT,Mercedes
BOT,26,106.605,SUPERSOFT,Mercedes
BOT,27,106.496,SUPERSOFT,Mercedes
BOT,28,106.492,SUPERSOFT,Mercedes
BOT,29,106.184,SUPERSOFT,Mercedes
BOT,30,106.937,SUPERSOFT,Mercedes
BOT,31,106.291,SUPERSOFT,Mercedes
BOT,32,105.827,SUPERSOFT,Mercedes
BOT,33,105.945,SUPERSOFT,Mercedes
BOT,34,106.012,SUPERSOFT,Mercedes
BOT,35,105.907,SUPERSOFT,Mercedes
BOT,36,105.595,SUPERSOFT,Mercedes
BOT,37,107.441,SUPERSOFT,Mercedes
BOT,38,106.12,SUPERSOFT,Mercedes
BOT,39,105.831,SUPERSOFT,Mercedes
BOT,40,105.149,SUPERSOFT,Mercedes
BOT,41,105.547,SUPERSOFT,Mercedes
BOT,42,105.454,SUPERSOFT,Mercedes
ERI,3,109.886,ULTRASOFT,Sauber
ERI,4,109.513,ULTRASOFT,Sauber
ERI,5,109.665,ULTRASOFT,Sauber
ERI,6,112.20150000000001,Soft,Sauber
ERI,7,110.904,Soft,Sauber
ERI,8,112.7065,Soft,Sauber
ERI,9,109.494,ULTRASOFT,Sauber
ERI,10,108.801,ULTRASOFT,Sauber
ERI,11,110.185,Soft,Sauber
ERI,12,111.41833333333334,Soft,Sauber
ERI,13,109.239,ULTRASOFT,Sauber
ERI,14,110.8555,ULTRASOFT,Sauber
ERI,15,109.38533333333334,Soft,Sauber
ERI,16,109.763,Soft,Sauber
ERI,17,109.85,ULTRASOFT,Sauber
GAS,4,111.018,Soft,Toro Rosso
GAS,5,110.839,Soft,Toro Rosso
GAS,6,113.074,ULTRASOFT,Toro Rosso
GAS,7,111.348,ULTRASOFT,Toro Rosso
GAS,8,113.125,ULTRASOFT,Toro Rosso
GAS,9,111.3075,Soft,Toro Rosso
GAS,10,109.563,Soft,Toro Rosso
GAS,11,110.98949999999999,Soft,Toro Rosso
GAS,12,111.28,Soft,Toro Rosso
GAS,13,111.183,Soft,Toro Rosso
GAS,14,109.425,Soft,Toro Rosso
GAS,15,108.739,Soft,Toro Rosso
GAS,16,108.595,Soft,Toro Rosso
GAS,17,110.878,Soft,Toro Rosso
GAS,18,108.849,Soft,Toro Rosso
GAS,19,108.463,Soft,Toro Rosso
GAS,20,108.678,Soft,Toro Rosso
GAS,21,109.778,Soft,Toro Rosso
GAS,22,108.346,Soft,Toro Rosso
GAS,23,110.238,Soft,Toro Rosso
GAS,24,109.082,Soft,Toro Rosso
GAS,25,110.229,Soft,Toro Rosso
GAS,26,108.035,Soft,Toro Rosso
GRO,5,113.07,SUPERSOFT,Haas F1 Team
GRO,6,111.149,SUPERSOFT,Haas F1 Team
GRO,7,109.602,SUPERSOFT,Haas F1 Team
GRO,10,109.71,SUPERSOFT,Haas F1 Team
GRO,11,109.555,SUPERSOFT,Haas F1 Team
GRO,12,110.546,SUPERSOFT,Haas F1 Team
GRO,14,108.814,SUPERSOFT,Haas F1 Team
GRO,15,108.984,SUPERSOFT,Haas F1 Team
GRO,17,108.867,SUPERSOFT,Haas F1 Team
GRO,19,107.829,SUPERSOFT,Haas F1 Team
GRO,20,107.547,SUPERSOFT,Haas F1 Team
GRO,21,108.667,SUPERSOFT,Haas F1 Team
GRO,22,107.75,SUPERSOFT,Haas F1 Team
GRO,23,107.38,SUPERSOFT,Haas F1 Team
GRO,24,108.0,SUPERSOFT,Haas F1 Team
GRO,25,108.821,SUPERSOFT,Haas F1 Team
GRO,26,108.064,SUPERSOFT,Haas F1 Team
GRO,27,108.109,SUPERSOFT,Haas F1 Team
GRO,28,108.036,SUPERSOFT,Haas F1 Team
GRO,29,107.1,SUPERSOFT,Haas F1 Team
GRO,30,107.492,SUPERSOFT,Haas F1 Team
GRO,31,107.675,SUPERSOFT,Haas F1 Team
GRO,32,106.88,SUPERSOFT,Haas F1 Team
GRO,33,107.314,SUPERSOFT,Haas F1 Team
GRO,34,108.407,SUPERSOFT,Haas F1 Team
GRO,35,108.525,SUPERSOFT,Haas F1 Team
GRO,36,107.2,SUPERSOFT,Haas F1 Team
HAM,2,107.306,Soft,Mercedes
HAM,3,106.582,Soft,Mercedes
HAM,4,106.507,Soft,Mercedes
HAM,5,106.329,Soft,Mercedes
HAM,6,106.381,Soft,Mercedes
HAM,7,106.115,Soft,Mercedes
HAM,8,106.85849999999999,Soft,Mercedes
HAM,9,106.95,Soft,Mercedes
HAM,10,109.7165,SUPERSOFT,Mercedes
HAM,11,107.68400000000001,SUPERSOFT,Mercedes
HAM,12,107.01050000000001,SUPERSOFT,Mercedes
HAM,13,106.613,SUPERSOFT,Mercedes
HAM,14,107.001,Soft,Mercedes
HAM,15,105.943,Soft,Mercedes
HAM,16,106.7695,SUPERSOFT,Mercedes
HAM,17,106.29599999999999,SUPERSOFT,Mercedes
HAM,18,107.424,SUPERSOFT,Mercedes
HAM,20,107.053,SUPERSOFT,Mercedes
HAM,21,107.017,SUPERSOFT,Mercedes
HAM,23,106.331,SUPERSOFT,Mercedes
HAM,24,106.12,SUPERSOFT,Mercedes
HAR,2,109.538,SUPERSOFT,Toro Rosso
HAR,3,109.25,SUPERSOFT,Toro Rosso
HAR,4,110.532,SUPERSOFT,Toro Rosso
HAR,5,109.304,SUPERSOFT,Toro Rosso
HAR,6,111.91499999999999,ULTRASOFT,Toro Rosso
HAR,7,111.44550000000001,ULTRASOFT,Toro Rosso
HAR,8,109.26,SUPERSOFT,Toro Rosso
HAR,9,110.92949999999999,SUPERSOFT,Toro Rosso
HAR,10,109.56,SUPERSOFT,Toro Rosso
HAR,11,110.47333333333334,ULTRASOFT,Toro Rosso
HAR,12,109.50333333333333,ULTRASOFT,Toro Rosso
HAR,13,108.554,SUPERSOFT,Toro Rosso
HAR,14,108.521,SUPERSOFT,Toro Rosso
HAR,15,109.8065,ULTRASOFT,Toro Rosso
HAR,16,109.7345,ULTRASOFT,Toro Rosso
HAR,18,110.758,ULTRASOFT,Toro Rosso
HAR,20,111.148,ULTRASOFT,Toro Rosso
HUL,9,112.856,ULTRASOFT,Renault
HUL,10,109.523,ULTRASOFT,Renault
HUL,11,109.917,ULTRASOFT,Renault
LEC,2,107.749,Soft,Sauber
LEC,3,107.629,Soft,Sauber
LEC,4,107.814,Soft,Sauber
LEC,5,107.419,Soft,Sauber
LEC,6,110.0935,SUPERSOFT,Sauber
LEC,7,109.32900000000001,SUPERSOFT,Sauber
LEC,8,109.834,SUPERSOFT,Sauber
LEC,9,107.737,Soft,Sauber
LEC,10,107.857,Soft,Sauber
LEC,11,108.45166666666667,SUPERSOFT,Sauber
LEC,12,108.507,SUPERSOFT,Sauber
LEC,13,108.1815,SUPERSOFT,Sauber
LEC,14,107.533,Soft,Sauber
LEC,15,108.667,SUPERSOFT,Sauber
LEC,16,109.798,SUPERSOFT,Sauber
LEC,18,108.288,SUPERSOFT,Sauber
LEC,20,108.211,SUPERSOFT,Sauber
LEC,21,108.392,SUPERSOFT,Sauber
LEC,22,108.041,SUPERSOFT,Sauber
MAG,6,114.742,Soft,Haas F1 Team
MAG,8,111.776,Soft,Haas F1 Team
MAG,11,111.1865,Soft,Haas F1 Team
MAG,12,111.68100000000001,Soft,Haas F1 Team
MAG,15,111.488,Soft,Haas F1 Team
MAG,16,110.919,Soft,Haas F1 Team
MAG,18,109.715,Soft,Haas F1 Team
