Driver,TyreLife,AvgLapTime,Compound,Team
ALO,2,96.12100000000001,Medium,McLaren
ALO,3,96.23349999999999,Medium,McLaren
ALO,4,96.2205,Medium,McLaren
ALO,5,96.253,Medium,McLaren
ALO,6,96.68166666666667,Soft,McLaren
ALO,7,96.37666666666667,Soft,McLaren
ALO,8,96.20033333333333,Soft,McLaren
ALO,9,95.5885,Medium,McLaren
ALO,10,95.45500000000001,Medium,McLaren
ALO,11,95.562,Medium,McLaren
ALO,12,95.6545,Medium,McLaren
ALO,13,94.567,SUPERSOFT,McLaren
ALO,14,95.7515,Medium,McLaren
ALO,15,95.6545,Medium,McLaren
ALO,16,95.6765,Medium,McLaren
ALO,17,96.716,Medium,McLaren
ALO,18,97.045,Medium,McLaren
ALO,19,96.456,Medium,McLaren
ALO,20,96.425,Medium,McLaren
ALO,21,96.544,Medium,McLaren
ALO,22,97.01,Medium,McLaren
ALO,23,96.389,Medium,McLaren
ALO,24,96.362,Medium,McLaren
BOT,1,93.74,Medium,Mercedes
BOT,2,94.729,Medium,Mercedes
BOT,3,94.586,Medium,Mercedes
BOT,4,94.43,Medium,Mercedes
BOT,5,95.012,Medium,Mercedes
BOT,6,94.999,Medium,Mercedes
BOT,8,94.628,Medium,Mercedes
BOT,9,95.3835,SUPERSOFT,Mercedes
BOT,10,95.6415,SUPERSOFT,Mercedes
BOT,11,95.4565,SUPERSOFT,Mercedes
BOT,12,95.42349999999999,SUPERSOFT,Mercedes
BOT,13,94.986,Medium,Mercedes
BOT,14,95.782,SUPERSOFT,Mercedes
BOT,15,95.62950000000001,SUPERSOFT,Mercedes
BOT,16,95.721,SUPERSOFT,Mercedes
BOT,17,95.756,SUPERSOFT,Mercedes
BOT,18,95.64500000000001,SUPERSOFT,Mercedes
BOT,19,95.87450000000001,SUPERSOFT,Mercedes
BOT,20,96.325,SUPERSOFT,Mercedes
BOT,22,95.744,Medium,Mercedes
BOT,23,94.546,Medium,Mercedes
BOT,24,94.632,Medium,Mercedes
BOT,25,94.491,Medium,Mercedes
BOT,26,95.188,Medium,Mercedes
BOT,27,94.733,Medium,Mercedes
BOT,28,95.198,Medium,Mercedes
BOT,29,94.648,Medium,Mercedes
BOT,30,94.46,Medium,Mercedes
BOT,31,94.599,Medium,Mercedes
BOT,32,94.622,Medium,Mercedes
BOT,33,95.428,Medium,Mercedes
BOT,34,95.614,Medium,Mercedes
BOT,35,96.364,Medium,Mercedes
BOT,36,96.972,Medium,Mercedes
ERI,2,95.461,Medium,Sauber
ERI,5,97.632,Medium,Sauber
ERI,6,96.9675,Soft,Sauber
ERI,7,97.06299999999999,Soft,Sauber
ERI,8,97.014,Soft,Sauber
ERI,9,96.281,Medium,Sauber
ERI,10,96.217,Medium,Sauber
ERI,11,96.841,Medium,Sauber
ERI,12,98.532,Medium,Sauber
ERI,13,97.0685,Soft,Sauber
ERI,14,97.143,Soft,Sauber
ERI,15,97.089,Soft,Sauber
ERI,16,97.0015,Soft,Sauber
ERI,17,98.058,Soft,Sauber
ERI,18,97.276,Soft,Sauber
ERI,19,97.98949999999999,Soft,Sauber
ERI,20,97.18100000000001,Soft,Sauber
ERI,21,98.5275,Soft,Sauber
ERI,22,96.56,Medium,Sauber
ERI,23,96.364,Medium,Sauber
ERI,24,96.328,Medium,Sauber
ERI,25,98.546,Medium,Sauber
ERI,26,96.399,Medium,Sauber
ERI,27,96.239,Medium,Sauber
ERI,28,96.3,Medium,Sauber
ERI,29,97.898,Medium,Sauber
ERI,30,98.152,Medium,Sauber
ERI,31,96.571,Medium,Sauber
ERI,32,96.607,Medium,Sauber
ERI,33,97.338,Medium,Sauber
GAS,2,95.725,Soft,Toro Rosso
GAS,3,97.218,Soft,Toro Rosso
GAS,4,96.263,Soft,Toro Rosso
GAS,5,95.8295,Soft,Toro Rosso
GAS,6,95.3125,Soft,Toro Rosso
GAS,7,95.548,Soft,Toro Rosso
GAS,8,95.712,Soft,Toro Rosso
GAS,9,96.54249999999999,SUPERSOFT,Toro Rosso
GAS,10,96.37433333333333,SUPERSOFT,Toro Rosso
GAS,11,96.428,SUPERSOFT,Toro Rosso
GAS,12,95.056,SUPERSOFT,Toro Rosso
GAS,13,95.503,Soft,Toro Rosso
GAS,14,96.02266666666667,SUPERSOFT,Toro Rosso
GAS,15,95.48400000000001,Soft,Toro Rosso
GAS,16,96.19533333333334,SUPERSOFT,Toro Rosso
GAS,17,95.8045,Soft,Toro Rosso
GAS,18,95.7885,Soft,Toro Rosso
GAS,19,94.901,SUPERSOFT,Toro Rosso
GAS,20,95.185,SUPERSOFT,Toro Rosso
GAS,21,95.109,SUPERSOFT,Toro Rosso
GAS,22,95.142,SUPERSOFT,Toro Rosso
GAS,23,95.006,SUPERSOFT,Toro Rosso
GAS,24,95.251,SUPERSOFT,Toro Rosso
GAS,25,95.313,SUPERSOFT,Toro Rosso
GAS,26,95.55,SUPERSOFT,Toro Rosso
GRO,2,94.70766666666667,Soft,Haas F1 Team
GRO,3,95.61766666666666,Soft,Haas F1 Team
GRO,4,95.93900000000001,Soft,Haas F1 Team
GRO,5,97.03966666666668,Soft,Haas F1 Team
GRO,6,96.88725,SUPERSOFT,Haas F1 Team
GRO,7,96.47225,SUPERSOFT,Haas F1 Team
GRO,8,96.36633333333333,SUPERSOFT,Haas F1 Team
GRO,9,95.607,SUPERSOFT,Haas F1 Team
GRO,10,95.9985,Soft,Haas F1 Team
GRO,11,95.99466666666666,Soft,Haas F1 Team
GRO,12,98.073,SUPERSOFT,Haas F1 Team
GRO,13,97.03899999999999,SUPERSOFT,Haas F1 Team
GRO,14,98.697,SUPERSOFT,Haas F1 Team
GRO,15,98.193,SUPERSOFT,Haas F1 Team
GRO,16,98.037,SUPERSOFT,Haas F1 Team
HAM,2,94.274,Medium,Mercedes
HAM,3,94.595,Medium,Mercedes
HAM,4,94.421,Medium,Mercedes
HAM,5,94.376,Medium,Mercedes
HAM,6,94.373,Medium,Mercedes
HAM,7,94.424,Medium,Mercedes
HAM,8,94.309,Medium,Mercedes
HAM,9,95.45400000000001,Soft,Mercedes
HAM,10,95.26,Soft,Mercedes
HAM,11,95.07650000000001,Soft,Mercedes
HAM,12,95.315,Soft,Mercedes
HAM,13,94.191,Medium,Mercedes
HAM,14,96.254,Soft,Mercedes
HAM,15,95.39699999999999,Soft,Mercedes
HAM,16,95.31450000000001,Soft,Mercedes
HAM,17,95.41900000000001,Soft,Mercedes
HAM,18,95.54650000000001,Soft,Mercedes
HAM,19,96.609,Soft,Mercedes
HAM,20,95.6745,Soft,Mercedes
HAM,21,95.495,Soft,Mercedes
HAM,22,95.77950000000001,Soft,Mercedes
HAM,23,95.3585,Soft,Mercedes
HAM,24,95.033,Soft,Mercedes
HAM,25,95.18,Soft,Mercedes
HAM,26,95.878,Soft,Mercedes
HAM,27,94.95,Medium,Mercedes
HAM,28,94.558,Medium,Mercedes
HAM,29,94.122,Medium,Mercedes
HAM,30,94.992,Medium,Mercedes
HAR,2,95.894,Soft,Toro Rosso
HAR,3,96.252,Soft,Toro Rosso
HAR,4,96.442,Soft,Toro Rosso
HAR,5,95.627,Soft,Toro Rosso
HAR,6,96.4365,SUPERSOFT,Toro Rosso
HAR,7,96.45433333333334,SUPERSOFT,Toro Rosso
HAR,8,96.522,SUPERSOFT,Toro Rosso
HAR,9,95.637,Soft,Toro Rosso
HAR,10,95.625,Soft,Toro Rosso
HAR,11,95.94550000000001,Soft,Toro Rosso
HAR,12,96.23400000000001,Soft,Toro Rosso
HAR,13,96.627,SUPERSOFT,Toro Rosso
HAR,14,96.64366666666666,SUPERSOFT,Toro Rosso
HAR,15,96.91766666666666,SUPERSOFT,Toro Rosso
HAR,16,97.443,SUPERSOFT,Toro Rosso
HAR,17,97.63666666666666,SUPERSOFT,Toro Rosso
HAR,18,97.3175,SUPERSOFT,Toro Rosso
HAR,21,98.183,Soft,Toro Rosso
HUL,2,95.586,Soft,Renault
HUL,3,96.097,Soft,Renault
HUL,4,96.282,Soft,Renault
HUL,5,96.1305,Soft,Renault
HUL,6,95.9725,Soft,Renault
HUL,7,96.124,Soft,Renault
HUL,8,96.886,Soft,Renault
HUL,9,96.198,SUPERSOFT,Renault
HUL,10,96.248,SUPERSOFT,Renault
HUL,11,96.34366666666666,SUPERSOFT,Renault
HUL,12,94.808,SUPERSOFT,Renault
HUL,13,95.566,Soft,Renault
HUL,14,95.5235,Soft,Renault
HUL,15,95.61699999999999,Soft,Renault
HUL,16,96.18799999999999,SUPERSOFT,Renault
HUL,17,95.791,Soft,Renault
HUL,18,95.96199999999999,Soft,Renault
HUL,19,95.8015,Soft,Renault
HUL,20,97.5735,Soft,Renault
HUL,21,96.906,Soft,Renault
HUL,22,96.873,Soft,Renault
HUL,23,96.691,Soft,Renault
LEC,2,96.474,SUPERSOFT,Sauber
LEC,3,96.036,Medium,Sauber
LEC,4,96.2025,Medium,Sauber
LEC,5,97.538,Medium,Sauber
LEC,6,96.286,Medium,Sauber
LEC,7,95.075,SUPERSOFT,Sauber
LEC,8,96.40299999999999,Medium,Sauber
LEC,9,95.352,SUPERSOFT,Sauber
LEC,10,95.739,SUPERSOFT,Sauber
LEC,11,97.0625,Medium,Sauber
LEC,12,97.4485,Medium,Sauber
LEC,13,97.6765,Medium,Sauber
